Manx,English,Diplomatic,Notes
Jean credjal ayns yn Chiarn Yeesey Chreest as bee oo er dty hauaill.,Believe in the Lord Jesus Christ and you will be saved.,Jean credjal ayns yn Chiarn Yeesey Chreest as bee oo er dy hauaill,
"     Shoh credjal ayns yn Çhiarn Yeesey Chreest çheet huggey as treishteil oo hene as ooilley dty pheccaghyn er, credjal dy vel eshyn abyl dellal roo, ny share ny t’ou hene,  neayr’s haink eh voish Niau dy ymmyrkey ad ayns y chorp hene er yn villey, as myr shen dy ghoaill ad ersooyl, liorish treishteil yn Çhiarn Yeesey Chreest. ","     This is belief in the Lord Jesus Christ, coming to him, and trusting yourself and all your sins unto him, believing that he is able to deal with them better than you are yourself, since he came from Heaven to bear them in his own violated body, and so to take them away, by trusting in the Lord Jesus Christ. ","Shoh credjal ayns yn Chiarn Yeesey Chreest cheet hug eh as treishteill oo hene as ooilley dy peccaghyn er, Credjal dy vell eshyn abyl dellal roo, ny shayr ny tow hene, niar as haink eh voish Niau dy ymmyrkey ad ayns y chorp hene er yn villey, as mor shen dy ghoaill ad ersooyl, liorish treishteil yn Chiarn Yeesey Chreest, ",
"     Er yn aght shoh, ta’n caghlaa mooar er ny yannoo. Ta shin abyl goaill Jee ec e ghoo, as goaill yn pardoon. Te dy hebbal dooin, trooid fuill Yeesey Creest, myr shen ta shee ain er yn oyr dy vel Eh er yannoo shee dooin, as bee yn aigney gholliee er ny lhoobey as currit seose gys yn Çhiarn Yeesey Chreest. As tra ta shen jeant ta nyn mea er ny caghlaa, er yn oyr dy vel ee currit seose gys Chreest ayns ynnyd ve ayns yn kiaraill ayd hene as Satan. ","     In this way, the great change is made. We are able to take God at his word, and take the pardon. It is offered to us, through the blood of Jesus Christ, therefore we have peace because He has made peace for us, and the difficult mind is folded and given up to the Lord Jesus Christ. And when that is done our life is changed, because it is given up to Christ instead of being in the care of yourself and Satan. ","er yn aght shoh. ta’n caghlaa mooar er ny yannoo ta shin abyl ghoaill Jee eck y ghoo, as ghoaill yn pardoo. Te dy hebbal dooin, trooid fuill, Yeesey Chreest mor shen ta shee ain er yn oyr dy vel Eh er yannoo shee dooin, as bee yn aigney gholliee er ny loobey as curryt seose gys yn Chiarn Yeesey Chreest, As tra ta shen jeant ta nyn mea er ny caghlaa, er yn oyr dy vel ee churryt seose gys Chreest ayns ynnyd ve ayns yn chiaraill ayd hene as satan. ",
"     Treisht ayn er yn aght shoh as bee oo er ny hauaill, dy jean yn spyrryd casherick jannoo shoh baghtal dhyt, as da ooilley ny ta lhaih ny goan shoh dy vod ad ve er ny hauaill. ","     Trust in him in this way and you will be saved, so that the holy spirit will make this clear to you, and for all that read these words that they may be saved. ","Treisht ayn er yn aght shoh as bee oo er ny hauaill. dy jean yn spyrryd casherick jannoo shoh baghtal dhyt, as da ooilley ny ta lheih ny ghoan shoh dy vod ad ve er ny hauaill, ",
"     Ny yeih foddee oo gra lurg dhyt ve er lhaih choud’s shoh nagh vel shen feer aashagh, nagh vel orrin dy ghoaill arrys. ","     Anyway, you might say after you have read as far as this, “isn’t that very easy, that we we don’t have to repent.” ","ny yeih foddee oo gra lurg dhyt ve er lheih chouds shoh. Nagh vel shen feer aashagh, nagh vel orrym dy ghoaill arrys. ",
"     Ta paart dy jarroo er ve ayns seaghyn mooar son peccah feer faggys da jannoo meehcredjue roish va’d cur my-ner yn raad dy haualtys, agh cha vel ooilley myr shen smooinaght dy vel oo ayns jeeanid dy gheddyn saualtys, as aarloo dy heet er gys Yeesey Chreest ayns yn aght ta pointit magh dhyt ","       Some indeed have been in great sorrow for sin, very close  to commiting heresy before they observe the way to salvation, but not all like that think that you are in earnestness to find salvation, and ready to come unto Jesus Christ in the way that is pointed out for you. ","Ta paart dy jarroo er ve ayns seaghyn mooar son peccah feer faggys da jannoo meecredjue rosh va’d curmerner ynraaid dy haualtys agh cha vel ooilley mor shen smooinniagh dy vel oo ayns jeeanyd dy gheddyn saualtys, as aarloo dy heet er gys Yeesey Chreest ayns yn aght ta pointyt magh dhyt ",
"     Lhig dou briaght jeed vel oo er vakin yn saualtagh surranse er yn chrosh son ayd’s, as ymmyrkey dty pheccaghyn? Er chur my-ner Eayn Yee ta goaill ersooyl peccah yn seihll, t’ou toiggal shoh as credjal ee. Vod oo eisht goll er dty hoshiaght, graihagh er peccah va yn oyr jeh ooilley shoh? Nagh jean oo cur dwoaie daue lesh ooilley dy chree as çhyndaa ersooyl voue? ","     Let me ask you if you have seen the saviour suffering on the cross for you, and bearing your sins? Having beheld the Lamb of God that takes away the sin of the world, you understand this and believe it. Can you then go forward, loving sin, that was the cause of all this? Won’t you hate them with all your heart and turn away from them?","lhig dow briagh jee’d vel oo er vakin yn saualtagh surrans er yn chrosh son ayds, As ymmyrkey dy peccaghyn er churmerner Eayn Yee ta ghoaill er sooyl peccah yn seihll. Tow tioggal shoh as credjal ee. Vod oo esht gholl er dy hoshaght, graihagh er peccah. Va yn ayr, jeh ooilley shoh, nagh jean oo cur dwoaie daue lesh ooilley dy chree, as chyndaa ersooyl voo, ",
"     Shicker, my t’ou credjal dy cairagh dy ren nyn beccaghyn croshey yn Çhiarn Yeesey Chreest, cha vod oo agh ve dwoaieagh er peccah. Nagh vel shoh dy ve arrysagh? Gow Yeesey Chreest, ayns yn aght cair, myr dty haualtagh, as cha vod oo agh ve arrysagh son peccah. ","     Sure, if you believe rightfully that our sins crucified the Lord Jesus Christ, you cannot but hate sin. Isn’t this to be repentant?  Take Jesus Christ, in the righteous way, to be your saviour, and you cannot but be penitent for sin. ","shicker my tow credjal dy cairagh dy ren nyn beccaghyn. Chrosey yn Chiarn Yeesey Chreest, cha vod oo agh ve dwoaieagh er peccah. Nagh vel shoh dy ve arrysagh gow Yeesey Chreest ayn yn aght cair mor dy haualtagh, as cha vod oo agh ve arrysagh son peccah,",
"     Agh foddee oo briaght reesht “Nagh negin dou prayal?”. Shegin liorish dy chooilley oyr, agh bee kiarailagh, nagh jean dty phadjeryn shassoo ayns yn raad jeh goaill yn pardoon, ta çhebbyt dhyt. ","     But you may ask back “Don’t I have to pray?”. It is necessary by all means, but be careful that your prayers don’t stand in the way of taking the pardon that is offered to you. ","agh foddee oo briagh reesht nagh negin dow prayll shegin lioarish dy chooilley oyr, agh bee karaalagh, nagh jean dy padjeryn shassoo ayns yn raaid jeh ghoaill yn pardoon, ta chebbyt dhyt",
"     Cooinniee nagh vel ayd dy yannoo Jee arryltagh liorish dty phadjeryn, agh ynrincan dy ghoaill yn pardoon voish, fer ta dy graihagh çhebbal eh dhyt’s dy gholl er briaght son red ta cummit magh dhyt. T’eh dellal ny croie-wannalys, jean prayal er dy chooilley oyr, agh lhig da’n phadjer ve shoh:","     Remember that you only have to make God willing by your prayers, to take the pardon from him, one that is lovingly offering it to you to be asked for, a thing that is held out for you. It is a hard-necked deal. Pray for every reason, but let the prayer be this; ","cooinniee nagh vel ayd, dy yanno Jee arryltagh lioaris dy padjeryn, agh ynrincan dy ghoaill yn pardoon voish, fer ta dy graihagh chebbal eh dhyts dy gholl er briagh son red ta cummyt magh dhyt, te dellal ny croiwannalys, jean prayll er dy chooilley oyr, agh lhig da’n padjer ve shoh. ",Nagh vel ayd dy yannoo— this translates the English verb of compulsion ‘have to’ by means of the ‘ta x ayd’ construction which does not carry the same meaning in Manx. The expected phrase here would be Nagh vel ort dy yannoo .... 
