Manx,English,Diplomatic
     Lhig da credjue ve eu ayns Jee.,     Let faith be yours in God.,Lhig da credjue ve eu ayns Jee.
     Ta padjer scughey sleityn dy ghollysyn ,     Prayer moves mountains of difficulties.,     Ta padjer scoaghey sleityn dy ghollysyn 
Tra gherrid er dy henney hie daa charrey gys balley va rish oirr yn cheayn. Dy yeeaghyn son thie dy chummal ayn son mee ayns yrjid yn thourey. Agh ve feer doillee daue dy gheddyn nyn yeearree. ,"     I short time ago two friends went to a town that was by the edge of the sea, to look for a house to live in for a month in the height of summer. But it was very difficult for them to find what they wanted.      ",Tra gherrid erdy henney. Hie daa charrey gys balley va rish oarayn cheayn. Dy yeaghyn son thie dy coammal ayn son mee ayns yrjyg yn thourey. Agh ve feer dhollee daue dy gheddyn nyn yeerree. 
"     Va un thie va’d yeearree dy gheddyn erskyn ooilley agh va’n thie lhee hene, cha croie as creg ayns gobbal dy chur yn thie daue. V’ee dy arryltagh er chur daue eh son daa vee, agh cha row ee coontey feeu jeh soiagh eh son un vee. ","     There was one house they were wanting to get above all, but the house was owned by ‘herself’, as hard as a rock in refusing to give them the house. She was willing to give it to them for two months, but she wasn’t reckoning it worth settling it for one month.   ",Va un thie va’d yeerree dy gheddyn erskin ooilley agh va’n va’n thie lheih hene. Cha croi as creg ayns ghobbal dy chur yn thie daue. Vee dy arryltagh er chur daue e son daa vee. Agh cha row ee coontey feau jeh soieagh e son un vee.
"     Ren ad resooney as argaaney ree, agh ooilley ayns fardail, as ec yn jerrey ren ad çhyndaa reesht, seaghnit, as mollit, gys yn thie oast, smooinaght dy beagh oc dy ’aaigail yn Balley ayns yn fastyr, fegooish geddyn shen v’ad er jeet dy yeeaghyn er y hon. ","     They debated and argued with her, but all in vain, and in the end they turned back, upset, and disappointed, to the inn, thinking that they would have to leave the town in the afternoon, without getting that which they had come to look for. "," ren ad resooney as argaaney ree. Agh ooilley ayns fardaill. as ec yn jerrey ren ad chyndaa reesht, seaghnyt, as mollyt, gys yn thie oast smooinniaght dy bagh ock dy aaigail yn yn Balley ayns yn fastyr, fedgoish gheddyn shen va’d er jeet dy yeaghyn er y hon. "
"     Tra va’d er choyrt seose jerkal rish yn thie, ren unnane jiu lhie sheese dy ghoaill e aash roish goll er yn jurnaa dys nyn ynnyd-vaghee reesht, son v’ee feer tooillit. Cha row ee scoan er heeyney ee hene gys ren yn ayrn shoh jeh’n ghoo çheet ayns e haigney feer doaltattym, “Lhig da credjue ve eu ayns Jee.” ","     When they had given up hope for the house, one of them lay down to take a rest before going back on the journey to their dwelling place, because she was very tired. She had hardly stretched out before this part of the Word came to her mind very suddenly, “Let there faith be yours in God.”","Tra va’d er churt seose jerkal rish yn thie Ren unnane jiu lhie sheese dy ghoaill y aaish. rosh gholl er yn jurnaa syd nyn ynnyd veaghee reesht, son vee feer tooillyt. cha row ee scoan er heeney ee hene gys ren yn ayrn shoh jeh’n ghoo cheet ayns y aigney feer doltaittyn, lhig da credjue ve eu ayns Jee, "
"     “Nee.” dooyrt ish, “Nee’m credjal ayns Jee dy hyndaa cree croie yn ven. Dy jean ee cur dooin yn thie, son un vee, myr ta shin yeearree.” Esht, ren ee ginsh da e carrey dy row ee goll gys yn ven, keayrt elley, as dy row ee shicker jeh nish; dy jinnagh ee cur seose. ","     “I will.” she said, “I will believe in God changing the woman’s hard heart. That she may give us the house, for the month, as we want.” Then, she told her friend that she was going to the woman once more, and that she was sure of it now; that she would give up. ","nee doyrt ish, nee’m credjal ayns Jee, dy chindaa chree croi yn ven. dy jean ee cur dooin yn thie, son yn vee, myr ta shin yeerree. Esht, ren ee ginsh da y charrey, dy row ee gholl gys yn ven, cheayrt elley. as dy row ee ssicker jeh nish, dy jeannagh ee cur seise. "
"     Ren e carrey garraghtee fegooish cur monney treisht ayns ny goan eck. Agh ayns traa gerrid ny lurg shen hie ad keayrt elley gys thie yn ven. Cha leah as ren ad ginsh nyn elkin reesht, dooyrt yn ven “Neayr’s ta shiu cha aggindagh er yn thie neem’s lhiggey diu goaill eh son un vee.”","     The friend laughed without much trust in her words. But a short time after that they went once more to the house of the woman. As soon as they told their errand again the woman said “Since you are so desirous of the house, I will let you take it for one month.”      ",Ren y charrey gherraghtee fegoish cur monney treisht ayns ny ghoan ec. Agh ayns tra gherryd ny lurg shen. hie ad cheayrt elley gys thie yn ven cha lheay as ren ad ginsh nyn eilkin reesht Doyrt yn ven Niar as ta shiu  cha agindagh er yn thie. Neems lhigey diu ghoaill e son un vee. 
     Ta chreeghyn ooilley yn chroo ayns laue yn ooilleyniartal.,Hearts are all created nature in the hand of the almighty. ,Ta chreegyn ooilley yn chroo ayns laue yn ooilleyniartal.
,,
Screeut yn cheid laa jeh yn vee s’jerree jeh’n ouyr. 1899,Written the first day of October. 1899.,screeut yn ched laa jeh yn vee skerree jeh’n ouyr. 1899 
 liorish Farquhar ayns Creneash,By Farquhar in Cregneash,liorish Farquhar ayns Crenaish
,,
