Manx,English,Diplomatic
Mannin ayns yn Cheayn. ,The Isle of Man in the Sea,Mannin ayns yn cheayn 
"My ellan veg ass shilley sooill,","My little island out of eyesight,",My ellan veg ass shilley sooil
"Ayns mean yn aarkey soie,","Situated in the middle of the ocean,",Ayns mean yn aarkey soie
"Ta faagit nish foddey my chooyl,","That is now left far behind me,",Ta faagyt nish foddey my chooyl
Yn keayn mygeayrt-e-mooee.,The sea surrounding her.,Yn cheayn mygeayrt y mooie
,,
"Cha voddym cur my-ner ny smoo,","I can no more behold,",Cha voddym curmerner ny smoo
"Raad va mish cliaghtey cloie,","Where I used to play,",Raad va mish claghtey cloie
"Ga yeearree nish dy akin ee,","Although now yearning to see her,",Gha yeerree nish dy aakin shee
As er Cronk Veayl dy hoie.,As sit on Cronk Meayl.,As er cronk vule dy hoie
,,
"Agh ta mee nish feer foddey jeh,","But I am now very far off,",Agh ta mee nish feer foddey jeh
"As rouail noon as noal,","And wandering to and fro,",As rouaill noon as noal
"S’liauyr ta mish gennaghtyn yn traa,","How long I feel the time,",Slouyr ta mish gennaghtyn yn tra
Cha foddey veih my oayl.,So far from where I belong.,Cha foddey veih my oayll
,,
"Ny croink raad va mee cliaghtey shooyl,","The hills where I used to walk,",Ny croink raad va mee claghtey shooyl
"Fud pusheeyn connee,","Through heather flowers,",Fud pusheeyn connee
Er Cronk-ny-Arrey as Cronk Veayl,"On Cronk-ny-Arrey and Cronk Veayl,",Er cronk ny arrey as cronk vule
Vaegh mennick gerjagh mee.,That would often cheer me up.,Vagh mennick gerjagh mee
,,
"Agh ta ny laghyn shen ec kione,","But those days are ended,",Agh ta ny laaghyhn shen eck kione
"As ta mish shenn as lheeah,","And I am old and grey,",As ta mish shen as lheay
"As nish myr adam as e chloan,","And now like Adam and his children,",As nish myr adam as y chloan
Beem’s jarroodit dy leah.,I’ll soon be forgotten.,Beems jarroodyt dy lheay
,,
"Slane ayd, slane ayd, my Ellan veg,","Farewell, farewell my little Island,",Slane ayd slane ayd my Ellan veg
"Cha vaikym oo dy bra,","I will not see you anymore,",Cha vaik ym OO dy bra
"Ny shooyl mygeayrt reesht er y chreg,","Or walk around again on the rock,",Ny shooyl mygeayrt reesht er y chreg 
Raad cheau mee wheesh dy hraa.,Where I spent so much time,Raad cheau me wheesh dy chra
,,
"Slane eu, Slane eu, my chaarjyn nish,","Farewell, farewell my friends now,",Slane eu Slane eu my charjyn nish
Cummal ayns Mannin veen,"Living in dear Mannin,",Commal ayns Mannin veen
Yn ellan veg raad ruggyr mish,"The little Island where I was born,",Yn Ellan veg raad ruggyr mish
Faagit ayns mean y cheayn,Left in the middle of the sea.,Faaigyt ayns mean y cheayn
,,
"Ny yeih cha vel mish coayl my chree,","Yet, I do not lose my heart,",Ny yeih cha vel mish cooal my chree
"Ny keayney er-dty-hon,","Or weep for you,",Ny keaney er dy hon
"Son leah bee’m currit sheese ayns shee,","For soon I will be laid down in peace,",Son lheay beem curryt sheesh ayns shee
Dy chadley ayns y joan.,To sleep in the dust.,Dy chadley ayns y joan
,,
"Raad nagh vel seaghyn ny tranlaase,","Where there is no sorrow or oppression,",Raad nagh vel seaghyn ny tranlaase
Ny pooishee sowrey ayn.,Or summer flower.,Ny pushie sowry ayn
"Ny lhie ayns oghrish yn vaase,","Lying in the bosom of death,",Ny lhie ayns ockerish yn vaase
Myr adam as y chloan.,Like Adam and his children.,Myr adam as y chloan
,,
E Faragher.,E Faragher.,E Faragher.
