Manx,English
"LHIG ainleyn heose, as nooghyn wass, ","LET angels above, and saints below, "
"Cur gloyr da’n Three Unnane, ","Give  glory to the Three in One,"
"Son corrym rish yn imbagh t’ayn, "," For according to this present season,"
Rug Yeesey Chreest nyn Jiarn.,Jesus Christ our Lord was born.
"Lhig dooin , myr ta shin er veeteil,",Let us. as we have met 
"Ayns shoh jiu, feanish Yee, ","Here to-day, in the presence of God, "
Cur gloyr a booise da aon e ghraih ,Give glory aad thanks to Him for His love 
Ayns kionneeaght reesht peccee.,In the redemption of sinners.
"Shin kionnit reesht, cha nee lesh price, ","We are redeemed, not with a price, "
"Agh fuill y Vac smoo deyr,","But the blood of the Son, most precious, "
"Dy voddagh shin, v’ayns bondiaght,","That we who were in bondage,"
Ny hrooidsyn ve jeant seyr.,May through Him be made free.
"Cre’n erreish, cre'n vyghin as çhymmey","What pity, what mercy and compassion, "
"V'ayn Mac y Jee smoo ard, ","Dwelt in the Son of God most high, "
Tra daag eh gloyr as maynrys niau ,When He left the glory and the happiness of Heaven 
Dy osley doin yn raad.,To open to us the way.
"My chaarjyn deyr, cur shiu my-ner ","My dear friends, behold you [now] "
"Crc’n vyghin as çhymmey v’ayn, ","What mercy and compassion obtained, "
Dy daink eh neose dy hurranse baase,That He came down to suffer death 
"Son ain, va noidyn da.","For us, who were enemies to Him."
"T’eh nish y hoie ec laue yesh Jee,","He is seated now at the right hand of God, "
"T'eh Prince as Saualtagh,",He is a Prince and a Saviour. 
"Çhebbal leih peccaghyn dauesyn,",Offering forgiveness of sins to those 
Gowys arrys firrinagh.,Who truly will repent.
"“Çhyndaa shiu hym,” ta’n Çhiarn dy ghra, ","“Return to me.” the Lord doth say, "
"“As leihyms diu nastee, ","“And I will freely forgive you, "
"Myr ta mee bio, cha vel taitnys aym ","As 1 live, I have no pleasure "
Ayns baase annym erbee.,In the death of any soul.
"“My nee shiu peccee çhyndaa hyms, ","“If you sinners will turn unto me, "
"Veryms diiu grayse as gloyr,","I will give you grace and glory, "
"Yiow shiu voyms dagh nhee ymmyrçhagh,","You shall have from me every needful thing, "
Son hee shiu mooar ayns foayr.”,"For you shall be greatly in favour. """
"Carrey gerjoil, my chaarjyn deyr,","A friend full of comfort, my dear friends, "
O lhig dooin  dagh unnane,O let us every one 
" Peccah hreigeil, bea noa leeideil","Forsake [our] sins, [and] lead a new life, "
As jannoo aigney’n Çhiarn.,And do the will of the Lord.
"Son ad nee kinjagh shassoo magh, ",For they who continually stand against [Him].
"As nagh der biallys, ",And will not give obedience. 
