Manx,English,Notes
"MY CHAARJYN, ta foym dy hoilshagh diu,","MY FRIENDS, it is under me (i.e., it is my intention) to show you, ",
"Cretoor annoon as er y veggan feeu,","A creature weak and of little worth, ",
"Agh er my hoilshagh liorish spyrryd yee,","But to show through the spirit of God, ",
D’el crosh yn Chiarn lhie faggys da my chree.,That the Cross of Christ lies near to my heart.,
S’maynrey sleih ta’n Chiarn oc son nyn Yee;,Happy are the people that have the Lord for their God; ,
"Gyn toiggal jeh ta foast ymmodee,","Many are yet without knowledge of Him,",
T’ad roie dy chionn er cassan yn toyrt mow;,"They run fast on the path of destruction,",
Fo lhied yn Jee as nagh jean cooney lhieu.,Under such a god as will not help them.,
"T’ad shirrey mayrneys raad nagh vow ad eh,","They seek happiness where they will not find it, ",
"Nyn aignaghyn ta kinjagh lane dy imnea,","Their spirits are constantly full of anxiety, ",
"Kiarailyn seihlltagh ynrican nyn mean,","Worldly cares only they are among, ",
Gyn scoagh erbee oc jeh nyn annym beayn.,With any fear for their eternal soul.,
"Dy cosney wooashley daue, as nyn lught thie,","To gain honour to themselves and their posterity, ",
Gyn dooyt kiarail ta er nyn aigney lhie.,Without doubt is [all] the care that lies on their spirit; ,
"Aless! Aless! Cre oddym riu er ghra,","Alas! alas! what can I say to you, ",
Share diu goaill coyrle as arrys ayns traa.,It is better for you to take counsel and repent in time.,
"Foundation cairagh t’eu dy hroggal er,","There is a righteous foundation for you to build upon, ",
"T’eh screeiut sy Ghoo, foddee shiu cur-my-ner,","It is written in the Word, as you may behold, ",
Er boaynyn beaynid ta shiu ceau nyn draa,"On the outskirts of eternity you pass your time, ",
Yn beggan beg jeein cur tastey da.,But a very small proportion of us heed that.,
"T’ayms naight gerjoil dy soundal ayns nyn ghleaysh,","I have joyful news to sound in your ears, ",
"Flag bannee yn Sushtal foast ta cummit seose,","The blessed banner of the Gospel is still held aloft, ",
"T’eh spreiht lesh fuill, O cur shiu da my-ner,","It is sprinkled with blood, O behold it, ",
As chroym shiu roish lesh arrys as lesh jeir.,And bow before it with repentance and tears.,
"Eisht boggey mooar veagh wass fud nooghyn Yee,","Then great joy shall be below, among the saints of God, ",
"As kiaull gerjoil veagh fud ny flaunysee,","And a happy song shall be among the celestial ones, ",
"Ec cur-my-ner un annym hene cheet thie,","At beholding one soul itself coming home, ",
Ga bleeantyn liauyr fo ymmoose Jee v’eh lhie.,Though many years he has lain under the wrath of God.,
"Lesh cree gerjoil veagh shin cur shaghey’n traa,","With a joyful heart we let the time go past, ",
"Farraneyn maynrey ain dy oor nyn paa,","Pleasant fountains we have to slake our thirst , ",
"Ghoaill foddiaght ny smoo dagh oie as laa,","longing no more, day or night, ",
As jalloo Jee ny smoo v’er nyn caghlaa.,And no more changing from the image of God.,
"Ta hurragh baase, dy eamagh shin ersooyl,","When death comes, to call us away, ",
"Plaaseyn gloyroil veagh foshlit roish nyn sooill,","Glorious palaces shall be opened before our eye, ",
"Gardit lesh thie ec ainleyn bannee Yee,","Guarded home by blessed angels of God, ",
Dy reill dy bragh marish ny flaunyss.,To reign for ever with the celestial ones.,
"My chaarjyn deyr, shoh gialdyn bannee yee,","My dear friends, these are the blessed promises of God, ",
"T’eh er conaant te cour ny arrysee,",His covenant for the benefit of the penitent; ,
"Shiuish ta slane nagh nailleu peccah chea,","You that will not flee from sin, ",
"Cha vel eh diu, cha vow shiu soylley jeh.","It is not for you, you shall not taste of it.",
Tra hig yn baase dy eamagh lhieu ersooyl,"When death comes to call you away,",
"Atchinyn beayn vees foshlit roish nyn sooill,","Endless  terrors shall be opened before your eye, ",
"Aless er nyn son! shegin daue goaill soylley jeh,","Alas for you!  you must taste of that, ",
Cha bailleu coyrle goaill ayns traa nyn mea.,You would not take counsel in your lifetime.,
"Eisht fosley mooar vees eddyr shiu as Jee,",Then a great gulf shall be ’twixt you and God.,
"Ny hrooid cha rosh faillease dy hreisht erbee,","Through which shall not reach you a glimpse of hope, ",
"Troggal nyn sooillyn, fakin flaunysee,","Raising your eyes, seeing the celestial ones,",
"Shiu hene jeiht mooie dy bragh, fo corree yee.","Yourselves shut out for ever, under the anger of God",
"Dy whilleen coyrle hooar ad veih pobble yee,",The numerous counsels they received from God’s people ,
"Vees myr beishteig er nyn gooinsheansyn gee,","Will be like a parasite eating at their conscience, ",
"Dy hoie ad beg, cha bailleu ginshagh sheese,","They despised, they would not humble themselves down, ",
Gys yn conaant va chebbit trooid fuill Chreest.,To the covenant that was offered through the blood of Christ.,
"Foast yn ard-ainle nee sheidey seose yn cayrn,","Yet the archangel shall blow the trumpet, ",
"Vees er ny clashtyn trooid dy chooilley ayrn,",That shall be heard through every part. ,
"Gys grunt ny oaieghyn nee eh soundal sheese,","To the ground of the graves it shall sound down, ",
