Manx,English,Diplomatic
Moghrey Aalin,A Beautiful Morning,Moghrey Aalin
,,
"Ta’n lhondoo kiaulleeagh dy mie,","The blackbird sings well,",Ta’n londoo chiaulleagh dy mie 
Yn moghrey aalin shoh.,This beautiful morning.,Yn moghry aalin shoh
"Ta’n gollan gheayee er hyndaa thie,","The swallow has returned home,",Ta’n gollan gheayee er hindaa thie
Lesh cullyr aeg as noa.,With young and new colour.,Lesh cullyr aig as noa
"Ta’n niarragh aalin er jeet reesht,","The beautiful Spring has come back,",Ta’n niarragh aalin er jeet reesht
Lesh frassyn as lesh grian.,With showers and with sun.,Lesh frassyn as lesh grain
"Ny summarkyn ta blaaghey neesht,","The primroses that bloom again,",Ny sommyrkyn ta blaagey neesht
Choud as ta’n ghrian soilshean.,Whilst the sun shines.,Choud as ta’n ghrain soljean
"Ta’n chooag er jeet reesht gys Crook,","The cuckoo has come back to Crook(haven),",Ta’n chooag er jeet reesht gys crook
As gerrym myr v’ee rieau.,And crows as she always did.,As girrym mor vee rieu
"As ayns yn cheyll t’ee gra ‘cook cook’,","And in the forest she says ‘cook cook’,",As ayns yn cheyll t’ee gra cook cook
Myrgeddin er y clieau.,Also on the mountain.,Morgheddyn er y chleau
"Ny heayin ta lheimyragh mygeayrt,","The lambs that leap around,",Ny yeeain ta lhemyragh mygeayrt
Eer ayns yn faasagh shoh.,Even in this wilderness.,Eer ayns yn faasagh shoh
"As shynnee farkiagh myr v’ad keayrt,","And foxes waiting as they were once,",As shynnee farkiagh mor v’ad cheayrt
Dy ee ny kiarkyn bio.,To eat the hens alive.,Dy ee ny kiarkyn bio
"Biljyn ny keylley lane dy chiaull,","Trees of the forest full of music,",Biljyn ny keylley lane dy chiaul
Lesh ushagyn chur booise.,With birds giving thanks.,Lesh ushagyn chur booise
"Da Jee ta reill dy chooilley voayl,","To God who rules every place,",Da Jee ta reill dy chooilley voayl
As cur dagh bannagh sheese.,And sends down every blessing.,As churt dagh bannagh sheese
