Manx,Manx2,English
"Dooisht liorish leih Sinai ta, ","Dooisht liorish leigh Sinai ta,","Awoken by the Law of Sinai then,"
"My chree er crieau cre’n aght dy heay, ","My chree er creau; cre’n aght dy hea,","My heart a-tremble; how to flee,"
"Cha vell mee abyl gainsh, ","Cha vel mee abyl ginsh,",I cannot tell.
"Goo Yee gainsh dou lesh naghtyn throme, ","Goo Yee ginsh dou lesh naightyn trome,","God’s word tells me with heavy news,"
"She nuirin heesh veen currit ayn, ","She nuirin heese veign currit ayn,","It is Hell below I would be put in,"
Mannagh been ruggyt reesht. ,Mannagh beign ruggit reesht.,Unless I would be born again.
She gys yn leih esht hie mee rooam. ,"She gys yn leigh eisht hie mee roym,","It is to the law then that I went,"
"As eash ny fea cha dooar mee ayn,","As aash ny fea cha dooar mee ayn,","And neither ease or rest did I find there,"
As fegoish myghhyn neesht. ,"As fegooish myghin neesht,",And no mercy either.
"Yn leih va brish esht cha row saase, ","Yn leigh va brisht eisht cha row saase,",The law was broken therefore there was 
"Dy chosney myghyn shee ne graase, ","Dy chosney myghin, shee, ny grayse,","No means to earn mercy, peace or grace,"
Fegoish ve ruggyt reesht.,Fegooish ve ruggit reesht.,Without being born again.
"She Nooghyn Yee easht cheayl mee gra, ","She nooghyn Yee eisht cheayl mee gra,","It was God’s Saints then that I heard say,"
"Dy row ad glen veih dagh peccah, ","Dy row ad glen veih dagh peccah,","That they where purified of every sin,"
"Trooid fuill deyr Yeesey Chreest, ","Trooid fuill deyr Yeesey Chreest,","Through Jesus Christs’s dear blood,"
"She shoh dy lheay ren gherjagh mee, ","She shoh dy leah ren gerjagh mee,","It is this that soon consoled me,"
"Esht deiye mee er lesh slane my chree, ","Eisht deie mee er lesh slane my chree,","Then I called out for it with all my heart,"
As hooar mee ruggyt reesht.,As hooar mee ruggit reesht.,And I got born again.
"Yn seaghyn throme shoh ver my chree, ","Yn seaghyn trome shoh v’er my chree,","This heavy sorrow that was upon my heart,"
"Yeesey dy Nazareth, yn fer lhiee, ","Yeesey dy Nazareth, yn fer lhee,","Jesus of Nazareth, the doctor,"
"Ayns myghyn as erreeish, ","Ayns myghin as erreeish,","In mercy and compassion,"
"Ta trooid y uill er hearey mee, ","Ta trooid e uill er hayrey mee,",That has freed me through his blood
"Nish ver vm mooylley dhyt my Yee, ","Nish verrym moylley dhyt my Yee,","Now I will give you praise, my God,"
"Dy veil mee ruggyt, raesht.",Dy vel mee ruggit reesht.,"That I am born, again."
"Gys Paradise hie niagh gherjoil, ","Gys Paradise hie naight gerjoil,","To Paradise, happy news went,"
"As ooilley Niau ren throggal kiaul, ","As ooilley Niau ren toggal kiaull,","And All of heaven raised music,"
"Nooghyn as Ainleyn neesht, ","Nooghyn as ainleyn neesht,","Saints and Angels too,"
"Chur glooyr da’n Eayn ve’r Calvary, ","Chur gloyr da’n Eayn ve’r Calvary,","Sent glory to the Lamb who was on Calvary,"
"As ghoaill thousaanyn seose gys jee, ","As goaill thousaneyn seose gys jee,"," And took thousands up to God, "
Liorish ve ruggyt reesht.,Liorish ve ruggit reesht.,By being born again.
