Manx,English,Diplomatic
Nee’m freayll arrey. ,I’ll keep watch.,Nee’m freayl arrey
(Screeu cadjinit),(Çhyndaays),(Aa-screeu diplomatic):
Nee’m freayl arrey dy akin cre nee eh gra rhym.,I will stand watch to see what he will say unto me. ,Nee’m freayl arrey dy akin cre nee eh gra rhym 
Habbakkuk yn nah chab. as 1 verse,"Habbakkuk; the second chapter, and first verse.",Habicuck yn nah cab as 1 verse
"     Dy beagh shiu er-boayrd steamer awin yinnagh shiu goaill tastey jeh guilley beg yn chabbane; cre cha geyre as t’eh jeeaghyn er yn Vainshter ny hassoo er yn droghad. T’eh er e arrey son cowrey voish laue yn Vainshter, as tra te fakin ny meir echey er ny chassey er lheid yn aght shen t’eh gyllagh magh yn sarey da’n dooinney ta geiyrt er. ","   If you were on board a river steamer you’d notice the little cabin-boy; how keenly he watches the Master standing on the bridge. He is on the lookout for a hand signal from the Master, and when he sees his fingers turned in such a way he shouts out the order to the man who follows. ","Dy bagh shiu erboayrd steamer awin yannagh shiu ghoaill tastey jeh gilley beg yn cabbane cre cha geyre as te jeaghyn er yn Mainshter ny hassoo er yn droghad. te er y arrey son cowrey voish laue yn Mainshter, as tra te fakin ny mair ec eh er ny chassey er lheid yn aght shen te gillagh magh yn ssarey da yn doonney ta giyrt ec "
"     She mor shoh, ta shin er ny ynsagh liorish Jee. Cha vel eh loayrt rooin nish mor ve paart dy cheayrtynrish yn sleih ayns yn tra ter gholl shaghey. Agh t’ain dy reayl arrey son gleashagh myr dy beagh eh leeideil shin ayns laghyn ny mea. Nee Jee dy shickyr leeideil shiu, as coyrt shiu er nyn doshiaght as gynsaghey shiu. Myr nee shin jeeaghyn huggey lhig doon hoshagh ooilley prayal son e leeiddeilys as eisht ve er nyn arrey dy akin cre nee eh gra rooin. ","     And it is like this that we are taught by God. He does not speak to us now as he was sometimes to the people in time gone past. But we have to watch out for a signal as if he were guiding us in the days of our lives. God will surely lead you, and bring you on and teach you. As we look towards him, let all first pray for his guidance and then be on the lookout to see what he says to us. ","she mor shoh, ta shin er ny ynsagh lioarish Jee Cha vel eh loayrt rooin nish mor ve paart dy cheayrtynrish yn sleih ayns yn tra ter gholl shaghey. Agh ta ain dy reayl arrey son gleashagh mor dy bagh eh leiddeil shin ayns laghyn ny mea. Nee jee dy shickyr leeiddeil shiu as curt shiu er nyn doshaght as gynsaghey shiu. Mor nee shiu jeaghyn hug eh lhig doon hoshagh ooilley Praayll son y leeiddeilys as esht ve er nyn arrey dy akin cre nee eh gra rooin."
"     Ta jerrey yn verse lhaih freayl yn arrey - dy akin cre nee eh gra rhym, as cre nee’m ansoor tra ta foayl er ny gheddyn dou. Nish te feer ymmyrchagh da Creesteeyn aegey dy ghoaill tastey jeh shoh. Paart dy cheayrtyn foddee foill ve geddynit diu, keid eu ve toilliu eh ny dyn. Bee shiu shicker dy ghoaill traa dy vriagh jeh’n Çhiarn cre’n aght dy ansoor, as eisht reesht gyn dooyt nee eh taghyrt ny cheayrtyn dy jean ad arganey riu, foddee caarjyn ny nyn gomraagyn, streeu dy arganey riu mychione craueeagh. As ta danjeyr ayns nagh jean shiu gansoor ad dy creeney. Cre’n bannaght t’eh dy vel fer ayn nee leeiddeil shin ec lheid ny traaghyn, my nee mayd jeeaghyn huggey. Hiarn, nagh lhig dou dy bragh jarrood dy ve er my arrey son Dty leeiddeilys, as dy akin cre nee Oo gra rhym. ","     The end of the verse is a reading of the keeping of the watch - to see what it will say to me, and what I will answer when I am rebuked.  Now, it is truly necessary for young Christians to take note of this. Sometimes you may be rebuked. Whether you have been deserving of it or not. Be sure to take time to ask of the Lord how to answer, and then again without doubt it will happen, sometimes, that they will argue with you, maybe friends, or your companions, trying to argue with you about religion. And there is danger in that you won’t answer them wisely. What a blessing it is that there is one who will guide us at such times, if we we look towards him. Lord, do not let me ever forget to be on the lookout for Your guidance, and to see what you will say to me. "," ta jerrey yn verse lhaih preayl yn arrey dy akin cre nee eh gra rym, as cre nee’m ansoor tra ta foayl er ny gheddyn dow. Nish te feer ymmyrchagh da creesteeyn agey dy ghoaill tastey jeh shoh. Paart dy cheayrtyn foddee foayl ve gheddenyt diu. ched er ve thollew eh ny dyn. Beeshiu shicker dy ghoaill tra dy vriagh jeh’n Chiarn cre’n aght dy ansoor as esht reesht gyn dooit nee e taghyrt ny cheayrtyn dy jean ad arganey riu, foddee Charjyn ny nyn gomraagyn, striew dy arganey riu mychione craueeagh. As ta dangeeyr ayns nagh jean shiu gansoor ad dy creeney. Cre’n bannaght te dy vel fer ayn nee leeid-deil shin ec lheid ny traghyn. my nee mayd jeaghyn hug eh. Hiarn nagh lhig do dy braagh jarrood dy ve er my arrey son dy leeiddeilys, as dy akin cre nee Oo gra rhym. "
“Nee’m jeeaghyn dhyt as gynsagh oo ayns yn raaid ,“I will inform thee and teach thee in the way wherein ,Nee’m jeaghyn dhyt as gynagh oo ayns yn raaid 
  t’ou dy gholl as nee’m leeiddeil oo lesh my hooil.” ,thou shalt go: and I will guide thee with mine eye.”,tou dy gholl as nee’m leeiddeil oo lesh my hooil 
        Psalmyn yn nah chabdyl yeig as feed as yn nuyoo verse.,"         Psalms, the thirty-second chapter and the ninth verse.",Psalmyn yn nah chabdyl yeig as feed as yn neeoo verse
     Screeuit yn feedoo laa jeh mee veanagh yn tourey ayns yn vlein hoght cheead yeig kiare feed as nuy jeig.     ,     Written on the twentieth of June in the year eighteen hundred and ninety-nine. ,     Screeut yn feedoo laa jeh mee veanagh yn theurey ayns yn vlein hoght cheead yeig kair feed as neeie jeig.     
Farquhar,Farquhar,Farquhar
,,
,,
,,
