Manx,English,Diplomatic
"Nish eginit dy aagail yn traih,","Now compelled to leave the shore,",Nish eginyt dy aagail yn traih
"Raad ta my chomraagyn ec shee,",Where my companions are at peace.,Raad ta my comraagyn eck shee
"Fegooish monney caarjyn, ny graih,","Without many friends, or love,",Fegooish monney charjyn ny ghraih
Ny ainjysee gerjagh my chree.,Or acquaintances consoling my heart.,Ny ainjeeesy gherjagh my chree
"Nish faagail yn Ellan my chooyl,","Now leaving the Island behind me,",Nish faagail yn Ellan my chooyl
"Raad cheau mee lane bleeantyn dy eash,","Where I spent many years of age,",Raad cheau mee lane bleeintyn dy eash
"Ayns sleityn as glionteenyn shooyl,","Walking in mountains and glens,",Ayns seityn as lhonteeyn shooyl
As croink ta mygeayrt ec Creneash.,And hills that Cregneash have around.,As croink ta mygeayrt eck crenaish
"Ny pusheeyn s’aalin va gaase,","The most beautiful flowers were growing,",Ny pusheeyn s’aalin va gaase
"As thammagyn aittyn as freoagh,",And bushes of gorse and heather;,As thammagyn ashyn as frigh
Veagh ad broo son foddyr da’n vaase.,They would press for fodder for the livestock.,Vagh ad broo son foddyr d’an maase
"Syn niarragh veagh maghyryn glass,","In the Spring green fields would,",Syn niarragh vagh maghyryn glass
"Ayns garmodyn geayney soilshean,","Shine in emerald clothes,",Ayn garmodyn yeney soljean
"Tra veagh Ree yn Laa jannoo çhiass,","When the King of the Day (‘Sun’) would make heat,",Tra vagh Ree yn Laa janoo chass
As moiraghyn roie mârish e heayin ,And mothers run with her lambs.* ,As moiraghyn roie maarish yheay
"Lane gerjagh veagh reddyn myr shen,","Things like that used to bring to me,",Lane gherjagh vagh reddyn myr shen
"Ayns laghyn my aegid, cur dou,","Much happiness in the days of my youth,",Ayns laghyn my aagid cur dou
"Tra veagh yn raad çhirrym as glen,","When the way used to be dry and clean,",Tra vagh yn raaid chyrrym as glen
Yn sniaghtey as rio ersooyl roo.,The snow and ice gone on their way.,Yn snaghtey as rio er sooyl roue
"Agh nish ta mee eginit dy gholl,","But now I am compelled to go,",Agh nish ta mee eginyt dy ghool
Harrish yn vooir mooar ta cha lhean,"Over the great sea, that is so broad, ",Harrish yn muir mooar ta cha lheay
Gys çheer nagh vel aym eer oayl.,To a country that I don’t even know.,Gys cheer nagh vell aym irree oayl
"Gyn fakin yn aarkey soilshean,","Without seeing the ocean shining,",Gyn fakin yn aarkey soljean
"My laghyn dy leah vees ec kione,","My days soon will be ended,",My laghyn dy leah vess eck kione
"Son ta mee gaase shen t’eh feer phlean,","For I am growing old, it is very plain,",Son ta mee gaas shen te feer flean
Tra gerrid as eisht cha beem ayn.,"A short time, and then I won’t exist.",Tra gherryd as esht cha beem ayn
"O Vannin, yn boayl va mee ruggit,","O Mannin, the place I was born,",O Vannin yn boayl va mee ruggyt
"Yn çheer jeh my aegid as eash,","The country of my youth and (old) age,",Yn cheer jeh my aagid as aish
As ny croink ghoo raad va mee troggit,"And the black hills where I was raised,",As ny croink dhoo raad va mee throggyt
Ny sleityn as croink mysh Creneash,The mountains and hills about Cregneash.,Ny sleityn as crionk mysh crenaish
"As nish bee yn niarragh reesht,","And now the Spring will be back,",As nish bee yn niarragh reesht
"Yn ghrian bee goaill toshiaght lesh bree,","The sun will be starting up energetically,",Yn ghrain bee ghoaill toshagh lesh bree
Slane lhiat son dy bragh Skylley Chreest.,Farewell forever Rushen Parish.,Slane lhat son dy braagh skilley Chreest 
"My vees yms agh faagit ec shee,","If I am only left at peace,",Myr vees yms agh faagyt eck shee
"Fud joareeyn nish ceau my hraa,","Amongst foreigners now spending my time,",Fud joareeyn nish cheau my chra
"Gyn ainjys er peiagh erbee,","No acquaintance with anyone,",Gyn ainjys er piagh erbee
Ny lomarcan rouaill dagh laa.,"Alone, wandering every day.",Ny lomyrken rouaill dagh laa
"Agh shen ta nish gerjagh my chree,","But that which now gladdens my heart,",Agh shen ta nish gherjagh my chree
"Nish foddey voish Mannin ta mish,","Now far from Mannin am I,",Nish foddey voish Mannin ta mish
"Yn boayl ta my chaarjyn ny lhie,","The place (where) my friends lie,",Un boayl ta my charjyn ny lhie
"As my chree boght ta guint as brisht,","And my poor heart that is wounded and broken,",As my chree bogh ta guint as brish
Dy leah vees ec fea kiart cha mie.,Will soon be resting just as well.,Dy lheah vess eck fea chart cha mie
"Jerkal dy vel shiu ayns slaynt, ta mee cur seose dy screeu ny smoo ec yn traa shoh. ","Expecting (hoping) that you are in health, I am giving up writing more at this time.",jerkal dy vell shiu ayns slaynt “ta mee cur seose dy scrieu ny smoo Eck yn tra shoh. 
"Ta mee tannaghtyn nyn sharvaant biallagh,","I remain your obedient servant,",Ta mee tannaghtyn Nyn sharvaant bialagh
Edward Faragher,Edward Faragher,Edward Faragher
,,
,,
,,
,,
