Manx,English,Diplomatic
"O Uss hur baase son cloan sheelnaue,","O Thou who suffered death for the children of mankind,",O Uss hur baase son Chloan shelnaue
"Dy voddagh shin ve mayrt ayns Niau,","So that we may be with Thee in Heaven,",Dy voddagh shin ve mayrt ayns Niau
"As er y chrosh gheayrt fuill Dty chree,","And on the cross the blood of Thy heart was shed,",As er y chrosh gheart fuill dy chree
Son dy chordail yn seihll rish Jee.,To reconcile the world to God.,Son dy coardaill yn seihll rish Jee
"Nagh vel ayd nish dy chooilley phooar,","Do Thy not have now every power,",Nagh vell ayd nish dy chooilley phooar
"Ayns Niau erskyn as er yn ooir,","In Heaven above and upon the Earth,",Ayns Niau erskin as er yn ooir
"Nagh jean mee nish y yiooldey voyd,","Do not reject me now,",Nagh jean mee nish y yooldey vooyd
Agh ayns dy vighyn gow mee hood.,"But in Thy mercy, take me to Thee.",Agh ayns dy vighyn gow mee hood
"My pheccaghyn ta ard er n’aase,","My sins are that have grown high,",My peccaghyn ta ard er naase
"As nish ny lhie fo deyrey baase,","And now lie under sentence of death,",As nish ny lhie fo dearey baase
"Gys nee Uss cummey y ghoaill jee’m,","Until Thou takest take the form from me,",Gys nee Uss chummey y ghoaill jee’m
As goaill mee seose dy ve lhiat hene.,And take me up to be with Thee.,Ass ghoaill mee seose dy ve lhat hene
"O cur Dty Spyrryd bannit dooys,","O give Thy Blessed Spirit to me,",O chur dy Spyrryd bannyt dooys
"Dy voddym shaghney Dty ymmoose,","That I may avoid Thy wrath,",Dy voddym shaghney dy yemmoose
"Dy voddym prayal as gleck as streeu,","That I may pray and struggle and strive,",Dy voddym preeal as gleck as striew
As çhionney er gys irjey yn clieau.,And hasten on to the height of the mountain.,As chonney er gys irjey n chlieu
Nish O my Hiarn bee dou çhymmoil,"Now, O my Lord be compassionate for me,",Nish O my Hiarn be dow chemmooil
"As gow ersooyl dagh nhee peccoil,","And take away every sinful thing,",As ghow ersooyl dagh nhee peccoill
"As seal mee lesh Dty Spyrryd mie,","And seal me with Thy good Spirit,",As seal mee lesh dy Spyrryd mie
Gys ver Oo lesh my annym thie.,Until you bring my soul home.,Gys ver Oo lesh my annym thie
"O Yeesey saue mee liorish grayse,","O Jesus save me by grace,",O Yeesey saue mee liorish graase
"Ren son my annym surranse baase,","Who suffered, for my soul, death,",Ren son my annym surrans baase
"Nish ayns Dty uill jean mish y nhiee,","Now, in Thy blood, wash me,",Nish ayns dy uill jean mish y nhiee
As gow dagh olkys ass my chree.,And take every badness from my heart.,As ghow dagh olkys ass my chree
"O jean mee aarloo Hiarn ayns shoh,","O make me ready, Lord here,",O jean me aarloo Hiarn ayns shoh
"Son yn vea veayn choud’s ta mee bio,","For the eternal life, whilst I am alive,",Son yn vea veean chouds ta mee bio
"Nish skeayl yn ghraih ayd ayns my chree,","Now spread Thy love in my heart,",Nish skeeayl yn ghraih ayd ayns my chree
As jean mee nish my vac dy Yee.,And make mee now a son of God.,As jean mee nish my vac dy Yee
Scruit yn çhiaghtoo laa yeig jeh’n cheid vee jeh’n yeurey ayns yn vlein nuy cheead yieg.,Written on the seventeenth day of November in the year nineteen hundred.,Scrieut yn shiaghtoo laa yeig jeh’n ched vee jeh’n geurey ayns yn vlein nee cheead yieg 
,,
     Edward Faragher ayns Crenaish,Edward Faragher in Cregneash.,     Edward Faragher ayns Crenaish
