Manx,English,Diplomatic
"O Yee Ooilley Niartal, ","O God Almighty,",O Yee ooilley Niarthal. 
"Ta shin guee Ort jeh Dty vieys wooar, ",We beseech thee from your great goodness,"Ta shin guee ort jeh dy vieys wooar, "
Dy myghinagh dy chlashtyn nyn badjeryn. ,To mercifull)y hear our prayers,dy myghynagh dy clashyn nyn badjeryn. 
"Ta shin jannoo gys Dty Ardooashley flaunysagh, ","That we make to Your heavenly Highness,","Ta shin jannoo gys Dy Ardooashley flaunysagh, "
"Ass lheih yn reeriaght, as yn ashoon ain.","On behalf of our kingdom and nation,","ass lhea yn reerreagh, as yn ashoon ain. "
"Ta shin goaill rish, Oh Hiarn, ","We accept O Lord,","Ta shin ghoaill rish, Oh Hiarn, "
"Ayns yn traa dy hee as fooar, ",In the time of peace and favour,"ayns yn tra dy hee as fooar, "
Lesh T’ou er vannaghey yn ashoon ain. ,With which You have blessed our nation,lesh T’ou er vannaghey yn ashoon ain. 
Cha vel shin er churt Dhyt yn booise,That we have not given You the thanks,Cha vel shin er churt dhyt yn booise 
" As yn ooashley va cairagh dhyt, ","And the worship that was rightfully yours,",as yn ooashley va cairragh dhyt 
Dy gheddyn veih nyn laueyn. ,To receive from our hands,"dy gheddyn veih nyn laueyn, "
Dy myghynagh leih dooin nyn beccaghyn ,To mercifully forgive us our sins,Dy myghynagh leih dooin nyn beccaghyn 
Liooroo ta shin er hoilçhin kerraghey. ,By which we have deserved punishment,liooroo ta shin er holchyns cerraghey. 
As cur dooin dy vod mayd gynsagh ,And give give us that we may learn,"As chur dooin dy vod mayd gynsagh, "
"Cairys veih Dty vriwnysyn, Ta foddey voïn ","Justice from your jedgements, that are far from us",cairys veih dy vriwnysyn. Ta foddey vooin 
"Cur chreenagh da ooilley, ",Give wisdom to all,Chur chreenagh da ooilley 
Ta ayns reiltys ayns Keeil ny stayd. ,"That are in government, in Church or State,",ta ayns reiltys ayns Keeil ny stayd. 
Ghow ersooyl veih ny mastey ain ,Take away from amongst us,Ghow ersooyl veih ny mastey ain 
ooilley yn voyrn as creoghys cree,All the pride and hardness of heart,ooilley yn voayrn as croigys chree. 
As ny lhig dooin soieagh beg ,And do not let us despise,As my lhig doin soieagh beg 
Jeh Dty ghoo as dy annaghyn. ,Your word and your commands.,jeh dy ghoo as dy annaghyn. 
Cur dooin yn spyrryd dy chraueeagh ,Give us the spirit of religion,Chur doin yn spyrryd dy craueeagh 
"As ooashley as cairys, ","And worship and justice,",as ooashley as cairys 
As sheeltys myr ta cooie dooinyn,And great sobriety that is proper for us,as sheeltys mor te cooie doinyn 
Ta ghoaill rish dy ve chreesteeyn ,That admit to be christians,"ta ghoaill rish dy ve chreesteeyn,"
Dy vod ny bannaghtyn ta er ve ain,That the blessings we have had, dy vod ny bannaghtyn ta er ve ain 
 Ayns soylley son tra liauyr. ,In possession for a long time,"ayns solley son tra louyr, "
Chammah spyrrydoil as dhoogysagh. ,Both spiritual and natural,chammah spyrrydooil as dhoogyssagh. 
Dy vod ad trooid Dty Ard-chaaralys ve cummyt magh ,That they may through Your visitation be perservering,Dy vod ad trooid dy Ard chaaralys ve cummyt magh 
Dooinyn as da nyn ghloan ny lurg ain. ,For us and for our children after us,"dooinyn as da nyn ghloan, ny lurg ain. "
"Erskyn ooilley, ayns obbraghyn Dty laue, ","Above all, in the works of your hand","Erskin ooilley, ayns obraghyn dy laue, "
"Keid echey ve son foays ny skielley, ","Whether it be for benefit or harm,",ched eck e ve son foays ny skelley 
ynsee shin eck dy chooilley chra. ,Instruct us at all times,ynsee shin eck dy chooilley chra 
Dy hroggal seose nyn greeaghyn,To raise up our hearts,Dy ghroggal seose nyn ghreeghyn 
" Erskyn yn seihll shoh wass, ",Above the world down here,"erskin yn seihll shoh wass, "
"Gys Dty reeriaght flaunysagh,","To Your heavenly kingdom, ",gys dy reereaght flaunysagh. 
"Raad nagh bee pian ny scaaghyn, ",Where there will not be pain or shadows,"Raad nagh bee pien ny seaghyn, "
"Caggey, ny eulys, ny smoo. ","Fighting, or fury, any more.","caggey ny eulys, ny smoo. "
As mor T’ou er choyrt currym doin ,And as You have given us a duty,As mor T’ou er churt currym doin 
"Dy ve graihagh er nyn noidyn, ",To love our enemies,"dy ve graihagh er nyn noidyn, "
"As dy phrayal son ocsyn, ",And to pray for those,"as dy freeayl son ocksyn, "
Ta dy ghoanlyssagh jannoo tranlaase orrin. ,That blindly oppress us.,ta dy ghoanlysagh jannoo tranlaase orryn. 
Ta shin guee ort dy leeideil shin ,"We beseech Thee to lead us,",Ta shin guee ort dy leeiddeil shin 
"Dy yeaghyn lheid yn chymmey shen, ",To show compassion like that,dy yeaghyn lheid yn chymmey shen 
Da nyn noidyn Ayns yn caggey shoh. ,To our enemies in this war.,da nyn noidyn Ayns yn caggey shoh. 
"As lheid yn ghraih shen er cairys, ","And such a love as that for justice,","As lheid yn ghraih shen er cairys, "
"As myghin, myr t’eh cooie dauesyn ",And mercy as is proper for those,"as myghyn, mor ta cooie dausyn "
"Aa prayal dy jeanagh Oo, O, Hiarn. ","That pray earnestly to You, O, Lord.",ta preayll dy jeanagh Oo oh Hiarn 
"Goll magh marish nyn sheshaght caggee, ","Going out with our army,",Gholl magh marish nyn sheshaght caggee. 
Clash rooin ayns ny padjeryn shoh. ,"Hear us in these prayers,",Clash rooin ayns ny padjeryn shoh. 
Er graih yn fer ta eddyr ain. ,Foe the love of the one who is between us,Er graih yn fer ta eddyr ain. 
Nyn fer kionniee Yeesey Chreest nyn Chiarn. ,Our Redeemer Jesus Christ our Lord. ,Nyn fer kionniee Yeesey Chreest nyn Chiarn.
Amen.,Amen., Amen
,,
Scrieut yn chied laa as feed jeh yn chied vee jeh’n geurey ayns yn vlein nee cheead yeig ,Written on the twenty-first of november in the year nineteen hundred.,Scrieut yn ched laa as feed jeh yn ched vee jeh’n geurey ayns yn vlein nee cheead yeig.
Liorish E Farquhar,By E. Farquahr,Liorish E Farquhar
