Manx,English,Manx Original,Notes
Jean shiu soieagh dial nyn gree liorish grian dy ynrickys. ,Set your the dial of your heart by the sun of truth.,,
"Raad nagh vod graase Yee freayl shiu, cha vel e ard-chiarailys er choyrt shiu. ","Where God’s grace cannot keep you, his providence has not brought you.",,
Coointee shiu yn laa shen caillt nagh vel shiu er yannoo piagh erbee ny share.,Consider the day lost when you haven’t made anyone better off (done anything good for anyone).,Coointee shiu yn laa shen callyt nagh vel shiu er yannoo piagh erbee ny share.,
Ta paart jeh ny berrishyn s’miljey gaase er ny jilg s’birragh.,Some of the sweetest berries grow on the sharpest thorns.,,
Shegin d’an chied kiarail eu ve jeh nyn gree hene. ,Your first care must be your own heart.,Shegin d’an ched caarail eu ve jeh nyn ghree hene. ,
Ta padjer ayns y voghrey fosley yn giat jeh nyn gurrym son yn laa. ,Prayer in the morning opens the gate of our responsibility for the day.,,
"Bee shiu unnane jeh uinnagyn glen Yee, dy vod yn gloyr echey soilshean ny hrooid. ","Be one of God’s clean windows, so that his glory may shine through.","Bee shiu unnane jeh unnagyn glen Yee, dy vod yn gloyr echey soilshean ny hrooid. ",
My ta shiu jannoo ynrican dy gheddyn moylley gheiney cha vel shiu toilliu veg. ,If you are acting only to receive the praise of men you do not deserve anything.,,
"Dooinney ta ec kione y cheilley[5], cha vel eh ec kione e chredjue. ","A man who is at his wit’s end, (he) is not at end of his faith.","Dooinney ta ec kione y cheilley[5], cha vel h ec kione e chredjue. ",[5] kione y cheilley] kione-e-cheilley — ‘his wit’s end’. (It appears that ‘cheilley’ here is a lenited genitive form of ‘keeayl’).
"Cha vel red erbee cha lajer as meenid, as meenid yn troshid cair. ","Nothing is as strong as civility, and civility is the righteous strength.",,
"Myr nagh vod shiu coyrt fegooish cuirr, foddee shiu prayal fegooish scuirr. ","(Just) as you cannot bring up nets without setting nets, so you can you pray without stopping. ",,
Ta ny smoo dy gheiney caillt liorish ve ro cheeaylagh ny ta  liorish ve ro veecheeaylagh.,More men are lost by being too sensible than by being too imprudent.,,
T’eh yn tushtey dy veaghey mie ta dy yannoo chooid share jeh dy chooilley laa. ,It is knowledge of good living that makes the most of every day.,,
Bea Nooghyn; yn argane share son Chreesteeaght.,Saints Lives; the best argument for Christianity.,Bea Nooghyn; yn argane share son Chreesteeagh.,
Yn reih red dy yannoo rish seaghynyn; dy yannoo ad ainjysagh er bannaghtyn. ,The choice thing for sorrows; to make them familiar with blessings.,,
Tra ta shiu girree jeh nyn glioonyn dooinney share ta’n padjer eu ansoorit.,When you rise from your knees a better man your prayer is answered.,,
Quoi jeu s’aashagh ta shiu gheddyn dy yarrood? Brishey-trostey ny nyn badjeryn?,Which of these do you find easiest to forget? Breakfast or your prayers?,,
Nee Jee goaill kiarail jeusyn ta ceau ooilley nyn laaid ersyn. ,God will take care of those that cast all of their load upon him.,,
"Goaill aaght er oyr peccah ta shiu er scapail, obbyr danjeeragh.",Sojourning  for a sinful reason that you have escaped; dangerous work.,,
"Ta jee jarrood nyn beccah tra t’eh leih ad, as myr shen lhisagh shiuish. ","God forgets our sins when he forgives them, and so should you.",,
"Ny gow shiu rouyr obbyr rish raaghyn dorraghey, tra ta wheesh er ny hoilshaghey. ",Don’t work too hard on puzzles when there is so much that is revealed.,,
"Yn aght share dy preacheill yn irriney, te dy yeeaghyn cre wheesh as t’eh er yannoo son eu. ","The best way to preach the truth, is to look at how much he has been done for you.",,
Nee tammylt beg dy phadjer ayns yn voghrey coyrt ersooyl ooraghyn dy arrys ayns yn fastyr. ,A little while of prayer in the morning prevents hours of regret in the evening.,,
Cha vel cree erbee slane er gys t’eh er ve cree brisht. ,No heart is complete until it has been a broken heart.,,
