Manx,English,Diplomatic
Resooney ny Indianyn Jiargey,The Native Americans’ Debate,Resooney ny Indianyn Jiargey
     Va sheshaght dy Indianyn Jiargey cummal ayns çheshvean yn cheyll as v’ad resooney er imbaghyn ny bleeaney.,There was a tribe of Native Americans living in the middle of the forest and they were debating the seasons of the year. ,Va sheshaght dy Indianyn jiargey commal ayns chesh vean yn cheyll as v’ad resooney er imbaghyn ny bleiney. 
" “S’laik lhiam’s yn Niarragh ny share na ny h-imbeeyn elley,” dooyrt scollag aeg va ny vud oc, “son ta dy chooilley red gaase meeley as noa as soilshean lesh gialdyn jeh messyn yn thallooin reesht.” ","     “I like the Spring better than the other months,” said a young teenager who was amongst them, “because everything grows limber and new and shines with promise of new fruits of the earth again.” ",Slack lhams yn nearragh ny share ne ny imbeeyn elley doyrt scollag aig va ny vud ock son ta dy chooilley red gaase meeley as noa as soljean lesh goaldyn jeh messyn yn thallooyn reesht 
"     “Agh s’laik lhiam’s yn Tourey ny share na’n Niarragh dooyrt dooinney slane aasit, “tra ta ny biljyn coamrit lesh duillagyn, as ny pooisheeyn aalin ayns slane blaa, as dy chooilley red elley ayns slane bioys; ushagyn as beishtyn as cretooryn snauee as lossreeyn.”  ","     “But I like the Summer better than the Spring,” said a fully grown man, “when the leaves are covered with leaves and the beautiful flowers are in full bloom and everything else is in full life; birds and animals and crawling creatures and vegetables.” ",Agh slack lhams yn thourey ny share ne yn niarragh doyrt dhoinney slane aasyt tra ta ny biljyn coamryt lesh dhullagyn as ny pusheeyn aalin ayns slane blaa as dy chooilley red elley ayns slane bioys ushagyn as beashtyn as cretooryn snauee as loddyryn 
"     “Nish,” dooyrt dooinney meanagh eash, “s’laik lhiam’s yn Ouyr ny share tra ta ny banglaneyn lhoobey lesh trimmid nyn messyn as ta gloyr ny duillagyn goll-rish gloyr croymmey ny ghreiney.” ","     “Now,” said a middle-aged man, “I like the Autumn  best; when the boughs bend with the weight of their fruit and the glory of the leaves is like the setting of the sun.”","Nish doyrt dhoinney meanagh eash, slack lhams yn ouyr ny share tra ta ny banglanyn lovey les trimmyd nyn messyn as ta gloyr ny dhullagyn gholl rish gloyr croamey ny ghrainey. "
"     “Ah, dooyrt shenn ghooinney, yn Geurey yn imbagh jeh imbeeyn tra ta ooilley ny ta bentyn da’n seihll er gholl naardey as loau, as er duittym ersooyl, eisht trooid ny banglaneyn roosht foddym cur-my-ner as goaill baght jeh ny rollageyn beayn.”","     “Ah,” said and old man, “The winter is the season of seasons; when all that which belongs to the world withers and rots, and falls away, then through the naked boughs I can observe and survey the eternal stars.","Ah dourt shen ghoinney, yn geurey yn imbagh jeh imbeeyn tra ta ooilley ny ta bentyn d’an seihll er gholl naardey as laow, as er duittym ersooyl, esht trooyg ny banglanyn roosht foddym curmerner as ghoaill bagh jeh ny rollageyn beayn."
Skeealyn son yn Ollick,Stories for Christmas,
Ollick reagh diu as blein noa vondeishagh.,Merry Christmas and a prosperous New Year.,
Aigh vie lieu ayns yn Vlein Noa.,Good luck with you in the New Year.,
E. Faragher.,E. Faragher.,
