Manx,English,Diplomatic
Scruit er Fastyr Aalin.,,Scrieuit er fastyr aalin
Yn fastyr aalin shoh ta gerjagh mee,This beautiful afternoon that comforts me,Yn fastyr aalin shoh ta gherjagh mee
Tra ta yn gheay wooar er ghoaill shee,When the great wind has taken rest,Tra ta yn gheay wooar er ghoaill shee
As ushagyn ta jannoo kiaull,And birds that make music,As ushagyn ta jannoo chiaull
Tra t’ad çheet thie er gys nyn oayll,When they come home to where they dwell,Tra ta’d cheet thie er gys nyn oayll
Ta’n ghrian goll sheese er yn cheayn heer,The sun is going down on the western sea,Ta’n ghrian gholl sheese er yn cheayn heer
Fud bodjalyn dy chullyr keear,Amongst dark coloured clouds,Fud bodjalyn dy cullyr keer
Ta’n druight nish shilley veih’n aer,The dew is now precipitating from the sky,Ta’n driugh nish shilley veih yn aer
Dy ooraghey yn joan as faiyr,To freshen the dust and the grass,Dy ooiraghey yn jhon as faiyr
Ta’n lossey ghreiney nish ersooyl,The burn of the sun is now gone,Ta’n lossey ghraiiney nish ersooyl
As t’eh feer taitnysagh dy hooyl,And it is very pleasurable to walk,As te feer taitnysagh dy chooyl
Dy akin yindysyn y Çhiarn,To see the wonders of the Lord,Dy akin yindydyn y Chairn
Ren ad y chummey ayns dagh ayrn,Who made them in every part,Ren ad y chommey ayns dagh ayrn
As ta mish yeearree dy chur booise,And I want to give thanks,As ta mish yeeree dy chur booise
Er son ny bannaghtyn ta wheesh,"For the blessings that are so many,",Er son ny bannaghtyn ta wheesh
Ta’n imbagh aalin gerjagh mee,The beautiful season that comforts me,Ta’n imbagh aalin gherjagh mee
As jannoo boggey da my chree,And makes joy for my heart,As jannoo boggey dy my chree
Booise dy row hood er son dy braa,Thanks be to you for ever,Booise dy row hood erson dy braa
Yn Jee shen ta fegooish caghlaa,That god who is without change,Yn Jee shen ta fegoish caghlaa
As lheid yn ghraih shen hug eh dooin,And such is the love he gave to us,As lheid yn ghraih shen hug eh dooin
Tra va shin ayns nyn beccaghyn,When we were in our sins.,Tra vas shin ayns nyn beccaghyn
