Manx,English,Diplomatic,Notes
Shee ta Ass Roshtyn Tushtey.,Peace Beyond Understanding,Shee ta ass roshtyn tushtey,
Ta deiney er n’irree magh noi Jee. ,Men have rebelled against God.,Ta dheiney er nieerree magh noi Jee ,
"Ta’n leih echey er ny vrishey, ","His law has been broken,","Ta’n leih eck eh er ny vrishey, ",
"As yn Ard-reiltys echey er ve soit beg jeh, ","And his dominion has been despised,","As yn Ard reiltys eck eh er ve soit beg jeh, ",
"As e ynrican Vac, e vac deyr, er ny chrossey. ","And his only Son, his dear son, crucified,","As y ynrican Vac, y vac deyr er ny chrossey. ",
Ta’n seihll ayns slane irree-magh. ,The world is in complete rebellion.,Ta’n seihll ayns slane irreemagh ,
"     Ren Chreest goll ny hrooid er y raad gys Calvary dy gheddyn baase son nyn beccaghyn as dy hurranse briwnys Jee. Er yn raad ren eh cur aash da ny deinee. Ren eh troggal seose ny merriu as fosley ny cleayshyn bouyr. Ren eh feaysley ny çhengaghyn moandagh. Ren eh lheihys ny louraanee lesh bentyn roo, liorish e laue chasherick. Ren eh leih peccaghyn as sauail peccee. Ayns graih feagh fastagh hie eh trooid yn seihll. As son e ghraih chur ad dwoaie da, as anvea as floutyn, as ec y jerrey; yn crosh dy angaaish as nearey. Ayns graih hooar eh baase son deiney, ayns cairys ren eh surranse ec laueyn Yee. Ayns yn ynnyd shen ta enmnysit Calvary, ren yn Çhiarn lhie ersyn yn loght ain ooilley. Va shee dy ve jeant. Quoi foddagh jannoo eh? Voddagh adsyn va er vrishey eh, voddagh yn peccagh va er n’irree magh. Cha voddagh er aght erbee. Ren Chreest goaill er Hene, yn obbyr niartal. As bannit dy row yn ennym Echey. T’eh er cooilleeney eh, as er yannoo shee trooid fuill E chrosh. T’eh cooilleenit. Ta’n obbyr jeant. Va shee er ny yannoo rish er gerrey da, daa housane dy vleeantyn er dy henney, da seihll oollee as er ny phreaçheil neayr’s yn traa shen da seihll dy pheccee. Cheau shiu sheese nyn greienyn dy irree magh. Ta thousaneyn streeu ayns fardail, dy yannoo nyn shee rish Jee. Agh ta’d er gerrey da daa housane blein ro anmagh. Ta shee er ve jeant as çhebbit er yn aght sasaigh ??? fegooish argid as fegooish leeagh. Ynrican credjal recortys Yee. ","     Christ went through it on the way to Calvary, to die for our sins and to suffer God’s judgement. On the way his gave rest to the weary. He raised up the dead and opened the deaf ears. He loosened stuttering tongues. He healed the lepers by touching them, by his own holy hand. He forgave sins and saved sinners. In quiet, discreet love he went through the world. And for his love they gave him hate, strife and insults, and in the end; the cross of anguish and shame. In love, he died for men, in justice, he suffered at the hands of God. In that place that is called Calvary, the Lord laid upon him all of our sin. Peace was to be made. Who could do it? Would those who had broken him? Could the sinner who had rebelled? Not in any way. Christ took it upon himself; the mighty work. And blessed be His name. He has fufilled it, and has made peace through the blood of His cross. It is fufilled. The work is done. Peace was made near to him, two thousand years ago, for a ??? world and preached since that time to a world of sinners. You through down your ??? to rebel. Thousands struggle in vain, to make their peace with God, but they are nearly two thousand years too late. Peace has been made and offered in the easiest way, without money and without reward, only believing in God’s record.","Ren Chreest gholl ny hrooid er y raaid gys Calvary dy gheddyn baase son ny beccaghyn as dy hurraans briwnys Jee er yn raaid ren eh cur eash da ny dheinee. Ren eh throggal seose ny merroo as fostley ny chleatyn bouyr. Ren eh feasley ny chingaghyn mondagh. Ren eh lheihys ny louraanee lesh bentyn roo, liorish y laue casherick. ARen eh leih peccaghyn as sauaill peccee. Ayns graih feagh fastagh hie eh trooid yn seihll. As son y ghraih chur ad dwooaie da, as anvea as floutyn. As eck y jerrey yn chrosh dy angaaish as nearey. Ayns graih hooar eh baase son deiney ayns cairys ren eh surrans eck laueyn Yee Ayns yn ennyd shen ta emneysit Calvary Ren yn Chiarn lhie ersyn yn loght ain ooilley Va shee dy ve jeant. Quoi foddagh jannoo e Voddagh adsyn va er vrishey e, voddagh yn peccagh va er nierree magh. Cha voddagh er aght erbee. Ren Chreest ghoaill er Hene, yn obbyr niartal. As bannyt dy row yn Ennym eck Eh Te er chulleeney e, as er yannoo shee trooid fuill Y chrosh. Te chulleenyt ta’n obbyr jeant Va shee er ny yannoo rish ergerrey da, daa housane dy vlientyn er dy henney, da seihll oollee as er ny preecheil niar as yn tra shen da seihll dy peccee. Cheau shiu sheese nyn greienyn dy irree magh. Ta thousanyn striew ayns fardaill, dy yannoo nyn shee rish Jee. Agh ta’d ergerrey da daa housane blein ro anmagh. Ta shee er ve jeant as chebbyt er yn aght sasaigh fegoish argid as fegoish leeagh. Ynrican credjal recoortys Yee. ",
Shee ayns smooinaght er y vaase. ,Peace in thinking of death.,Shee ayns smooinaght er y vaase. ,
Shee ayns soilshey briwnys veaynid. ,"Peace in the light of the judgment of eternity,",Shee ayns soiljey briwnys beaynyt. ,
Shee ayns kionefenish Jee casherick. ,Peace in the presence of Holy God,Shee ayns kione fainish Jee casheric. ,
