Manx,English,Diplomatic,Notes
"Ta mish er chlashtyn dooinney ginsh mychione saggyrt va ny henn scollag aeg as va ben echey dy aarlagh beaghey da as dy cummal thie. As myr v’eh preacheil ayns y cheeill un doonaght ren eh lhaih ny goan shoh son undin yn çharmane; “Eshyn ta eeasaght da’n Çhiarn, bee eh er ny eeck shiaght filley.”","I have heard a man tell about a priest who was a young bachelor and who had a woman to cook meals for him and to keep house. And as he was preaching in the church one Sunday, he read these words for the foundation of his sermon; “He who lends to the Lord; he will be repaid sevenfold.”","Ta mish er clashtyn dhonney ginsh mychione saggyrt va ny shenn scollag aig as va ben ec eh dy aarlagh beaghey da as dy cummal hie As mor ve preechiel ayns y Keeyl un dooinagh ren eh leeih ny goan shoh son undyn yn sharmane, Eshyn ta yeesagh da’n Chiarn, bee eh er ny eek shiaght filley,",
,,,
"     Va dooinney dy row ayn y cheeill geaishtagh rish, myr v’eh cummal magh da’n sleih cre ny bannaghtyn veagh ad dy gheddyn son eeasaght da’n Çhiarn.",     There was a certain man in the church listening to him as he was holding forth to the people what blessings they would receive for lending to the Lord.,"va dhonney dy row ayn y Keeil geashtagh rish, mor ve cummal magh da’n sleih cre ny bannaghtyn vagh ad dy gheddyn son yeesagh da’n Chiarn.",
     Tra haink yn dooinney shoh dy valley dooyrt eh rish e ven heshey dy beagh eh ny share diu eeasaght y vooa da’n Çhiarn son beagh ad er ny eeck shiaght filley. Myr shen va’n ven echey feer arryltagh dy eeasaght yn vooa.,"     When this man came home he said to his wife that they had better lend the cow to the Lord because they would be repaid sevenfold. Accordingly, his wife was very willing to lend the cow.",Tra haink yn dooinney shoh dy valley dooyrt eh rish y ven heshey dy bagh eh ny share diu yeesagh y boa da’n Chiarn son dy bagh ad er ny eek shiaght filley myr shen va’n ven ech eh feer arryltagh dy yeesagh yn booa,
"     Tra haink moghrey laa ny vairagh ren yn dooinney geiyrt yn baagh gys thie yn saggyrt, as ren yn saggyrt fennaght jeh cre’n boayl v’eh dy gholl lesh yn vooa? Dooyrt y dooinney rish dy row eh ayn yn cheeill jea, as dy ren eh clasthyn eh ginsh jeh ny bannaghtyn v’ad dy gheddyn va eeasaght da’n Çhiarn, as dy row eh er chur lesh yn vooa huggey dy choyrt ee da’n Çhiarn.","     When the morning of the next day came the man drove the beast to the house of the priest and the priest asked him where he was going with the cow? The man said to him that he was in the church yesterday, and that he heard him tell of the blessings those who were lending to the Lord were to get, and that he had brought the cow to him to give it the Lord.","Tra haink moghrey laa ny vairagh Ren yn dooinney giyrt yn baagh gys thie yn saggyrt as ren yn saggyrt fennaght jeh cre’n boayl ve dy gholl lesh yn booa. Dooyrt y dooinney rish dy row eh ayn yn keeil jea, as dy ren eh clastyn eh ginsh jeh ny bannaghtyn va’d dy gheddyn va yeesagh da’n Chiarn. As dy row eh er chur lesh yn booa hug eh dy churt ee da’n Chiarn.",
"Va shiaght ollagh ec y saggyrt ayns magher er gerrey, as dooyrt eh rish yn dooinney dy eiyrt ee stiagh marish yn ollagh elley. Myr shen ren yn dooinney geiyrt yn vooa stiagh mâroo. Myr shen, ren yn saggyrt jeigh yn giat. “As nee mayd fakin ayns tra gerrid cre hig gy-kione dooyrt eh. Eisht hie yn dooinney roish thie dy cheau yn traa ayns jerkal dy ve eeckit shiaght filley.","The priest had seven cattle in a field nearby, and he told to the man to drive it in with the other cattle. So, the man drove the cow in with them, so, the priest shut the gate. “And we will see in a short while what will come to pass .” he said. Then the man went on home to spend the time in expectation of being repaid sevenfold.","Va shiaght ollagh ec y saggyrt ayns maghyr ergerrey, as dooyrt eh rish yn dooinney dy eiyrt ee stiagh marish yn ollagh elley, mr shen ren yn dooinney giyrt yn vooa stiagh maroo Mor shen ren yn saggyrt jeih yn gaat, as nee mayd fakin ayns tra gerryd cre hig gychione dooyrt eh. eisht hie yn dooinney rosh thie dy ceau yn tra ayns jerkal dy ve eeikyt shiaght filley.",
"    Agh, tra haink yn fastyr as traa dy striggey yn ollagh, haink yn vooa thie as shiaght ollagh yn saggyrt ry heshagh ree as tra honnick yn dooinney ad v’eh ayns eunysyn dy row eh eeikit shiaght filley ayns traa cha gerrid.","    However, when the afternoon came and time to milk the cattle, the cow came home with the priest’s seven cattle accompanying her. And when the man saw them he was ecstatic that he had been repaid sevenfold in so short a time.","Agh tra hink yn fastyr as tra dy striggey yn ollagh, haink yn vooa thie as shiaght ollagh yn saggyrt ry heshagh ree as tra honnick yn dooinney ad ve ayns eunysyn dy row eh eeikit shiaght filleyayns tra cha gerryd.",
Myr shen ren eh gyllagh er y ven heshey magh dy ghoaill boggey marish. Agh ayns traa gerrid ny lurg shen haink yn saggyrt dy yeeaghyn son yn maase.,"So, he called his wife out to rejoice together with him. But a short while after that, the priest came to look for the cattle.",mor shen ren eh gyllagh er y ven heshey magh dy ghoaill boggey marish. agh ayns tra gerryd ny lurg shen haink yn saggyrt dy yeeaghyn son y.,
"Agh dooyrt yn dooinney rish dy ren eh hene cummal magh ayns cheeill Jedoonee dy beagh yn dooinney yinnagh eeasaght da’n Çhiarn er ny eeck shiaght filley, as nish dy row ny goan echey cooilleenit as nish ta’n maase ooilley lhiam’s.","However, the man told him that he himself insisted in the church on Sunday that the man who would lend to the Lord would be repaid sevenfold, and that now his words were fufilled, “and now I own all the cattle”.","agh dooyrt yn dooinney rish dy ren eh hene commal magh ayns Keeil jedoonnee dy bagh yn dooinney yannagh yeesagh da’n Chiarn er ny eek shiaght filley, as nish dy row ny goan ec eh cooilleenyt as nish tan maase ooilley lhiams.",
"Myr shoh dooyrt yn saggyrt “Faagym yn ollagh ayd gys moghrey mairagh as quoi erbee vees yn chied ’er jean dy cur morrey er yn fer elley, lhig da’n ollagh ve lesh.","“So,” said the priest, “I will leave the cattle with you until tomorrow morning, and whoever is the first earnest fella to greet ‘Morning’ to the other, let him own the cattle.","Mor shoh dooyrt yn saggyrt ffagym yn ollagh ayd gys moghery mairagh as quay erbee ves yn ched er jean dy cur morrey er yn fer elley, lhig da’n ollagh ve lesh.",
