Manx,English,Notes
Ta cooinaght aym er yn traa va’n thammag vooar dy scaddan cheet er coorse yn daa hoilshey. [1] ,I remember the time the big bush of herring used to come on the course of the two lights. ,[1] yn Daa Hoilshey - ‘name of a fishing mark. The ‘two lights’ refer to the two lighthouses on the Calf of Man’ Broderick (1982: 129).
,,
"Tra veagh yn keayn lhieeney jees er yn chlag, veagh yn thammag vooar cheet as veagh yn lieen goll marish gys yn ghrunt as cha row eh cheet seose arragh.","When the sea would fill at two o’clock, the big bush would come and the net would go with it to the bottom and it would not come up any more. ",
Veagh shin coayl ooilley. ,We would lose everything.,
Veagh shin cuirr lieh jeh’n ghreie as paart dy cheayrtyn coayl shen.,We would cast half the gear and sometimes lose that.,
"     Va enney aym er shenn ghooinney va mainshter baatey, as v’eh cuirr ayns yn thammag. ","     I knew an old man who was master of a boat, and he was casting in the bush. ",
Ren ad prowal ayns traa gerrid as va eeastagh mie aynjee.,They proved in a short time and there was good fishing. ,
Dooyrt ad dy row eh traa dy chur er boayrd.,They said it was time to haul on board.,
"     “T’eh ro leah foast,” dooyrt yn mainshter. ","     “It’s too soon yet,” said the master. ",
“Ceau shiu ayn ee tammylt elley as lhig da ny boghtyn meeney thooilley.”,“Throw it in in another while and let the poor little things flood.”,
     Myr shen ren ad ceau ayn ee reesht. ,     So they threw it in again.,
"Kione oor ny jees ren ad prowal reesht as cha dooar ad veg agh teddyn, as myr v’ad goaill ny teddyn er boayrd va moggylyn dy lieen fest rish ny teddyn.","After an hour or two they proved again and got nothing but ropes, and as they were taking the ropes on board there were meshes of net clinging to the ropes.",
Ayns traaghyn veagh ny moggylyn lane jeh’n fer beg.,At times the meshes would be full of the little fellow [herring].,
As va’n mainshter jeeaghyn er. ,And the master was looking on. ,
"V’eh gra roish shen, “Lhig da ny boghtyn meeney thooilley.” ","He was saying before that, “Let the poor little things flood.” ",
"Agh v’eh gra roo eisht, “Jeeagh shiu er yn boayl ta ny jouill veggey fest nish!” ","But then he was saying to them, “Look where the little devils are stuck now!”",
Ren eh caghlaa e aigney dy siyragh.,He quickly changed his mind.,
"     Veagh dooinney Purt ny Hinshey gra ‘cur’ rish ceau magh yn lieen, as veagh dooinney Purt le Moirrey gra ‘cuirr’ [‘quir’] rish. ","     A Peel man would say ‘cur’ for casting the net, while a Port St. Mary man would call it ‘cuirr’ [‘quir’]. ",
Er lhiam dy re ‘cuirr’ yn red s’dooghyssagh dy ghra rish. ,I think that ‘cuirr’ is the more natural thing to call it.,
"     Veagh ooilley yn flod coayl nyn lieen ayns yn thammag shen, chammah Yernee as Sostnee.","     All the fleet would lose their nets in that bush, both Irish and English.",
