Manx,English,Diplomatic
Smooinaght er Laghyn my Aegid,Thinking about the Days of my Youth.,Smooinaght er laghyn my aegid
"She Manninagh dooie voish yn chlean va mee troggit,","I was raised a True Manxman from the cradle,",She Manninagh dhoaie voaish yn chlean va mee troggyt
"Er-gerrey da Cronk Veayl ayns shenn Skylley-Chreest,",Close to Cronk Veayl in old Christ Parish (Rushen),Er-gerrey da cronk vule ayns shen skelley-chreest
"Ayns unnane yeig as feed yn vlein va mee ruggit,","In thirty-one, the year I was born,",Ayns unnane yeig as feed yn vlein va mee ruggyt
As nish ta mish three feed as shiaght bleeaney dy eash.,And now I am sixty-seven years of age.,As nish ta mish three feed as shiaght bleinney dy eash
"Ayns yn ynnyd shoh feer faggys da ny sleityn,","In this place very close to the mountains,",Ayns yn ennyd shoh feer faghys da ny sleityn
"Ren mish ceau ny bleintyn moghey jeh my vea,","I spent the early years of my life,",Ren mish cheau ny bleintyn moagey jeh my vea
"Hie laghyn my aegid shaghey fegooish seaghyn,","The days of my youth went past without sorrow,",Hie laaghyn my aagyd shiaghey fegooish seaghyn
Fud blaaghyn y chonney er croink ard as rea.,Amongst the flowers of the gorse on hills high and flat.,Fud blaa-yn y coanney er croink ard as rea
"Sy voghrey va mee heose myr yn ushag chabbagh,",In the morning I was up like the lark,Sy voghrey va mee hose mor yn ushtey cabbagh
"Ayns çhengey ny mayrey kiaulleeagh dy ard,",Singing loudly in the mother tongue,Ayns chingey ny mayrey chiaulliagh dy ard
Choud as veagh my Voir snieu yn lieen ass yn barragh,Whilst my mother would be spinning the linen and the tow,Choud as vagh my Voir sniew yn lhieen as yn barragh
As sleityn Chreneash ooilley gorrym as jiarg,And the mountains of Cregneash all blue and red.,As sleityn chrenaish ooilley gorrym as jiarg
"Dy mennick tra veagh yn ghrian hourey er nierree,*","Often when the summer sun had risen,",Dy mennick tra vagh yn ghrain hourey er nierree
"Gys mullagh ny sleityn v’ee gra rhym dy gholl,","To the top of the mountians she’d be telling me to go,",Gys mullagh ny sleityn vee gra rym dy gholl
"Son dy yeeaghyn lurg ny reggyryn dy chirree,","To look after the few sheep,",Son dy yeaghyn lyrg ny regynyn dy keearree
Veagh mennick rouail ayn yn oie veih nyn oayl.,Who’d often be wandering astray in the night.,Vagh mennick rouail ayn yn oie veih nyn oayl
"Agh laghyn my aegid dy siyragh hie shaghey,"," But the days of my youth went past in a hurry,",Agh laaghyn my aagyd dy syragh hie shiaghey
