Manx,English,Diplomatic,Notes
"     Ta mee er chlashtyn yn çhenn sleih gra dy row Manninagh Beg Mac y Leer Ree er Mannin keayrt dy row. Veagh ad gra dy re buitçh v’eh, as dy row eh goll ayns co-chaslys ny three cassyn as rollal harrish Mannin veih un chione gys yn kione elley, goll-rish rimmey queeyl wooar, as dy ren eh laa dy row rollal magh er yn cheayn voish gob Jurby as nagh row eh rieau fakinit ny lurg shen. ","I have heard the old people say that Manannan Beg Mac-y-Lir was King of the Isle of Man once upon a time. They would say that he was a witch, and that he went in the image of the three legs and rolled around the Isle of Man from one end to the other end, like the rim of a great wheel, and that one day he rolled out on the sea from Jurby point and that he was never seen after that. ","     Ta mee er clashtyn yn shen sleih gra dy row Mannangh beg mac y leer Ree er mannin cheayrt dy row, vagh ad gra dy re buych ve, as sy row eh gholl ayns chochastlys ny three cassyn as rollal harrish Mannin veih un chione gys yn kione elley, gholl eish rimmey queeyl wooar, as dy ren eh laa dy row rollal magh er yn cheayn voish gob Jurby as nagh row eh rieu fakinyt ny lurd shen.","Manannan Beg Mac-y-Lir— There are various spellings for this name, and its variant; Manninagh Beg Mac-y-Lir. The form of spelling  used in the ‘normalised’ versions in this collection is based on that given in the poem ‘Seeing Mona Again’, although this is likely only E.U. Savage’s preferred spelling, and perhaps not reflective of modern scholarship. Where Ned Beg uses the variant, the spelling Manninagh, has been used."
"     Agh ren mee clashtyn my Ayr lheih ayns yn chaghter vannin (monas herald). Te mysh jeih bleenney as daeed er dy henney as ta me ghoaill aggle dy vel paar jeh jarroodyt aym. Va dhonney feer niarthal ayns sostyn cha vel me toiggal row eh ree ny dyn, agh vad gra craueyn yarn rish.","     But I heard my father read in the Mona’s Herald, it’s about fifty years ago, and I’m afraid that I have forgotten some of it, that there was a very powerful man in England, I don’t know if he was a king or not, but they called him Iron Bones. "," Agh ren mee clashtyn my Ayr lheih ayns yn chaghter vannin (monas herald). Te mysh jeih bleenney as daeed er dy henney as ta me ghoaill aggle dy vel paar jeh jarroodyt aym. Va dhonney feer niarthal ayns sostyn cha vel me toiggal row eh ree ny dyn, agh vad gra craueyn yarn rish, ve. ",
"     Ve gholl trooid ooilley ny cheeraghyn as churt e lanae foue son dooinney erbee dy voddagh gleck ny roie rish, as mannagh row dooinney ayns yn çheer dy ghoaill soese eh veagh yn çheer shen fo cheesh da. ","     He was going through the lands and challenging for any man at all that could wrestle or run against him, and if there wasn’t a man in the land to take him up then that land would be under tribute to him.","Ve gholl trooid ooilley ny cheeraghyn as churt e lanae foue son dhonney erbee dy voddagh gleck ny roie rish, as mannaugh row dhonney aynsyn cheer dy ghoaill soese eh vagh yn cheer shen fo cheesh da. ",
"     Ayns yn troailt echey trooid yn cherroo shoh jeh’n seihll, haink eh gys Divlyn, as hie eh gys plaase yn ree Yernagh, as dooyrt eh rish yn ree dy row eh cur e lane foue son dooinney erbee dy ghleck ny dy roie rish. ","     In his travel through this quarter (corner) of the world, he came to Dublin, and he went to the palace of the Irish king, and he said to the king that he was challenging them for any many to wrestle or to run against him. ","Ayns yn troalt eck eh trooid yn kerroo shoh jeh yn seihll, Haink eh gys Diblyn, as hie eh gys plaase yn Ree yernagh as dooyrt eh rish yn Ree dy row eh cur y lane foue son dhonney erbee dy gleck ny dy roie rish. ",
"     Dooyrt yn Ree dy jeanagh eh gholl gys thie Kit McKeelin dy gheddyn eh son dy re McKeelin va’n dooinney speeint va ayns yn reeriaght echey. Myr shen, ren yn Ree goll dy gheddyn eh cha thappee as oddagh eh roie.  ",     The king said that he would go to the house of Kit McKeelin to get him because McKeelin was the most ‘plucked’ (‘ripped’?) man  that was in his kingdom. So the king went to find him as fast as he could run.,"Dooyrt yn Ree dy jeanagh eh gholl gys thie Kit McKeelyn dy gheddyn eh son dy re McKeelin va’n dhonney speeint va ayns yn reeraght eck eh. Mor shen, ren yn Ree gholl dy gheddyn eh cha thappee as oddagh eh roie. ",
"     Myr va’n ree roie trooid yn cheyll dy yannoo yn raaid ny sgirrey, ren eh meeiteil rish dooinney mooar goll-rish foawr. Ren eh goaill holt er yn ree as cummal eh. “Cre’n raad t’ou goll ayns wheesh dy hiyr dooyrt yn fer mooar.","     As the king was running through the forest to make the way shorter, he met a big man, like a giant. He took a hold of the king and held him. “Where are you going in such a hurry?” asked the big man. ","Mor va’n Ree roie trooid yn keyll dy yannoo yn raaid ny skirrey, Ren eh meeitteil rish dhonney mooar gholl rish fowar. Ren eh ghoaill holt er yn Ree as cummal eh. cre’n raad t’ou gholl ayns wheesh dy hiyr dooyrt yn fer mooar. ",
"     Eisht dooyrt yn Ree dy row fer ny craueyn yiarn er jeet as er chur e lane foue as dy row eh goll dy gheddyn Kit McKeelin son dy roie marish son nagh row dooinney ayns yn çheer foddagh gleck rish. Dooyrt yn fer mooar rish “Cha lhiass dhyt goll ny sodjey. Neem’s goaill grash dy roie marish. Gow thie ec keayrt as insh da. Va’n ree ayns aggle roish yn dooinney mooar. Va cooat mooar er, sheese gys e vonnyn— as va ny braagyn wheesh rish baatyn beggey, as hie yn ree thie reesht ayns aggle roish. ","     Then the king said that the Iron Bones man had come and had challenged them and that he was going to get Kit McKeelin to run race with him because there wasn’t a man in the land who could wrestle with him. The big man said to him “You don’t need to go any further. I will have a go at running against him. Go home at once and tell him.” The king was afraid of the big man. He had a big coat on him, down to his heels— and the shoes were much like little boats, and he went back home in fear of him.","est doyrt yn Ree dy row fer ny craueyn yarn er jeet as er chur y lane foue as dy row eh gholl dy gheddyn Kit Mc Keelin son dy roie marish son nagh row dhonney ayns yn cheer foddagh gleck rish. dooyrt yn fer mooar rish cha lhas dhyt gholl ny sodjey, nee’ms ghoaill grash dy roie marish. gou thie eck cheayrt as insh da. Va yn Ree ayns aggle rosh yn dhonney mooar. va cooit mooar er sheese gys y vonnyn— as va ny bragyn wheesh rish baathyn beggey, as hie yn Ree thie reesht ayns aggle rosh. ",
     Tra haink yn ree dy valley dooyrt eh rish Craueyn Yiarn dy ren eh meeteil rish dooinney ayns yn cheyll va arryltagh dy roie marish. Dooyrt craueyn Yiarn dy beagh eh feer wooiagh dy akin yn dooinney roish yinnagh eh goll dy roie marish. ,     When the king came home he said to Iron Bones that he met a man in the forest who was willing to race with him. Iron Bones said that he would be very happy to see the man before he would go to race with him.,Tra haink yn Ree dy valley dooyrt eh rish craueyn yarn dy ren eh meetteil rish dhonney ayns yn keyll va arryltag dy roie marish dooyrt craueyn Yarn dy bagh eh feer wooiagh dy akin yn dhonney rosh yannagh eh gholl dy roie marish. ,
"     Eisht ren yn Ree leeideil Craueyn Yiarn gys yn voayl ren eh meeiteil rish yn fer mooar. Tra honnick Craueyn Yiarn yn fer mooar dooyrt eh nagh row eh shen dooinney, agh foawr. As vrie eh jeh yn fer mooar cre’d va’n ennym echey. ","     Then the king lead Iron Bones to the place where he met the big man. When Iron Bones saw the big man he said that he there wasn’t a man, but a giant, nd he asked the big man what his name was.",Esht ren yn Ree leeiddeil craueyn yarn gys yn boayl ren eh meeitteil rish yn fer mooar Tra honnick craueyn yarn yn fer mooar dooyrt eh nagh row eh shen dhonney agh fowar. As vrie eh jeh yn fer mooar cre’d va yn ennym eck eh. ,
     “Boddagh yn Chooat Laaghagh” dooyrt yn fer mooar.      ,     “The Muddy Coat Boddagh” said the big man. ,Boddagh yn cooit lechagh dooyrt yn fer mooar. ,
"     Cha vel mish goll dy roie marish lheid yn Boddagh graney smarree rish shen, dooyrt Craueyn Yiarn. ","     “I am not going to race with such an ugly, greasy Boddagh as that!”  said Iron Bones. ","cha vel mish gholl dy roie marish lheid yn Boddagh grany smarree rish shen, dooyrt craueyn yarn. ",
"     “Cha vel mish agh dooinney goll rhyt hene ,” dooyrt yn Boddagh as cha bee yn çheer currit fo cheesh gys nee mayd fakin quoi vees yn roieder share. ","     “I am only a man like yourself,” said the Boddagh, “and the country will not be put under a tribute until we see who will be the best runner. ",cha vel mish agh dhonney gholl rhyt hene dooyrt yn Boddagh as cha be yn cheer curryt fo cheesh gys nee mayd fakin quoi vess yn roieder share. ,
"     Myr shen va Craueyn Yiarn eginit dy roie marish yn boddagh. Va’n raaid er ny howse daue;  v’ad dy roie er son jeih veeiley as feed as va’d dy ghoill toshiaght dy roie laa ny vairagh, cha leah as yinnagh yn laa brishey. V’ad dy roie voish yn cheyll, myr shen dooyrt Craueyn Yiarn dy jinnagh eshyn lhie ayns yn cheyll gys moghrey, as dooyrt yn boddagh myrgheddin dy jeannagh eshyn lhie ayns yn cheyll neesht. Eisht hie Craueyn Yiarn as ren eh jannoo e lhiabbee fo gob creg, as chymsagh paart dy faiyr chreen dy lhie er.","     So, Iron Bones was compelled to race with the Boddagh. The route was measured for them; they were to run for thirty miles and they were to start to race the next day, as soon as the day would break. They were to run from that great forest, so, Iron Bones said he would go to bed in the forest until morning, and the Boddagh also said that he would go to bed in the forest too, Then Iron Bones went and made his bed under the point of a rock, and collected some dried grass to lie on. ","Mor shen va craueyn yarn eginyt dy roie marish yn Boddagh. va yn raaid er ny howse daue V’ad dy roie er son jeih veeiley as feed as va’d dy gholl toshaght dy roie laa ny vairagh cha lhea as yannagh yn laa brishey V’ad dy roie voish yn keyll mor shen dooyrt craueyn yarn dy jeannagh eshyn lhie ayns yn keyll gys moghrey as dooyrt yn Boddagh morgheddyn fy jeannagh eshyn lhiee ayns yn keyll neesht. Esht hie craueyn yarn as ren eh jannoo y lhiabbee fo ghob creg, as chymsagh paart dy faiyr chreeyn dy lhie er ",
"     Agh, ghow yn Boddagh toshiaght dy vrishey banglaneyn jeh ny biljyn as dy yannoo bwaag da hene dy cheau yn oie ayn, as ayns traa gerrid va bwaag feer jesh jeant echey. Tra haink yn dorraghys, ren Craueyn Yiarn goll dy lhie fo gob yn chreg, as yn Boddagh gys y waag. ","     However, the Boddagh started to break branches off the trees and to make a bivouac for himself to spend the night in, and in a short while he had made a very nice shelter. When the darkness came, Iron Bones went to lie under the point of the rock, and the Boddagh to the shelter.","agh ghow yn Boddagh toshaght dy vrishey banglanen jeh ny biljyn as dy yannoo bwaag da hene, dy cheau yn oie ayn, as ayns tra gherryd va bwaaig feer jesh jeant eck eh Tra haink yn dorraghys, ren craueyn yarn gholl dy lhie fo ghob yn chreg, as yn Boddagh gys y waaig. ",
"      Agh ayns traa gerrid ren Craueyn Yiarn clashtyn sheean as haink eh magh dy ghoaill baght jeh as honnick eh yn Boddagh roie geiyrt er muck feeaih, as tra ren eh tayrtyn ee ren eh aile mooar dy ghreddey yn vuck, as tra va’n vuck currit er yn aile hie yn Boddagh roish reesht, as kione tammylt beg dy hraa, haink eh reesht lesh saagh mooar dy yough lhune er e ghreeym, eisht haink eh dy chuirrey Craueyn Yiarn dy heet gys shibber marish, agh ren eh ghobbal dy heet. Eisht ren yn Boddagh soie sheese gys e hibber ny lomarcan as ren eh gee leih jeh’n vuck, as giu leih jeh’n jough, eisht ren eh lhie sheese as goll dy chadley, agh cha ren Craueyn Yiarn cadley agh feer veg, smooinaght er yn roie veagh goaill toshiaght ayns y vogheree. ","     But in a short while Iron Bones heard a sound and he came out to take a view of it and he saw the Boddagh running after a wild pig, and when he caught it he made a big fire to grill the pig, and when the pig was put on the fire the Boddagh went on back, and in a short bit of time, he came back with a large vessel of beer on his back, then he came to invite Iron Bones to come to supper with him, but he refused to come, then the Boddagh sat down to his supper alone and he ate half of the pig, and drank half of the beer, then he lay down and went to sleep, but Iron Bones only slept a little bit, thinking about the race that would be starting in the morning.","Agh ayns tra ghettyd ren Craueyn yarn closhtyn sheean as haink eh magh dy ghoaill beagh jeh as honnick eh yn Boddagh roie giyrt er muck feeaih, as tra ren et taartyn ee ren eh aile mmoar dy greddy yn vuck, as tra va’n vuck curryt er yn aile hie yn Boddagh rosh reesht, as kione tammylt beg dy chra, haink eh reesht lesh siagh mooar dy yogh lune er y greem, esht haink eh dy quirrey craueyn yarn dy heet gys shibber marish, agh ren eh ghobbal dy heet esht ren yn Boddagh soie sheese gys y hibber nylomerkyn as ren eh gee lheah jeh yn vuck, as gieu lheah jeh yn jogh, esht ren eh lie sheese as gholl dy chadley, agh cha ren craueyn yarn chadley agh feer veg. smooinnagh er yn roie vagh ghoaill toshaght ayns y voghery. ", jough lhune – ‘ale drink’. 
"     Tra ren yn laa brishey, ren Craueyn Yiarn girree, agh cha row yn Boddagh aarloo, dooyrt eh, son nagh row eh er vrishey e hrostey. Ren Craueyn Yiarn toshiaght dy roie agh ren yn Boddagh soie sheese dy ee yn leih elley jeh’n vuck, as dy iu yn jough, eisht tra ve lesh gee as giu, ghow eh toshiaght dy roie geiyrt er Craueyn Yiarn.","     When the day broke, Iron Bones rose up, but the Boddagh wasn’t ready, he said, because he hadn’t had his breakfast. Iron Bones started to run, but the Boddagh sat down to eat the other half of the pig, and to drink the beer, then, when he was done eating and drinking, he started to run after Iron Bones. ","tra ren yn laa brishey, ren craueyn yarn girree, agh cha row yn boddagh aarloo dooyrt eh son nagh row eh er vrishey y chrostey, ren Craueyn yarn toshaght dy roie agh ren yn Boddagh soie sheese dy ee yn lheah elley jeh yn vuck, as dy iu yn jogh, esht tra ve lesh gee as giu, ghow eh toshaght dy roie giyrt er craueyn yarn, ",
