Manx,English,Diplomatic
"Yeese, my Ynrican Treishteil",Jesus My Only Hope,Yeesey my Ynrican Treishteil.
Yeesey my ynrican treishteil,"Jesus my only hope,",Yeesey my ynrican treishteil
As niart my chree ta nish falleil,"And strength of my now-failing heart,",As niart my chree ta nish falleil
Cur dou un shilley jeh dy oaie,"Give me one sight of your face,",Cur dou un shilley jeh dy oie
As lieen my annym lesh dty ghraih,And fill my soul with your love.,As lieen my annym lesh dy ghraih
,,
O jean mee aarloo Hiarn ayns shoh,"O make me ready here Lord,",O jean mee aarloo Hiarn ayns shoh
Dy ve mayrt Hene ayns yn vea noa,"To be with you in new life,",Dy ve mayrt Hene ayns yn vea noa
Dy ooashlagh ec dty chassyn lhie,"To worship lying at your feet,",Dy ooaishlagh eck dy chassyn lhie
Tra nee Oo goaill my annym thie,When you take my soul home.,Tra nee Oo ghoaill my annym thie
,,
Farquhar,Farquhar,Farquhar
