Manx,English,Diplomatic
Yn Nollick,Christmas,Yn Nollick
Ta’n Nollick tayrn er gerrey reesht,Christmas draws near again,Ta’n Nollick tarn ergerrey reesht
Tra ruggyr nyn Saualtagh Chreest,When our Saviour Christ was born,Tra ruggyr nyn Saualltagh Chreest
Tra haink Eh ayns yn seihll syn ’eill,When he came into the world in the flesh,Tra haink e ayns yn seihll syn eill
Yn Jee va harrish Ainleyn reill,"The God who was, over Angels, ruling","Yn Jee va harrish, Ainleyn reill"
Syn imbagh shoh haink flaunyssee,In this season the heaven-dwellers came,Syn imbagh shoh haink flaunyssee
Er-gys ny bochillyn syn oie,Unto the shepherds in the night,Er-gys ny boghylyn syn oie
Gra dy row Jee ta foast er mayrn,"Saying that God, who still existed,",Gra dy row Jee ta foast ermarn
Er choyrt saualtagh Chreest yn Çhiarn,Had sent the saviour Christ the Lord,Er churt saualtagh Chreest yn Chiarn
Naightyn gerjoil da slane sheelnaue,Comforting news for all mankind,Naghtyn gherjoil da slane shelnaue
Currit lesh ainleyn neose veih Niau,Sent with Angels down from Heaven,Curryt lesh Ainleyn neose veih Niau
Esht ren yn cheshAgh flaunysagh,Then the heavenly company,Esht ren yn cheshagh flaunysagh
Chur gloyr da Jee ta reill dy bragh,Gave glory to God who rules forever,Chur gloyr da Jee ta reill dy bragh
Er son E vighyn as eereeish,For his mercy and compassion,Er son y vighyn as eeireesh
Yn gooit dy ghraih v’eh er choyrt sheese,The gift of love he had sent down,Yn gooit dy chraih ve er churt sheesh
Y vac hene ruggit ayns yn ’eill,His own son born in the flesh,Y vac hene ruggyt ayns yn eill
Dy yannoo lhiasagh son yn seihll,To make amends for the world,Dy yannoo lhassagh son yn seihll
Dy osley nish raad noa as bio,To open now a new way and life,Dy ostley nish raaid noa as bio
Da peccee çherraghtyn ayns shoh,For sinners perishing here,Da peccee charraghtyn ayns shoh
As dy hauail shin liorish grayse,And to save us by grace,As dy hauaill shin liorish graase
Sluight Adam va fo deyrey baase,The seed of Adan that was under sentence of death,Sluight Adam va fo deyrey baase
Haink eh dy chur E vioghys sheese,He came to put his life down,Haink eh dy chur y viogys sheese
Ny yeih lesh pooar dy goaill eh reesht,Yet with power to take it again,Ny yeih lesh pooar dy ghoaill eh reesht
Dy voddagh peccee geddyn foayr,So that sinners could gain favour,Dy voddagh peccee gheddyn fooar
T’Eh nish pleateil son ain ayns gloyr,He now pleads for us in glory,Te nish pleeiddeil son ain ayns gloyr
Nagh mooar yn ghraih v’ec Jee er sleih,How great was God’s love for people,Nagh mooar yn ghraih veck Jee er sleih
Va choud ny lhie fo deyrey treih,Who were so long lying under miserable sentence,Va choud ny lhie deyrey treih
Dy chur E vac dy ghoaill ny stayd ,To give his son to take a state,Dy chur y vac dy ghoaill ny stayd 
Dy ghoaill nyn drimshey as nyn laad,To take our sadness and our load,Dy ghoaill nyn drymshey as nyn laaid
Nagh lhisagh shin lesh slane nyn ghree,Shouldn’t we with all our hearts,Nagh lhyssagh shin lesh slane nyn ghree
Cur graih da mac yn Niarthal Jee,Give love to the sone to the Mighty God,Chur graih da mac yn Niarthal Jee
Nagh ren eh shin gys baase aagail,Who did not abandon us to death,Nagh ren eh shin gys baase aaigaill
Fo laad nyn beccaghyn rouaill,Wandering under the load of our sins,Fo laayd nyn peccaghyn rouaill
Lhig da dagh nane jeh graih gimraa,Let every one mention love,Lhig da dagh nane jeh ghraih gimraa
As cur dagh gloyr as moylley da,And give every glory and praise to him,As cur dagh gloyr as moylley da
Er son E vighyn as erreeish,F~or his mercy and compassion,Er son y vyghyn as eeireesh
Ren fosley giattyn Phargys reesht,That opened the gates of Paradise again,Ren fostley gaatyn Pargys reesht
Eisht lhig dooin nish choud’s ta shin bio,"The let us now, whilst we are alive",Esht lhig dooin nish chouds ta shin bio
