English,Manx,Page,Manx Original,Notes
L.R.T.S. No. 70,,,,
POOR JOSEPH.,JOSEPH BOGHT.,1,,
"“Take it, and divide it among the poor friends of the Lord Jesus.”",,1,,
Joseph,"[Engraving of Joseph on his death-bed, with his hand in Dr. Calamy’s.]",1,,
"A poor half-witted man named Joseph, whose employment was to go on errands, and carry parcels, passing through London streets one day, heard psalms singing in a place of worship: he went into it, having a large parcel of yarn hanging over his shoulders; it was Dr. Calamy's meeting-house, St. Mary's, Aldermanbury. A very well-dressed audience surrounded the Doctor. He read the text from 1 Tim. i. 15.—”This is a faithful saying, and worthy of all acceptation, that Christ Jesus came into the world to save sinners, of whom I am chief.” From this he preached, in the clearest and simplest manner, the ancient and apostolic gospel, the contents of this faithful saying, viz. That there is eternal salvation for the vilest sinners, solely through the worthiness of Jesus Christ, the God that made all things. “Not many rich, not many noble,” are called by this doctrine, (saith the Apostle;) but “God hath chosen the weak things of this world to confound the things that are mighty.”","Myr va dooinney boght lieh-cheayllagh, enmyssit Joseph, yn obbyr echey v’eh dy gholl er chaghteraghtyn as dy chur lesh erraghyn beggey, shooyl trooid straidyn Lunnin laa dy row, cheayll eh sleih goaill arraneyn-moyllee ayns thie Yee: hie eh stiagh ayn, lesh laad dy naie harrish e gheaylin; va’n cabbal shen cabbal Voirrey, Aldermanbury, as va Saggyrt Calamy vn Shirveishagh. Va ymmodee sleih berchagh geaishtagh rish y Taggyrt. Lhaih eh yn text ayns 1 Tim. i. 15. “Ta shoh raa firrinagh, as feeu ard-soiagh ve jeant jeh liorish dy chooilley ghooinney, dy daink Yeesey Creest gys y theihll dy hauail peccee; jeu ta mish yn ard-er.” Veih ny goan shoh ren eh preacheil, ayns yn aght s’baghtal bun yn raa firrinagh shoh, eer, dy vel saualtys dy bragh-farraghtyn son ny peccee s’eajee, ynrycan trooid toilchinys Yeesey Creest, yn Jee chroo dy chooilley nhee. “ Cha nee ymmodee deiney creeney lurg yn eill, cha nee ymmodee deiney pooaral, cha nee ymmodee deiney ooasle t’er nyn eam (ta’n Ostyl gra;) agh ta Jee er reih reddyn faase y theihll, dy naaraghey ny reddyn niartal.” ",1,,
"Whilst the elegant part of the congregation listlessly heard this doctrine, and if they were struck with any thing at all, it was only with some brilliant expression, or well turned period that dropped from the doctor; —Joseph, in rags, gazing with astonishment, never took his eyes from the preacher, but drank in with eagerness all he said; and trudging homeward, he was heard thus muttering to himself; “Joseph never heard this before; Jesus Christ, the God who made all things, came into the world to save sinners like Joseph; and this is true: and it is a faithful saying.'' —Not long after this, Joseph was seized with a fever, and was dangerously ill. As he tossed upon his bed, his constant language was, “Joseph is the chief of sinners; but Jesus Christ came into the world to save sinners, and Joseph loves him for this.” His neighbours who came to see him, wondered, on hearing him always dwell on this, and only this: some of the religious sort addressed him in the following manner:— “But what say you of your heart, Joseph? Is there no token for good about it? No saving change there? Have you closed with Christ, by acting faith upon him?” “Ah! no, (says he) Joseph can act nothing—Joseph has nothing to say for himself, but just that he is the chief of sinners; yet seeing that it is a faithful saying, that Jesus, he who made all things, came into the world to save sinners, why may not Joseph after all, be saved?”","Choud’s foddee va paart jeh’n vooinjer verchagh clashtyn yn ynsagh shoh lesh lhag-kiarail, va Joseph ayns frytlaggyn, jeeaghyn er yn Shirveishagh dy gyere lesh yindys; cha ghow eh e hooillyn voish, agh ghow eh stiagh lesh jeeanid ooilley ny loayr eh; as myr v’eh goll thie v’eh er ny chlashtyn loayrt myr shoh rish hene, “Cha geayll Joseph shoh rieau roïe; haink Yeesey Creest, yn Jee chroo dy chooilley nhee, gys y theihll dy hauail peccee goll-rish Joseph; as ta shoh raa firrinagh.” Cha row eh foddey lurg shoh, derrey ghow Joseph yn chiassaghey, as v’eh feer doogh. Myr v’eh chyndaa veih lhiattee gy lhiattee er e lhiabbee, v’eh dy kinjagh gra, “Ta Joseph ard peccagh; agh haink Yeesey Creest gys y theihll dy hauail peccee, as ta Joseph graihagh er son shoh.” Ghow e naboonyn haink dy chur shilley er, yindys, ec clashtyn eh dy kinjagh taggloo er yn aght shoh, as er yn aght shoh ny-lomarcan. Dooyrt paart dy leih crauee rish, “Agh cre t’ou gra mychione dty chree, Yoseph? Nagh vel cowrey mie erbee ayn? Nagh vel caghlaa firrinagh er ve obbrit ayn? Vell oo er jeet gys Creest, liorish credjal ayn?” Ah treih! cha vel, (dooyrt eshyn,) cha vod Joseph veg y yannoo—cha vel veg ec Joseph dy ghra er e hon hene, agh ynrycan dy vel eh ny ard peccagh; ny-yeih myr te raa firrinagh, dy daink Yeesey, eshyn chroo dy chooilley nhee, gys y theihll dy hauail peccee, cre’n fa nagh vod Joseph, lurg ooilley, ve er ny hauail?",1,"Choud’s foddee va paart jeh’n vooinjer verchagh clashtyn yn ynsagh shoh lesh lhag-kiarail, va Joseph ayns frytlaggyn, jeeaghyn er yn Shirveishagh dy gyere lesh yindys; cha ghow eh e hooillyn voish, agh ghow eh stiagh lesh jeeanid ooilley ny loayr eh; as myr v’eh goll thie v’eh er ny chlashtyn loayrt myr shoh rish hene, “Cha geayll Joseph shoh rieau roïe; haink Yeesey Creest, yn Jee chroo dy chooilley nhee, gys y theihll dy hauail peccee goll-rish Joseph; as ta shoh raa firrinagh.” Cha row eh foddey lurg shoh, derrey ghow Joseph yn chiassaghey, as v’eh feer doogh. Myr v’eh chynda veih lhiattee gy lhiattee er e lhiabbee, v’eh dy kinjagh gra, “Ta Joseph ard peccagh; agh haink Yeesey Creest gys y theihll dy hauail peccee, as ta Joseph graihagh er son shoh.” Ghow e naboonyn haink dy chur shilley er, yindys, ec clashtyn eh dy kinjagh taggloo er yn aght shoh, as er yn aght shoh ny-lomarcan. Dooyrt paart dy leih crauee rish, “Agh cre t’ou gra mychione dty chree, Yoseph? Nagh vel cowrey mie erbee ayn? Nagh vel caghlaa firrinagh er ve obbrit ayn? Vell oo er jeet gys Creest, liorish credjal ayn?” Ah treih! cha vel, (dooyrt eshyn,) cha vod Joseph veg y yannoo—cha vel veg ec Joseph dy ghra er e hon hene, agh ynrycan dy vel eh ny ard peccagh; ny-yeih myr te raa firrinagh, dy daink Yeesey, eshyn chroo dy chooilley nhee, gys y theihll dy hauail peccee, cre’n fa nagh vod Joseph, lurg ooilley, ve er ny hauail",
"One man, finding out where he heard this doctrine, on which he dwelt uniformly, and with such delight, went and asked Dr. Calamy to come and visit him. He came: but Joseph was now very weak, and had not spoken for some time; and though told of the doctor's arrival, be took no notice of him: but when the doctor began to speak to him, as soon as he heard the sound of his voice, he instantly sprang upon his elbows, and seizing him by the hands, exclaimed as loud as he could, with his now feeble and trembling voice, “O Sir! you are the friend of the Lord Jesus, whom I heard speak so well of him, and whom I love for what you said of him. Joseph is the chief of sinners; but it is a faithful saying, that Jesus Christ, the God who made all things, came into the world to save sinners, and why not Joseph? O pray to that Jesus for me; pray that he may save me! tell him that Joseph thinks that he loves him, for coming into the world to save such sinners as Joseph.” The doctor prayed. When he concluded, Joseph thanked him most kindly. He then put his hand under the pillow, and took an old rag, in which were tied up five guineas, and putting it into the Doctor's hand, (which he had kept all this while close in his,) he thus addressed him: “Joseph, in his folly, had laid this up to keep him in his old age; but Joseph will never see old age; take it., and divide it amongst the poor friends of the Lord Jesus; and tell them that Joseph gave it them for his sake who came into the world to save sinners, of whom he is the chief.” So saying, he reclined his head. His exertions in talking had been too much for him, so that he instantly expired.","Lurg va dooinney ennagh er gheddyn magh yn raad cheayll eh yn ynsagh shoh, mychione v’eh taggloo cha kinjagh as lesh theid y thaitnys, hie eh as ghuee eh er Saggyrt Calamy dy heet dy yeeaghyn eh. Haink eh: agh va Joseph nish feer annoon, as cha row eh er loayrt son tammylt dy hraa; as ga dy row eh inshit da dy row Saggyrt Calamy er jeet, cha ghow eh tastey erbee jeh: agh tra ghow yn Taggyrt toshiaght dy loayrt rish, cha leah as cheayll eh e choraa, chelleeragh hrog eh eh-hene er e uillyn, as goaill greme er e laueyn, deïe eh cha ard as oddagh eh, lesh e choraa nish annoon as craa, “O vainshter! T’ou uss carrey yn Chiarn Yeesey, oo cheayll mee loayrt cha mie jeh, as ersyn ta mee graihagh son shen dooyrt oo my-e-chione. Ta Joseph ard peccagh; agh te raa firrinagh, dy daink Yeesey Creest, yn Jee chroo dy chooilley nhee, gys y theihll dy hauail peccee; as cre’n oyr nagh jean eh Joseph y hauail? O gow padjer gys yn Yeesey shen er my hon; gow padjer dy jean eh mish y hauail! insh da dy vel Joseph smooinaghtyn dy vel eh graihagh ersyn, son dy daink eh gys y theihll dy hauail lheid ny peccee as Joseph.” Ghow yn Taggyrt padjer. Tra va’n padjer ec kione, hug Joseph yn booise s’creeoil da. Hug eh eisht e laue fo yn chlooisag, as ghow eh shenn chlout, ayn va kianlt seose queig guinneeyn as hug eh eh ayns laue yn Taggyrt (e laue va greme echey er ooilley yn traa shoh,) as dooyrt eh myr shoh rish: “Va Joseph, tra v’eh ommijagh, er hashtey shoh dy gheddyn beaghey da hene ayns e henn eash; agh cha jean Joseph dy bragh fakin shenn eash; gow eh, as rheynn eh mastey caarjyn boghtey yn Chiarn Yeesey; as insh daue dy dug Joseph eh daue er y ghraih echesyn haink gys y theihll dy hauail peccee, jeu t’eshyn yn ard-er.” Cha leah’s v’eh er ghra shoh, ren eh lhoobey sheese e chione. Va e yeeanid ayns taggloo er ve rouyr da, myr shen dy ren eh chelleeragh partail.",2,,
"Dr. Calamy left this scene, but not without shedding tears over Joseph: and used to tell this little story with much feeling, as one of the most affecting occurrences he ever met with.","Cha daag Saggyrt Calamy yn boayl, fegooish shilley jeïr harrish Joseph; as v’eh cliaghtit dy insh yn coontey giare shoh, lesh lane ennaghtyn, as myr cooish ghow ny smoo dy ghreme er e chree, na nhee erbee ren ah rieau meeiteil rish.",3,,
It naturally suggests the following observations:,Ta’n coontey shoh dy cooie gynsaghey dooin ny lessoonyn vondeishagh shoh.,3,,
"1 . Let us admire the sovereignty of Divine Grace. The whole congregation whether rich or poor, were sinners in the fight of a holy God, and stood equally in need of that salvation, which by the gospel, was preached to them. But while the elegant assembly heard it with listless inattention, the word of God came with demonstration of the Spirit and of power to the heart of Joseph, and fixed his attention to its infinite importance. To what can we ascribe this difference, but to the sovereign grace of Him who will have mercy on whom he will have mercy; who hath hid these things from the wise and prudent, and revealed to babes, and hath chosen the poor in this world to be rich in faith and heirs of the kingdom which he hath promised to them that love him ?",1. [1],3,,[1] The first paragraph of the first ‘observation’ is omitted in the Manx.
