English,Manx,Manx Orginal,Page,Notes
THE,THE,,3,
Church Catechism,Church CATECHISM,,3,
EXPLAINED :,"EXPLAINED,",,3,
By Way of,by way of,,3,
Question and Answer.,QUESTION  and  ANSWER.,,3,
P A R T  I.,YN CHIED AYRN.,,3,
The Christian Covenant.,Mychione y Conaant Creestee.,,3,
,,,3,
SECT. I.,SECT. I.,,3,
"Of the Benefits of Baptism; or, the Mercies afforded on God’s Part.","Mychione Vondeishyn Bashtey; ny, ny Myghinyn er ny fordrail er Ayrn Yee.",,3,
Quest. What is your Name?,Quest. Cre’n ennym t’ort?,,3,
Answ. N. or M.,Answ. N. ny M.,,3,
Q. What do you call this Name which you answer by?,Q. Cre t’ow genmys yn ennym shoh t’ow freggyrt liorish? ,,3,
A. I call it my Christian Name.,A. Ta mee genmys eh my ennym Creestee.,,4,
Q. Why do you call it your Christian Name?,Q. Cre’n-fa t’ow genmys eh dty ennym Creestee?,,4,
A. Because it was given me when I was made a Christian.,A. Er-yn-oyr dy row eh er ny choyrt dou tra va mee jeant my Chreestee.,,4,
Q. Why are you here asked this Name?,Q. Cre’n-fa ta’n ennym shoh ayns y boayl shoh er ny ênaght jeed?,,4,
"A. To put me in mind of the Faith I professed; and the Vows that I made at my Baptism, when this Name was given me.","A. Dy chur mee ayns cooinaghtyn jeh’n Chredjue ghow mee orrym, as ny breearraghyn ren mee y yannoo ec my Vashtey, tra va’n ennym shoh er ny choyrt dou.",,4,
Q. Who gave you this Name?,Q. Quoi hug yn ennym shoh dhyt?,,4,
"A. My Godfathers and Godmothers in my Baptism ; wherein I was made a Member of Christ, the Child of God, and an Inheritor of the Kingdom of Heaven.","A. My ghedjaghyn as my vimmaghyn ayns my Vashtey; tra va mee er my yannoo my oltey dy Chreest, lhiannoo dy Yee, as eirey dy reeriaght niau.",,4,
Q. Why did your Godfathers and Godmothers give you your Christian name?,Q. Cre’n-oyr ren dty ghedjaghyn as dty vimmaghyn dty ennym Creestee y choyrt dhyt?,,4,
"A. Because they presented me to my Baptism, and gave Security to the Church for my Christian Education.","A. Er-yn-oyr dy ren ad mee y choyrt lhiam gys my Vashtey, as dy dug ad raane ny shickyrys da’n Agglish son my ynsagh Creestee.",,4,
Q. What are the Privileges you receive by being baptised?,Q. Cre ta ny vondeishyn t’ayd liorish ‘ve er dty vashtey?,,4,
"A. I am thereby made a Member of Christ, a Child of God, and an Inheritor of the Kingdom of Heaven.","A. Ta mee liorish shen er my yannoo my oltey dy Chreest, lhiannoo dy Yee, as eirey dy reeriaght niau.",,4,
"Q. Why are you said to be made a Member of Christ, a Child of God, and an Inheritor of the Kingdom of Heaven?","Q. Cre’n-fa t’ow er ny ghra dy ve er dty  Yannoo dty oltey dy Chreest, lhiannoo dy Yee, as eirey dy reeriaght niau?",,4,
"A. Because I was not so born, but made so by Baptism.","A. Er-yn-oyr nagh ruggyr mee myr shen, agh dy row mee er my Yannoo myr shen liorish Bashtey.",,5,
Q. How do you prove this by Scripture?,Q. Kys t’ow prowal shoh liorish Scriptyr?,Q. Kys t’ow prowal shoh liorish Scriptyr,5,
A. By Eph. ii. 3. And were by nature the children of wrath.,A. Liorish Eph. ii 3. As va shin liorish dooghys nyn ghloan dy yymmoose.,,5,
"John i. 12, 13. As many as received him, to them gave he power [privilege] to become the sons of God; which were born, not of blood, nor of the will of the flesh, nor of the will of man, but of God.","Ean. i. 12. 13. Whilleen as ren soiaghey jeh, dauesyn hug eh pooar (ta shen dy ghra, cairys) dy heet dy ve nyn mec dy Yee, dauesyn ruggyr, cha nee jeh fuill, ny jeh aigney ny foalley, ny jeh aigney dooinney, agh jeh Jee.",,5,
"John iii. 5, 6. Except a man be born of water and of the Spirit, he cannot enter into the kingdom of God. That which is born of the flesh is flesh.","Ean. iii. 5. 6. Mannagh bee dooinney er ny ruggey jeh ushtey as jeh’n Spyrryd, cha vod eh goll stiagh ayns reeriaght Yee. Shen t’er ny ruggey jeh’n eill, she feill eh.",,5,
Q. What is it to be a Member of Christ?,Q. Cre te dy ve oltey dy Chreest?,,5,
"A. It is to be a Member of Christ’s Church, and thereby united to Christ as our Head.","A. Te dy ve oltey jeh Agglish Chreest, as liorish shen dy v’er ny yannoo unnane marish Creest myr nyn gione.",,5,
Q. Why is a Member of Christ’s Church said to be a Member of Christ?,Q. Cre’n-fa ta oltey jeh agglish Chreest er ny ghra dy ve oltey dy Chreest?,,5,
"A. Because the Church is called the Body of Christ, and Christ is called the Head of that Body.","A. Er-yn-oyr dy vel yn Agglish enmyssit corp Chreest, as Creest er ny enmys kione yn corp shen.",,5,
"Q. Where is the Church called the Body of Christ, and Christ the Head of the Church?","Q. Cre’n boayl ta’n Agglish enmyssit corp Chreest, as Creest kione yn Agglish? ",,5,
"A. In Eph. i. 22, 23. The church, which is his body.","A. Ayns Eph. i. 22. 23. Yn agglish, ta yn corp echeysyn.",,6,
Eph. v. 23. Christ is the head of the church.,Eph. v. 23. Creest kione yn agglish.,,6,
"Q. How do you prove, that by Baptism you are made a Member of Christ’s Church?","Q. Kys t’ow prowal, dy vel oo liorish Bashtey er dty yannoo oltey jeh Agglish Chreest?",,6,
"A. Because Christ appointed, and his Apostles always used Baptism as the Way of Admittance into the Church.","A. Er-yn-oyr dy ren Creest pointeil, as dy ren e Ostyllyn kinjagh ymmyd y yannoo jeh Bashtey myr yn aght dy ghoaill stiagh ayns yn Agglish.",,6,
Q. What is it to be a Child of God?,Q. Cre te dy ve lhiannoo dy Yee?,,6,
"A. It is to be one whom God in an especial manner loves, as a Father does his Child.","A. Te dy ve unnane ta Jee graihagh er ayns aght er-lheh, myr ta ayr er e lhiannoo.",,6,
"Q. Why are you first said to be a Member of Christ, and then a Child of God?","Q. Cre’n-fa t’ow er ny ghra hoshiaght dy ve oltey dy Chreest, as eisht lhiannoo dy Yee?","Q. Cre’n-ra fa t’ow er ny ghoshiaght dy ve oltey dy Chreest, as eisht lhiannoo dy Yee?",6,"errors corrected in the Errata, p. 91."
A. Because it is through Christ that I am made a Child of God.,A. Er-yn-oyr dy nee trooid Creest ta mee er my yannoo liannoo dy Yee.,,6,
"Q. How do you prove from Scripture, that by Baptism you were made a Child of God?","Q. Kys t’ow prowal veih’n Scriptyr, dy vel oo liorish Bashtey er dy yannoo lhiannoo dy Yee?",,6,
"A. From Rom. viii. 15. Ye have received the spirit of adoption, whereby we cry Abba, Father.","A. Veih Rom. viii. 15. Ta shin er gheddyn yn Spyrryd dy gholtanys, liorish ta shin geamagh Abba, Ayr.",,6,
"Gal. iii. 26, 27. Ye are all the children of God by faith in Christ Jesus: for as many of you as have been baptized into Christ, have put on Christ.","Gal. iii. 26, 27. Ta shiu ooilley cloan Yee liorish credjue ayns Creest Yeesey: son whilleen jiuish as t’er ny ve bashtit gys Creest, ta shiu coamrit lesh Creest.","Gal. iii. 26, 27. Ta shiu ooilley cloan Yee liorish credjue ayns Creest Yeesey: son ny whilleen jiuish as t’er gys ve bashtit Creest,[4] ta shiu coamrit lesh Creest.",6,"errors corrected in the Errata, p. 91."
Q What is it to be an Inheritor of the Kingdom of Heaven?,Q. Cre te dy ve eirey dy reeriaght niau?,,6,
"A. It is to be so by Promise; so that I may surely, by leading a Christian Life, have the Possession of an eternal Inheritance.","A. Te dy ve myr shen liorish gialdyn; myr  shen dy voddym dy-shickyr, liorish bea Creestee y leeideil, soylley ’gheddyn jeh eiraght vees dy-bragh beayn.",,6,
Q. How is this proved by Scripture?,Q. Kys ta shoh er ny phrowal liorish Scriptyr?,,7,
"A. From Luke xii. 32. Fear not, little flock; for it is your Father’s good pleasure to give you the kingdom.","A. Veih Luke xii. 32. Ny gow aggle, hioltane veg; son she aigney mie nyn Ayr eh dy chur diu yn reeriaght.",,7,
"Rom. viii. 16, 17. We are the children of God: and if children, then heirs; heirs of God, and joint-heirs with Christ.","Rom. viii. 16, 17. Ta shin nyn ghloan dy Yee: as my she cloan shin, eisht eiraghyn; eiraghyn dy Yee, as co-eiraghyn marish Creest.",,7,
"1 John ii. 25. And this is the promise that he hath promised us, even eternal life.","1 Ean. ii. 25. As shoh yn gialdyn t’er er n’yannoo dooin, dy-jarroo yn vea veayn.",,7,
,,,7,
SECT. II.,SECT. II.,,7,
Of the Vow of Baptism; or the Conditions required on our Part.,"Mychione y Breearrey Bashtey: ny, ny Conaantyn er ny hirrey er yn Ayrn ainyn.",,7,
Q. You have told me what Privileges you have by being baptized; but cannot you forfeit them? ,Q. T’ow er n’insh dou cre ny vondeishyn t’ayd liorish ve er dty vashtey; agh nagh vod oo ad shen y choall?,,7,
"A. Yes, I may lose them, if I do not keep the Promises made for me when I was baptized.",A. Foddym y choall ad mannagh vreillym ny gialdinyn v’er ny yannoo er my hon tra va mee er my vashtey.,,7,
Q What did your Godfathers and Godmothers then for you?,Q. Cre ren dty ghedjaghyn as dty vimmaghyn eisht er dty hon? ,,7,
