English,Manx,Manx Original,Page,EnglishPage,Notes
L. R. T. S. No. 70.,[engraving],,1,1,
the,,,1,1,
SWEARER’S PRAYER;,PADJER Y LOODER;,,1,1,
"or,",ny,,1,1,
HIS OATH EXPLAINED.,BAGHT ER NY CHOYRT ER E LOO.,,1,1,
,,,1,1,
[engraving],,,1,1,
,,,1,1,
"WHAT! a Swearer pray! Yes, Swearer, whether thou thinkest so or not, each of thine oaths is a prayer,—an appeal to the Holy and Almighty God, whose name thou darest so impiously to take into thy lips.","Cre! Looder goaill padjer! She, Looder, ga roi dhyts smooinaghtyn shen ny dyn,[1] ta dagh loo t’ou jannoo padjer,—son liorish shoh t’ou geamagh er yn Jee casherick as ooilley niartal, e ennym t’ou goaill ort dy daaney as dy mee-chrauee dy ghoaill ayns dty veillyn.","Cre! Looder goaill padjer! She, Looder ga roi dhyts smooinaghtyn shen ny dyn,[1] ta dagh loo t’ou jannoo padjer,—son liorish shoh t’ou geamagh er yn Jee casherick as ooilley niartal, e ennym t’ou goaill ort dy daaney as dy mee-chrauee dy ghoaill ayns dty veillyn.",1,1,"[1] ga roi ...] Kelly: GA-REIH, adv. and conj. albeit, although, whether. Mo."
"And what is it, thinkest thou, Swearer, that thou dost call for, when the awful imprecations, Damn, and Damnation, roll so frequently from thy profane tongue? Tremble, Swearer, while I tell thee! Thy prayer containeth two parts: Thou prayest, first, that thou mayest be deprived of eternal happiness! Secondly, that thou mayest be plunged into eternal misery!","As cre t’eh, t’ou smooinaghtyn, Looder, t’ou geamagh er y hon, tra ta ny focklyn atchimagh shen mollaght orrym, ny mollaght orts, cha mennick tuittym voish dty hengey mee-chrauee? Bee er creau, Looder, choud as ta mee ginsh dhyt! Ta dty padjer jeant seose jeh daa ayrn: T’ou goaill padjer, hoshiaght, dy vod oo hene ny dty heshey cretoor[2] ve er ny spooilley jeh maynrys dy bragh farraghtyn! ’Sy nah ynnyd, dy vod shiu ve er nyn dilgey[3] ayns treihys dy bragh farraghtyn.","As cre t’eh, t’ou smooinaghtyn, Looder, t’ou geamagh er y hon, tra ta ny focklyn atchimagh shen mollaght orrym, ny mollaght orts, cha mennick tuittym voish dty hengey mee-chrauee? Bee er creau Looder choud as ta mee ginsh dhyt! Ta dty padjer jeant seose jeh daa ayrn: T’ou goaill padjer, hoshiaght, dy vod oo hene ny dty heshey cretoor[2] ve er ny spooilley jeh maynrys dy bragh farraghtyn! ’Sy nah ynnyd, dy vod shiu ve er nyn dilgey[3] ayns treihys dy bragh farraghtyn.",1,1,"[2] The translator, having rendered Damn and Damnation as mollaght orrym ‘curse on me’ and mollaght orts ‘curse on you’, consequently modifies ‘that thou mayest be deprived’ to ‘that thou or thy fellow creature may be deprived’.
[3] shiu ve er nyn dilgey] The translator carelessly slips from oo ‘2sg.’ to shiu ‘2pl.’."
"When therefore thou callest for damnation, dost thou not, in effect, say as follows? “O God! thou hast power to punish me in Hell for ever; therefore let not one of my sins be forgiven; Let every oath I have sworn —every lie that I have told—every Sabbath that I have broken, and all the sins that I have committed, either in thought, word, or deed, rise up in judgment against me, and eternally condemn me! Let me never partake of thy salvation! May my soul and body be deprived of all happiness, both in this world and that which is to come! Let me never see thy face with comfort—never enjoy thy favour and friendship; and let me never enter into the kingdom of Heaven!” .","Tra eisht t’ou geamagh son coayl-anmey ort hene nagh vel oo ayns firrinys loayrt myr shoh— “O Yee! ta pooar ayds de cherraghey mee ayns Niurin son dy bragh: shen-y-fa ny lhig da unnane jeh my pheccaghyn ve er ny leih dou! Lhig da my loo as my gweeaghyn, dy chooilley vreg ta mee er n’insh, dy chooilley ghoonaght ta mee er vrishey, as ooilley ny peccaghyn ta mee er chur roo eddyr ayns smooinaght, raa, ny jannoo, girree seose ayns briwnys m’oi, as mee y gheyrey dys toyrt mow dy bragh farraghtyn! Ny lhig dou dy bragh ayrn y ghoaill jeh dty haualtys! Giall dy vod my annym as my challin ve er nyn spooilley jeh dy chooilley vaynrys chammah ayns y theihll shoh as ayns у theihll ta roi heet! Ny lhig dou dy bragh dty eddins у akin lesh gerjagh, ny dy bragh soylley ‘ghoaill jeh dty oayr ny dty chaarjys; as ny lhig dou dy bragh goll stiagh ayns reeriaght Niau.”","Tra eisht t’ou geamagh son coal-anmey ort hene nagh vel oo ayns firrinys loayrt myr shoh— “O Yee! ta pooar ayds de cherraghey mee ayns Niurin son dy bragh: shen-y-fa ny lhig da unnane jeh my pheccaghyn ve er ny leih dou! Lhig da my loo as my gweeaghyn, dy chooilley vreg ta mee er n’insh, dy chooilley ghoonaght ta mee er vrishey, as ooilley ny peccaghyn ta mee er chur roo eddyr ayns smooinaght, raa, ny jannoo, girree seose ayns briwnys m’oi, as mee y gheyrey dys toyrt mow dy bragh farraghtyn! Ny lhig dou dy bragh ayrn y ghoaill jeh dty haualtys! Giall dy vod my annym as my challin ve er nyn spooilley jeh dy chooilley vaynrys chammah ayns y theihll shoh as ayns у theihll ta roi heet! Ny lhig dou dy bragh dty eddins у akin lesh gerjagh, ny dy bragh soylley ‘ghoaill jeh dty oayr ny dty chaarjys; as ny lhig dou dy bragh goll stiagh ayns reeriaght Niau.”",1,1,
This is the first part of thy prayer.—Let us hear the second:,"Shoh yn chied ayrn jeh dty phadjer,—Lhig dooin clashtyn yn nah ayrn.",,2,2,
