Speaker,Manx,English,SubStart,SubEnd,Notes,ManxColumnLanguage
WC,Ren shiu rieau fakin ny ferrishyn?,Did you ever see the fairies?,3.5,6.1,,
JTK,Hmm?,Hmm?,6.17,7.18,,
WC,Ren shiu rieau fakin ny ferrishyn?,Did you ever see the fairies?,7.19,9.45,,
JTK,"Oh cha ren mee rieau fakin, [?]veg jeu, ta mee er clashtyn dy liooar mygeayrt oc, um err [laughs]","Oh I didn't ever see, any of them, I have heard plenty about them, um err [laughs]",9.2,15.3,,
WC,Oh?,Oh?,14.8,15.3,,
JTK,"[laughs] oh va [?] clashtyn ooilley [?]mygeayrt yn ferrish, ferrishyn.","[laughs] Oh I was hearing all about the fairy, fairies.",15.3,21.8,,
?,Will you tell them anything to (unclear)?,Will you tell them anything to (unclear)?,22,25,,en
WC,C'red v'ad jannoo?,What were they doing?,23,25,,
JTK,"Oh, va margaghyn oc as reddyn myr shen as ...","Oh, they had fairs and things like that and ...",25,29.9,,
WC,Oh row?,Oh did they?,29.7,30.6,,
JTK,"Va, as va cabbil as, ollagh oc as va'd creck as, as, as kionnagh as reddyn myr, myr shen va'n ferrishyn jannoo. ","Yes, and they had horses and, cattle and they were selling and, and, and buying and things like, like that the fairies were doing.",30.4,43.35,,
WC,Oh?,Oh?,42.5,43.5,,
JTK,Va. [laughs],Yes. [laughs],42.9,44.1,,
WC,As c'raad v'ad cummal yn margey shen?,And where were they holding that fair?,43.95,46.65,,
JTK,C'red?,What?,46.1,47.2,,
WC,C'raad v'ad cummal yn margey?,Where were they holding the fair?,47.05,49.25,,
JTK,Oh v'ad cummal yn margey ayns magher.,Oh they were holding the fair in a field.,48.9,52.3,,
WC,Oh?,Oh?,51.85,52.75,,
JTK,"Ferrishyn ayns magher as va, as v'ad err, va keeadyn jeu ayn!","Fairies in a field and there was, err, hundreds of them!",52.5,58,,
WC,Row?,Was there?,57.5,58.5,,
JTK,"Va, ta mee er clashtyn yn, yn shenn sleih ginsh shen.","Yes, I have heard the, the old people telling that.",58.2,62.5,,
WC,Ta?,You have?,62.2,63.2,,
JTK,"Va'n ferrishyn goll dys yn bayr, ayns yn bayryn as bee ad fakin ad ayns shen as, as bee ad roie [laughs] son dy geddyn voish yn ferrishyn. [laughs]","The fairies were going to the lane, in the lanes and they will see them there and, and they will be running f[laughs] or to get from the fairies. [laughs]",63.2,77.3,,
WC,"Oh, va shen ayns Skylley Vreejey?","Oh, that was in Kirk Bride?",77,79,,
JTK,"Va, va, Skylley Breejey, Skyll Andreays neesht. V'ad goll dy chooilley boayl.","Yes, yes, Kirk Bride, Kirk Andreas too. They'd go everywhere.",78.8,85,,
WC,Row?,Were they?,85,86,,
JTK,V'ad goll dy chooilley boayl as dy chooilley skeerey.,They'd go everywhere and every parish.,85.4,90,,
WC,Oh?,Oh?,88.2,89,,
JTK,"V'ad, v'ad, va'n, va'n but va'n shenn sleih my v'ad fakin red erbee er, er, er cleigh err, ayns y magher ny ayns y bayr v'eh ferrishyn.","They'd, they'd, they, but the old people if they were seeing anything on, on, on a hedgebank err, in the field or in the lane, it was fairies.",88.6,101.1,,
WR,Oh?,Oh?,100.8,101.8,,
WC,Dy jarroo?,Indeed?,100.8,101.8,,
JTK,Ooilley ooilley Ferrishyn!,All fairies! Fairies!,101.3,104,,
WR,"Red, red erbee quaagh v'ad smooinaghtyn dy row eh ny ferrishyn.",Anything strange they were thinking that it was the fairies.,103.4,107,,
JTK,"Red erbee, ren ad fakin yn, yn, conney ayns y bayr, err, sheebit ec y, ec y, y geay, v'eh ferrishyn! ","Anything, they saw the, the, gorse in the lane, err, blown by the, by the, the wind, it was fairies! ",104.5,115,,
WC,Va.,Yes.,114.5,115.3,,
JTK,Oh va chooilley red ferrishyn. [laughs],Oh everything was fairies. [laughs],114.8,118.5,,
WC,[laughs],[laughs],116,118,,
JTK,"Ah v'ad goaill eh ny share na, va dys v'eh err, v'ad ooilley goit ec yn ferrishyn.","Ah they were taking it better than, until it was err, they were all taken by the fairies.",118,124.5,,
WC,Oh?,Oh?,124.6,125.2,,
JTK,"Ferrishyn va, err, va jannoo ooilley.","Fairies were, err, were doing everything.",124,128.3,,
WC,Oh va ram jeeill jean- jeant oc.,Oh they did a lot of harm.,128,130.8,,
JTK,"Oh va ram, oh ferrishyn [laughs]","Oh they did a lot, oh fairies. [laughs]",130.5,137,,
WC,Ta.,Yes.,136,138,,
DF,V'ad jannoo jeeill dys yn ollagh neesht nagh row ad?,They were harming the cattle too weren't they?,138,141.8,,
JTK,"Oh va, va, va, dys yn, v'ad cur yn ollagh aym harrish y cleighyn as v'ad jannoo dy chooilley red ...","Oh yes, yes, yes, yes, to the, they'd put my cattle over the hedgebanks and they'd do everything ...",141.5,149,,
DF,Row?,Were they?,149,150,,
JTK,"... as va ooilley goll dy cur er y ferrishyn, ferrishyn v'ad jannoo ooilley. [laughs]","... and everything was put [blamed] on the fairies, fairies they'd do everything.",149,154.4,,
DF,Ta.,Yes.,154.6,155.7,,
JTK,Oh ny ferrishyn v'ad jannoo ooilley.,Oh the fairies they'd do everything.,156.3,160,,
DF,Ah.,Ah.,160,162,,
WC,"Ren oo rieau clashtyn, keayrt dy row ren ny ferrishyn ooilley goll shiaulley dys Nerin voish Balley Garrett ayns tubbagyn?","Did you ever hear, once upon a time all the fairies went sailing to Ireland from Ballagarrett in tubs?",165,175,,
JTK,"V'ad ooilley, v'ad ooilley goll ayns, ayns tubbagyn, as, as goll er, er [?]demyn as reddyn, ayns tubbagyn.","They were all, they were all going in, in tubs, and, and going on, on [?]dams/pools and things, in tubs.",174.3,184.2,,
WC,Hmm.,Hmm.,184,185.3,,
JTK,[?] jeh'n ferrishyn,A [?] of the fairies.,184,186,,
WC,Hmm.,Hmm.,185.6,186,,
JTK,"Well, va'n ferri- va'n ferrishyn ooilley ersooyl tra r- ren, yn moghree cheet, cha row shiu ec jann-, cha ren shiu, cha jarg shiu fakin ferrishyn erbee tra va soilshey ayn, tra va'n laa ayn.","The fai- fairies were all gone when, the morning came, you weren't do-. you didn't, you couldn't see any fairies when it was light, when the day came.",185.6,200.3,,
WC,Hmm.,Hmm.,200,201,,
JTK,Ayns yn oie v'ad goll ooilley yn traa.,In the night they'd go always.,201,204.5,,
WC,Va.,Yes.,203.8,204.5,,
JTK,Ayns yn oie.,In the night.,204,207,,
WR,Uh hmm.,Uh hmm.,207,209,,
,,,,,,
WR,"Va'n shenn ven ec Balley Garrett, Annie, ginsh dou dy row ny ferrishyn goll ayns Balley Garrett ec err, yn, ec magher ayns shen. Err.","The old woman at Ballagarrett, Annie, was telling me that the fairies were going in Ballagarrett at err, the, at a field there. err.",210,223,,
JTK,Oh?,Oh?,223,226,,
WR,C'raad va'n magher shen nish?,Where was that field then now?,224,226,,
JTK,Oh?,Oh?,226,228,,
WR,"Bunnys ec y, ec y chenn, ec y chenn thie ayns shen.","Nearly at the, at the old, at the old house there.",226,230.2,,
JTK,"Oh ec, ec, nee, ec, ec, y fer, v'ad gra, ec y thie va Collym baghey ayn, nee?","Oh at, at, is it, at, at, the one, they were saying, at the house Collym was living in, was it?",230,238.7,,
WR,"Sh- shen y voayl, shen eh.","Th- that's the place, that's it.",238.3,241,,
JTK,"Oh [laughs] va fer, va fer ayn, as v'ad gra John, v'eh, v'eh cla-, v'eh clag yn [?] as va clag ayns Skylley Breejey, as v'ad ooilley geddyn y, err, y, y, rope, va'd, the end, shoh the Baarle, what's the Manx of a rope? I'm forgetting it.","Oh [laughs] there was a fellow, a fellow, and they'd call him John, it was bell the [?], and there was a bell in Kirk Bride, and they were all getting the, err, the, the rope, they were, the end, this is the English, what's the Manx of a rope? I'm forgetting it.",239.4,266.5,,
WC,Tedd.,"""Tedd"" (rope).",266,267,,
JTK,"Tedd, as v'ad ooilley tayrn er. V'ad ooilley tayrn er. As va John, v'eh J, v'eh J. C. Kneale, He was christened, he was christened Juan, John, Columbus Kneale, after America was discovered ec Columbus and that was put on him,","Rope, and they were all pulling on it. They were all pulling on it. And John was, he was J. C. Kneale. He was christened, he was christened Juan, John, Columbus Kneale, after America was discoveed by Columbus and that was put on him.",267,294,,
WC,Ta.,Yes.,293.3,294,,
JTK,"... and then they were calling him John Collym, Collym he was going do you see?","... and then they were calling him John Collym, Collym he was going do you see?",294,300,,en
WC,Ah.,Ah.,300,302,,
JTK,"He was going by Collym, yn, yn, v'eh, v'eh clag, v'eh, ooilley tayrn er y clag jannoo, Jedoonee, son v'ad, oh err, preacheil shen, traa shen, ec three er y clag, as va'd, yn, ooilley yn feallee aeg tayrn er y, er y vaare, er y vaare, as ren ad ren ad, cur, ren ad crack er eh, ren ad, ren ad brishey eh.","He was going by Collym, the, the, it was, it was the bell, it was, all pulling on the bell doing, on Sunday, for they were, oh err, preaching that, that time, at three o'clock, and they were, the, all the young folk pulling on the end, on the end, and they, they put, they made a crack on it, they, they broke it.",300.3,328.2,,
WR,"Ah, ah.","Ah, ah.",327.9,329,,
WC,Oh.,Oh.,327.9,239,,
JTK,"As va'n clag goll ""John Collym"", ""John Collym"", ""John Collym"" [laughs & coughs]","And the bell was going ""John Collym"", ""John Collym"", ""John Collym"" [laughs & coughs]",328.3,335,,
WC,Va shen ... hmm.,That was ... hmm.,337,339,,
JTK,[coughs],[coughs],335.4,341,,
WC,"Va shen ayns y, ayns y shenn cheeill dy liklee?","That was in the, in the old church it's likely.",341,344,,
JTK,"Oh yeah, she y shenn keeill v'eh ayn, ayns y shenn keeill v'eh. As v'ad clashtyn ad eh err ayns Sostyn.","Oh yeah, it was in the old church, in the old church it was. And they'd hear it err in England.",343.2,352.2,,
WR,"She, she, she. Shen eh, shen eh.","Yes, yes, yes. That's it, that's it.",345,348.2,,
WC,Dy jarroo ghooinney!,Indeed man!,352,353.4,,
