Speaker,Manx,English,SubStart,SubEnd,Notes
NM,Quoi?,Who?,1,2,
DF,"Err, ny mraane shoh, [?]ta'n enney oc orrym's [?]agglagh","Err, these women, they know me awfully well.",2,5,
NM,"Son t'ou, t'ou jeeaghyn cha mie.","Because you, you look so well.",4.5,6.6,
DF,Oh vel oo? Vel mee?,Oh do you? Do I?,6.5,8,
NM,"Ta, ta, t'ou jeeaghyn feer vie nish, as t'ad ooilley goaill notion jeed.","Yes, yes, you look very well now, and they're all taken a notion of you.",7,12,
WR,Oh ta!,Oh yes!,11.5,13,
,[laughs],[laughs],12,13.4,
WC,Dy jarroo?,Indeed?,13,14,
DF,Cha gredjym shen edyr!,I don't believe that at all!,14,15.4,
NM,"Ny mraane, ny mraane aeg. Ah, aha, huh. Bee oo, bee oo goit voish yn ben shen t'ou goll marish ayns Doolish.","The women, the young women. Ah, aha, huh. You'll be taken by that women you're going with in Douglas.",13.6,22,
DF,"Ta, oh t'ee ersooyl ec yn chabbal jiu, ghooinney.","Yes, oh she's off at the chapel today, man.",21.4,24.1,
NM,Vel?,Is she?,24,25,
DF,"T'eh laa, feailley mooar goll er.","There's a day, a big festival going on.",24,27,
NM,"Ah well, ta na-, shegin da nane jeu, jiu goll dys y cabbal.","Ah well, one of them, of you has to go the chapel.",25,30,
DF,She.,Yes.,29.7,31,
NM,"Cuin v'ou, tra v'ou uss ayns y cabbal?","When were you, you in the chapel?",31,33,
DF,Ah cha nel mee coontey monney jeh'n cabbal.,Ah I don't think much of the chapel.,32.3,34.6,
WR,Cha jean eh goll stiagh ayns y cabbal noadyr.,He won't go into the chapel at all.,34,36.5,
NM,"Cha nel? Ah well, ta shen ...","No? Oh well, that's ...",34.6,36.5,
DF,Ta mee goll dys yn cheeill.,I go to the church.,35.7,37,
NM,"Well, oh vel, vel? Oh t'ou uss goll dys yn keeill as t'eshyn, as t'ee ish goll dys y cabbal? Nee shen eh?","Well, oh do you, do you? Oh you go to the church and he, she goes to the chapel? Is that it?",37,44,
DF,Oh ta. Ta. Ish goll dys y ... Ta.,Yes.,37.9,44,
WR,Shen eh.,That's it.,43.5,44.5,
NM,Shen eh.,That's it.,44.1,45,
WR,Shen eh dy kiart.,"That's it, right.",45,46.3,
DF,Ta mish goll dys yn ard-cheeill.,I go to the cathedral.,47,49,
WR,V'eh ec yn keeill Jedoonee chaie.,He was at church last Sunday.,48.3,52,
NM,"WEll, cre'n, cre'n? St. Matthew's?","Well, which, which? St. Matthew's?",48.7,51,
DF,She bunnys Creestee Raueagh ta mish.,Yes I'm nearly a Roman Catholic.,50.5,52.6,
NM,Vel? [laughs] T'ou raad liauyr voish Creestee foast!,Are you? [laughs] You're a long way from a Christian yet!,52,56.5,
WC,Va [?]mwannal jiarg er. ,He had a red [?]neck on him.,56,58,"""Redneck"" can mean a Catholic in Northern England."
DF,Cha row mee liauyr voish Raue ansh erbee. Foddee ta mee liauyr voish Creestee.,I wasn't far from Rome anyway.,58,63,
WC,Huh.,Huh.,62,63,
NM,"[laughs] Cha row [sic] eh feer foddey nish [?]nys [sic= gys] v'ou [sic] goll mygeayrt lesh, lesh red bane ort.",[laughs] It wasn't [sic = won't be] very long now until you were [sic=will be] going around with a white thing on you.,63,70.5,
DF,"Oh bee, cha bee.","Oh it will be, won't be.",70,72,
NM,Cooat bane.,A white coat.,70,72,
,,,,,
WR,Cha bee eh foddey.,It won't be long.,72,73.2,
NM,"Ta, (unclear) ...",(unclear) is ...,73,73,
DF,"Ta mee laccal dy ve, ta mee laccal atchimagh dy bee saggyrt yn skeerey.","I want to be, I want awfully to be a parish priest.",73,77.6,
NM,Vel?,Do you?,77,78,
DF,"Oh ta. Skeerey, Skeerey, Skylley Creest.","Oh yes. Kirk, Kirk Christ (Rushen).",77.3,81,
NM,Ooh? Vel?,Ooh? Do you?,81,82.2,
DF,Oh.,Oh.,82,83,
NM,She.,Yes.,82.4,84,
DF,"Na- na- na-, nagh beagh oo [sic ?=mee] mie son y, son yn obbyr shen? Saggyrt mie.","Wouldn't, wouldn't you [sic =?I] be good for, for that work? a good priest.",83.3,88,
NM,"Oh ta, oh ta ta, yinnagh oo jannoo mie dy liooar, cha jinnagh eh jannoo dy yannoo ren oo, myr ren oo, ren oo jannoo ayns, ayns, ayns Kirk Michael.","Oh yes, oh yes yes, you would do well enough, it wouldn't do to do you did, as you did, you did in, in, in Kirk Michael.",87.7,98.1,
DF,Ayns y keeill.,In the church.,96.7,98.1,
WC,[laughs],[laughs],98,100.5,
NM,Cha jinnagh (unclear) ... tra [?]v'ou yn saggyrt!,It wouldn't do (unclear) ... when you were the priest!,100,103,
DF,Cha jinnagh shen edyr.,That wouldn't do at all.,103,104.5,
WR,"Oh bee ram jeeill jeant, jeeill jeant.",Oh there will be lots of damage done.,104,106,
DF,"Oh, ta. Va mee caillt ghooinney! Va mee caillt.","Oh, yes. I was lost, man! I was lost.",104.1,108.6,
NM,Heh. V'ou caillt yn laa shen! Eh?,Heh. You were lost that day! Eh?,107.2,110.4,
DF,"Va, va.","Yes, yes.",108.7,111,
NM,Cha nel oo ...,You aren't ...,110,111.5,
WR,"V'eh coodit mie dy liooar echey, though.",He covered it ok though.,111,113,
NM,"Va, oh va, va, ren eh geddyn, ren eh geddyn harrish mie dy liooar.","Yes, oh yes, yes, he got over it ok.",113,118,
WC,[laughs],[laughs],116.2,118,
DF,Cha s'aym's edyr.,I don't know at all.,118,120,
NM,Eh?,Eh?,119.3,120.2,
DF,"Va mee lhaih eh as lhaih eh son shiaghtinyn roish shen. As v'eh ooilley ayns y, ayns y (unclear) ...","I was reading it and reading it for weeks before that. And it was all in the, in the (unclear) ...",119.6,126.2,
NM,"As eisht, as eisht ren oo coayl y boayl.","And then, and then you lost the place.",125,127,
DF,Ren.,Yes.,127,128,
NM,Ren.,Yes.,127.2,128.6,
DF,"Cre [?]mychione Kione Jiarg, ren eshyn coayl ...","What about Red Head, he lost ...",128,131.2,
NM,Quoi?,Who?,131,132,
DF,"Kione Jiarg, Kione Jiarg.","Red Head, Red Head.",131.6,133.8,
WC,Ayns Purt ny Hinshey.,In Peel.,133,134.3,
WR,Leslie.,Leslie.,134,135,
DF,Leslie.,Leslie.,134,135,
NM,Oh?,Oh?,135,136,
DF,Ren eshyn coayl eh.,He lost it.,135.5,137,
WR,Cha ren eh chyndaa yn duillag harrish.,He didn't turn the page over.,136,139,
NM,Mmm?,Mmm?,137,138,
DF,Cha ren eh chyndaa eh.,He didn't turn it over.,137.6,140,
NM,Oh (cha) ren eh chyndaa yn duillag?,Oh he didn't turn the page?,138.6,141.5,
DF,Ta.,Yes.,,,
WC,Vel shen aspick [?]Adams?,Is that bishop [?]Adams?,,,
DF,Va ooilley yn sleih fuirraghtyn er my hon.,All the people were waiting for me.,,,
NM,"Cha row ad toiggal, cha row ad toiggal eh. V'eh kiart dy liooar.","They weren't understanding, they weren't understanding it. It was OK.",,,
