Manx,English,Notes,Diplomatic Transcription,1872 Transliteration
Arrane mysh ny Baatyn-Skeddan,A Song about the Herring Boats,,Arrane mysh ny Baatyn-Skeddan (Diplomatic):,A Song about the Herring Boats (1872 Transliteration):
"Cooinee-jee, shenn as-aeg, ","Remember, old and young, ",,"Cooinee-jee, shenn as-aeg, ","With pain we record, "
"’Sy vlein shiaght cheead yeig, ",     In the year seventeen hundred ,,"’Sy vlein shiaght cheead yeig, ","     The year of our Lord, "
"Kiare-feed as shiaght, er cheayn Ghoolish ","And eighty seven, on the Douglas sea ; ",,"Kiare-feed as shiaght, er cheayn Ghoolish ",Seventeen hundred aud eighty and seven ; 
"Myr haink eh gy-kione, ","As it so came to pass, ",,"Myr haink eh gy-kione, ","When it so came to pass, "
"Va eeaystagh vie ayn, ","A good fishing there was, ",,"Va eeaystagh vie ayn, ","A good fishing there was, "
Lesh earish feer aalin as villish.,"With, sweet and very fine weather. ",,Lesh earish feer aaliu as villish.,"Off Douglas, in a beautiful season. "
"Ny-yeih cha nee beayn, ","Yet not for ever, ",,"Ny-yeih cha nee beayn, ","But it was for a time, "
"Darr yn earish cha kiune, ",Did the weather stay as calm; ,,"Darr yn earish cha kiune, ",That the weather kept fine; 
"My daink kione y chiagktin dys jerrey, ","Before the weekend ended, ",,"My- daink kione y chiagktyn dys jerrey, ","Ere the week it had come to an ending, "
"Son va neeal yn aer, ","The countenance of the sky, ",,"Son va neeal yu aer, ",The face of the sky 
"Soilshagh ’magh danjeyr, ","Exhibited danger,",,Soilshagh ’magh danjeyr ,Would seem to imply 
Va sterrym feer agglagh er-gerrey.,There was horrific storm soon impending. ,,Va sterrym feer agglagh er-gerrey.,That a horrible storm was impending. 
"Oie’l vian dy feer jeean, ","On St Matthew's Eve, very keenly,",,"Oie’l vian dy feer jeean, ","On St Matthew's Eve, "
"Choud's va’n Fload ec y cheayn, ","Whilst the fleet was at sea, ",,"Choud's va’n Fload ec y cheayn, ","With the fleet on the wave, "
"Haink dewilys, as paart jeu ren scarrey, ","An inclemency came, and some of them separated, ",,"Haink dewillys, as paart jeu ren scarrey, ","It blew, as with vengeance to hurry "
"Veih dy chooilley nhee, ","From every thing,",,"Veih dy chooilley nhee, ",Poor mariners there 
"Va deyr da nyn gree, ","That was dear to their hearts, ",,"Va deyr da nyn gree, ","From all that was dear, "
"Eer bioys, liorish dewillys ny marrey,","Even life, by the cruelty of the sea. ",,"Eer bioys, liorish dewillys ny marrey,","Even life, by the elements' fury. "
"Te doillee dooin ghra, ","It is hard for us to say, ",,"Te doillee dooin ghra, ","On St. Matthew's Day, "
