English,Manx,Notes
LESSONS,,
AND,,
STORIES,,
FOR,,
Good Children.,,
(pencil:,,
by Rev. H. Stowell,,
Rector of Ballaugh.),,
DOUGLAS,,
Printed by G. JEFFERSON.,,
1808,,
Price 6d. British,,
"[32] [The following PRAYERS are drawn up for your use, both in English and Maks, that you may commit them to memory, in either of those languages. The first Prayers are for the younger Scholars, and the two last for such of you as are preparing for CONFIRMATION. These were written by the excellent Bishop WILSON, now with GOD and his ANGELS; where you also will hereafter be, if you be “folowers of them who through faith and patience inherit the promises.”]",,
A PRAYER,,
To be used Morning and Evening.,,
[34]  THE SAME PRAYER IN MANKS,,
O MOST MERCIFUL GOD!,O YEE smoo vyghinagh!,
"I praise Thee for every blessing and comfort I enjoy, and beseech Thee to continue to give me all that thou knowest to be good for me.","ta mee chur booise dhyt son dy chooilley vannaght as gerjagh Tou deayrtey neose orrym, as ta mee guee ort dy hannaghtyn dou dy chooilley nhee Tou fakin dy ve mie er my hon.",
"Make me to love Thee “with all my heart, and mind, and soul, and strength.”","Cooin lhiam dy chur graih shyt “lesh ooilley my annym, as lesh ooilley my niart.”",
"Teach me to think, and speak, and live, as always in thy presence; knowing that Thou hearest every word I utter, and seest every thing I do.","Ynsee dou dy smooinaghtyn, dy loayrt as dy veaghey myr dy kinjagh ayns dt’errish, toiggal dy ve oo clashtyn dy chooilley ockle ta mee loayrt, as fakin dy chooilley nhee ta mee jannoo.",
Keep me from all evil; preserve me from all danger; and strengthen me in all goodness.,Freill mee veih dy chooilley olk; coadee mee veih dy chooilley gaue; as niartee mee ayns dy chooilley vieys.,
"Deliver me from foolish and hurtful fears, and make me sensibe that nothing can ever harm me, so long as I am under thy care, and doing thy will.","Livrey mee veih aggle dyn oyr as cur orrym dy shickyr chredjal nagh vod nhee erbee jannoo skielley dou choud’s ta mee fo dty choadey graysoil, as chooilleeney dty aigney casherick.",
"— Bless all my Relations and Friends; and grant that I may daily encrease in wisdom, and in the practice of every thing which Thou requirest they Children to do; that so when I die, I may be received into thy everlasting Kingdom, for the sake of our Lord and Saviour, JESUS CHRIST, is whose blessed words, I further beseech Thee to hear me.","Bannee ooilley my Chaarjyn as cur orrym dy vishaghey gaghlaa ayns creenaght as ayns oilley ny obbraghyn crauee Tou [35] shirrey er dty chloan dy chooilleeney; myr shen tra hig my oor jerrinagh dy vod fosley ve jeant er my hon gys dty reeriaght dy bragh farraghtyn er graih nyn Jiarn as nyn Saualtagh YEESEY CHREEST, t’er n’ynsaghey dooin tra ta shin ghoaill padjer dy ghra,",
"     Our Father, &c.","     Ayr ain t’ayns niau, &c.",
"The Grace of our Lord Jesus Christ, and the Love of God, and the fellowship of the Holy Ghost, be with us all evermore.—Amen.","GRAYSE nyn Jiarn YEESEY CHREEST , as graih YEE, as sheshaght gerjoil y spyrryd Noo, dy row marin ooilley er son dy bragh.— Amen.",
,,
"The same PRAYERS in MANKS, as they are found translated in Bishop WILSON’s short and plain Directions and Prayers.",,
