English,Manx,Notes
,CONAANT NOA,
,NYN,
,JIARN AS SAUALTAGH,
,Yeesey Creest.,
,Pointit dy ve lhait ayns Kialteenyn.,
,"Prentyt ayns LUNNYNG,",
,"Liorish Ean as W. Oliver, ayns Bartholomew-Close.",
,M DCC LXIII.,
,YN SUSHTAL scruit liorish yn,
,Noo MIAN.,
,CAB. I.,
"The book of the generation of Jesus Christ, the son of David, the son of Abraham.","Lioar Sheeloghe Yeesey Creest, mac Ghavid, mac Abraham.",
Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;,"2 Hooar Abraham Isaac, as hooar Isaac Jacob, as hooar Jacob Judas as e vraaraghyn.",
And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram,"3 As hooar Judas Phares as Zarah rish Thamar, as hooar Phares Esrom, as hooar Esrom Aram.",
And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;,"4 As hooar Aram Aminadab, as hooar Aminadab Naassoon, as hooar Naassoon Salmon.",
And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;,"5 As hooar Salmon Booz rish Rachab, as hooar Booz Obed rish Ruth, as hooar Obed Jesse.",
And Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;,"6 As hooar Jesse David yn ree, as hooar David yn ree Solomon ree-ish v’er ny ve ben Urias.",
And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;,"7 As hooar Solomon Roboam, as hooar Roboam Abia, as hooar Abia Asa.",
And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;,"8 As hooar Asa Josaphat, as hooar Josaphat Joram, as hooar Joram Ozias.",
And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;,"9 As hooar Ozias Joatham, as hooar Joatham Achaz, as hooar Achaz Ezekias.",
And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;,"10 As hooar Ezekias Manasses, as hooar Manasses Amon, as hooar Amon Josias.",
"And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:","11 As hooar Josias Jechonias as e vraaraghyn, mygeayrt y tra v’ad goit ersooyl nyn gappeeyn gys Babylon.",
"And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;","12 As ayns earish yn chappeeys ayns Babylon, hooar Jechonias Salathiel, as hooar Salathiel Zorobabel.",
And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;,"13 As hooar Zorobabel Abiud, as hooar Abiud Eliakim, as hooar Eliakim Azor.",
And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;,"14 As hooar Azor Sadoc, as hooar Sadoc Achim, as hooar Achim Eliud.",
And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;,"15 As hooar Eliud Eleazar, as hooar Eleazar Matthan, as hooar Matthan Jacob.",
"And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.","16 As hooar Jacob Joseph sheshey Moirrey, jee rugg Yeesey, ta enmyssit Creest.",
So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto Christ are fourteen generations.,"17 Myr shen ta ooilley ny sheeloghyn veih Abraham gys David, kiare sheeloghyn jeig: as veih David derrey’n chappeeys ayns Babylon, kiare sheeloghyn jeig: as veih’n chappeeys ayns Babylon derrey Creest, kiare sheeloghyn jeig.",
