English,Manx,Page
,LIORISH,1
,,1
,,1
,SHESHAGHT EC BRISTOL JEH,1
,AGGLISH SOSTYN,1
,"Son Skeaylley Lioaryn- Beggey crauee,..",1
,,1
CLERGYMAN’S ADVICE ,COYRLE SAGGYRT,1
,,1
TO RESIDENTS OF HIS PARISH.,DA CUMMALTEE YN SKEEREY ECHEY.,1
,,1
,,1
,,1
,,1
,,1
(CONCERNING PUBLIC PRAYER.),(MYCHIONE PADJER FOSHLIT.),1
,,1
,,1
,,1
,,1
,CHAARJYN GHRAIHAGH,1
,,1
"I set before you, as a token of my good will, a parish church; — a place, which should be dear both to the Minister and to the people; where we assemble together for the sacred work of prayer and thanksgiving; where God is somehow present; and where every one who worships devoutly finds himself in the HOUSE OF GOD and at the GATE OF HEAVEN.","TA mee soiaghey kiongoyrt riu, myr cowrey jeh my aigney mie, shilley jeh keeill skeerey;—ynnyd, lhisagh ve deyr chammah da’n Chirveishagh as da 'n pobble; raad to shin chaglym cooidjagh son yn obbyr casherick dy phadjer as dy hoyrt-booise; raad ta Jee ayns aght-er-lheh kionfenish; as raad ta dy chooilley unnane ta cur ooashley crauee feddyn eh hene ayns THIE Yee as ec Giat Niau.",1
"It is not my intention to set before you a vision of a church, as much as it pleases your eyes, or that it may always remind us of our spiritual blessings and our duty on the Lord's day. I would like every inhabitant of this county, when he looks at it, to say,  —","Cha vel my chiarail ayns soiaghey kiongoyrt riu shilley jeh keeill, wheesh dy wooiys ny sooillyn eu, as dy vod eh dy kinjagh coyrt shin ayns cooinaghtyn jeh nyn mannaghtyn spyrrydoil as nyn gurrym er laa yn Chiarn. Yinnin geearree dy jinnagh dy chooilley chummaltagh jeh 'n skeerey shoh, tra t’eh jeeaghyn er, gra, —",1
"To that holy house let me go with ready feet morning and evening every Sabbath. There must the remembrance of my fault beset me to go; To that must the hope of my mercy lead; In that God the Father is waiting to be gracious; In it God the Son sheds forth His blood which makes atonement for the sins of the world ; and God the Holy Ghost sheweth forth his sanctifying grace. With so much sin to confess, with all mercy to be grateful for, with such darkness in my mind, and such gloom in my heart, how can I delay from the house of the Lord on the day of the Lord? There is a Saviour crucified offering wisdom to the ignorant, strength to the weak, comfort to the brokenhearte, forgiveness of sins to the repentant, and salvation to the lost.”","Gys y thie casherick shen lhig dou goll lesh cassyn arryltagh er moghrey as fastyr dy chooilley ghoonaght. Gys shen lhisagh ennaghtyn jeh my loght chionney mee dy gholl; Gys shen lhisagh yn treishteil dy vyghin mee y hayrn; Ayns shen ta Jee yn Ayr farkiaght dy ve graysoil; Ayns shen ta Jee yn Mac soiaghey magh e uill ta jannoo lhiassaghey son peccaghyn y theihll ; as ta Jee yn Spyrryd Noo soiaghey magh e ghrayse ta casherickey. Lesh wheesh dy peccah dy ghoaill-rish, lesh whilleen myghin dy ve booisal er nyn son, lesh lheid y dorraghys ayns my aigney, as lheid y chreoghys ayns my chree, kys oddym fuirraght veih thie yn Chiarn er laa yn Chiarn? Ayns shen ta Saualtagh er ny chrossey chebbal creenaght da ny mee-hushtee, niart da ny annoonee, gerjagh dauesyn ta jeh cree brisht, leih peccaghyn da ny arryssee, as saualtys dauesyn ta caillit.”",2
"How shall I answer it to my conscience, how shall I conduct myself at the last day; if I am going to leave this holy place, and lose these spiritual blessings, that I may settle my accounts, go to see my friends, or wander about in pursuit of worldly pleasures! What is the account of such shame, and the state of my soul that shall never die? What is the work of such sorrow and seeking peace with God? What joy should be so pleasant, and sing praises to Him, who bought me with His blood?","Cre ’n aght oddym’s gansoor eh da my chooinsheanse, cre 'n aght oddym’s my ymmyrkey y heyrey ec y laa jerrinagh; my ta mee gobbal dy haaghey yn ynnyd casherick shoh, as ceau ersooyl ny bannaghtyn spyrrydoil shoh, dy voddym jannoo seose my choontaghyn, goll dy yeeaghyn my ainjyssee, ny rouail mygeayrt geiyrt er cooishyn ny eunyssyn seihlltagh! Cre 'n coontey ta jeh lheid y scansh, as stayd my annym nagh vow dy bragh baase? Cre 'n obbyr ta jeh lheid y trimmid as shirrey shee rish Jee? Cre 'n eunys lhisagh ve cha taitnyssagh, as goaill arraneyn moyllee Dasyn, ren kionnaghey mee rish e uill?",2
"Shall I stay at home to do some thing which was left undone during the week? — Oh, let me remember that God commands us not to do any work on the Sabbath, and that the man who alone gathered branches on this holy day, was stoned to death by his command!” (Numbers xv. 22 to 36.)","Jean ym fuirriaght ec y thie dy yannoo red ennagh va er ny agail fegooish ve jeant ayns y chiaghtin?—O, lhig dou cooinaghtyn dy vel Jee cur sarey dooin gyn dy yannoo monney erbee dy obbyr er y doonaght, as dy row yn dooinney ren ynrycan chaglym brasnaggyn er y laa casherick shoh, er ny chlaghey gy baase liorish yn sarey echeysyn!” (Earrooyn xv. 22 gys 36.)",2
"“I will bake my bread, and buy or sell something on the Sabbath?  but don't I know how this is strictly forbidden both by the law of God and the law of the land ?  — to be permitted, by gracious care, that I may lay down this whole blessing to serve my God and save my soul. Let me, therefore, carefully get everything necessary prepared in the evening of the day before, that no worldly cares shall prevent me from keeping the holy day of the Lord.” (Ex. xx. 8.)","“Jean-ym fuinney my arran, as kionnaghey ny creck cooid erbee er y doonaght agh nagh vel fys aym dy vel shoh dy geyre er ny lhiettal chammah liorish leigh Yee as leigh yn theay ? — er ny lhiettal, lesh yn kiarail graysoil, dy vod-ym cur seose yn slane bannit shoh dy hirveish my Yee as dy hauail my annym. Lhig dou, er y fa shen, dy kiaralagh geddyn dy chooilley nhee fa ymmyrchagh aarloo er fastyr y laa roie, nagh jean kiarailyn erbee seihlltagh mee y lhiettal veih freayll casherick laa yn Chiarn.” (Exod. xx. 8.)",2
"“Shall I go on the Lord’s day to the public house, and drink with drunkards, and swear with swearers? — Yes, if I wish to bring a curse upon myself and my children;—no, if I do I would destroy my health, bring my good name to ruin, and bring my household to poverty; no, if I seek heaven as my choice in the world to come!","“Jean-ym goll er laa yn Chiarn gys y thie-oast, as giu marish ny meshtallee, as loo marish ny looderyn?—Nee, my ta mee geearree dy chur lhiam mollaght orrym pene as er my chloan;—nee, my ta mee geearree dy stroie my laynt, dy chur-mow my ennym mie, as dy chur-lhiam my lught-thie gys boghtynid; nee, my ta mee geearree niurin my reih er niau ayns y theihll ta ry heet!°",3
"""Shall I leave the church because my clothes are old, and worn, and torn? but do I go there to be seen by others, or to care what others think and say ? — It is to God I owe it: and if I bring with me a broken and contrite heart, (it matters little what sort of dress I have on,) God will not despise my sacrifice.” (Ps. 17)","""Jean-ym fuirriaght veih yn keeill er yn oyr dy vel my eaddagh shenn, as ceaut, as kerrit? agh vel mee goll gys shen dy ve er ny akin liorish feallagh elley, ny dy chur tastey da shen ta sleih elley smooinaght as gra?—She rish Jee t’ayms dy yannoo: as my ta mee cur lhiam marym cree brisht as arryssagh, (cha vel eh jeh veg y scansh cre 'n sorch dy eaddagh t’orrym,) cha jean Jee beg y hoiaghey jeh my oural.” (Ps. li. 17.)",3
