Manx,English,Notes,Page,Manx Original,English Original
Coyrle Sodjeh,A farther Instruction,,1,,
Son leid as ter nynsagh yn,For such as have learned the,,1,,
Credjue Creestee.,Church-Catechism.,,1,,
SECT.  I.       Of Confirmation.,,,1,,
"Q. FAIKIN dy vel Raaue aym mee- hene y yannoo aarloo, dy gholl fo laaue Aspick ; ta mee gyeearree’n cooney eauish dy vod fyss ve aym cre ta mee goll mish, as cre ta er ny hirrey orrym ? ","Q. HAVING Notice to prepare my self for Confirmation, I beg your Assistance, that I may know what I am going about, and what is expected from me ?",,1,,
"A. Cooinyms lhiatt dy arryltagh ; as my t’ow dy jarroo shirrey dt’annym y haauail, ynsym oo ayns aght cha aashagh dy ve toiggit, nagh lhiass dhyt cherraghtyn son laccal tushtey. ","A. I will gladly assist you ; and, if indeed, you desire to save your Soul, I will instruct you after so plain a Manner, that you need not perish for want of Knowledge.",,1,,
"Q. Guee ym erriu, eisht, insh-jee dou, cre’n fa ta mee er m’eamagh dy gholl fo laaue Aspick ? ","Q. I pray then, let me know, why I am called to Confirmation ?",,1,,
"A. Dy vod fyss ve ec yn Aglish dy vel oo dty Chreestee liorish dty reih hene, as cha nee ny lomarcan son dy rug oo ayns cheer Chreestee. ","A. That the Church may be satisfied you are a Christian out of Choice, and not only because you was born in a Christian Country.",,1,,
Q. Cre’n fa shegin fyss ve ec yn Aglish er shoh ? ,Q. Why must the Church be satisfied of this ?,,1,,
"A. Son dy vel yn Aglish sheshaght dy phersoonyn ta goaill rish dy ve beaghey ayns aggle Yee, as jercal rish kerraghey Yee, my ta veg jeh’n cheshaght cheddyn beaghey ayns mee-viallys foshlit gys e Leihaghyn, as yn Aglish gyn oghsyn y chur daaue. ","A. Because the Church is a Society of Persons professing to live in the Fear of God, and expecting God’s Judgments, if any of their Body do live in an open defiance of his Laws, without Rebuke.",,1,,
"As shen-y-fa son Shickyrys shaar, ta dagh Olt jeh’n cheshaght kainlt dy hoilshagh magh dy vel ad kiarit dy veaghey cordail rish Sushtal Chreest, yn leih t’ad dy ve reilt liorish. ","And therefore, for better Security, all its Members are openly to declare their full Purpose of Living, as becometh the Gospel of Christ, which is the Law they are to be governed by.",,2,,
"Q. Vel vondeish erbee sodjeh oddym jeaghyn er eh hon, liorish goll fo laaue Aspick ? ","Q. Is there any farther Benefit that I may hope for, by going to be Confirmed ?",,2,,
"A. Ta ; veih’n tra shen, foddee oo jercal dy bishee Jee e ghrayse aynyd dy chooilley laa, my hirrys oo eh lesh dty chree. Son t’an [sic] Aspick, marish ta laaue Yee ayns ooilley ny te dy yannoo ayns ennym Chreest, goaill padjer er dty hon ; as liorish e laaue y chur ort, te Shickyragh dhyt dy vou foayr as aigney mie Yee. ","A. Yes ; you may expect, from that time, that God will daily increase his Graces in you, if you heartily desire them : For the Bishop, with whom is the Hand of God in all that he doth in the Name of Christ, prayeth for you ; and by laying his Hand upon you, doth certify you of God’s Favour and good Will towards you.",Matt. 28. 30,2,,
"As eisht, my ta fyss ayd, dy vel yn cliaghtey craauee shoh, Goll fo laaue Aspick er jeet veih Ostyllyn Yeesey Creest, bee resoon ayd dy hreishteil son ymmodee foays veih ; as dy ve meerioosagh jeh, raad oddys eh v’er ny gheddyn, ta shen soi-agh beg jeh myghin as Foayr Yee. ","And then if you know that this solemn Way of laying on of Hands was from the Apostles of Jesus Christ, you will have reason to hope for much Good from it ; and to neglect it, where it may be had, is to despise God’s Mercy and Favours.",Heb. 6. 2.,2,,
"Q. Ballym eisht mee-hene y yannoo aarloo son goll fo laaue Aspick, cha nee ny lomarcan son dy vel yn Aglish dy haarey eh, agh son dy bee eh vondeishagh dou shoh y yannoo. ","Q. I would therefore prepare my self for Confirmation, not only because the Church requires it, but because it will be my Advantage to do so.",,2,,
"A. Dy jarroo jarroo bee eh ; son y Credjue Creestee, t’ow goll dy ghoaill ort, yn ynrycan red oddys oo y yannoo aashagh ayns shoh as saauchey ny yeaih shoh. ","A. It will most certainly : for the Christian Profession, which you are going to take upon you, is the only Thing which can make you easy here, and safe hereafter.",,2,,
"Son te gynsagh dooin, ga dy vel shin nyn Gretooryn treih, peccoil, as fegooish cooney ; ga dy vel ain Noidyn ymmodee as niartal ; ny yeih, liorish foayr Yee, foddee mad ve saauchey as bannit. ","For it teacheth us, that tho’ we are miserable, sinful, helpless Creatures ; tho’ we have many and powerful Enemies ; yet by the Favour of God, we may be safe and happy.",,2,,
" Son liorish, ta shin gynsagh, dy vel Jee shirrey nyn maanrys, as dy vod eh ny smoo y yannoo er nyn son na oddys shin hene y hirrey ny smooinaghtyn. ","For by it, we learn that God desireth our Welfare, and that he is able to do for us more than we can ask or think.",,3,,
"Te gynsagh dooin cre’n chirveish ta Jee dy hirrey orrin ; cre’n aght oddys shin nyn shee y yannoo rish, tra ta shin liorish nyn beccaghyn er chur jummoose er ; Cre cha dangeragh as te dy leeideil bea vee-rioosagh. As cre’n vaanrys ver Jee daauesyn ooilley ta gys y tushtey shaar oc dy hirveish eh. ","It teacheth us what Service God requires of us ; How we may make our Peace, when we have offended him by our Sins ; How dangerous it is to lead a careless Life. And how happy God will make all such as serve him to the best of their Knowledge.",,3,,
Q. Cre’n fa eisht nagh gouins orrym yn Credjue Creestee ? ,Q. Why then should I not take upon my self the Christian Profession ?,,3,,
A. Ny yeih gou coyrle Chreest mayrt. Smooinee dy dowin cre t’ow goll dy ghoaill ort. ,A. Only take with you the Advice of Christ. Consider seriously what you are going to undertake.,Luke. xiv. 28,3,,
"Jeagh vod oo kiarail ayns dty chree dy hassoo noi miolaghyn y Drogh-spyrryd, yn seihll, as yn Eill, son shirree ad shoh ooilley uss y haarn veih Jee.","Whether you can purpose in your Heart, to resist the Temptations of the Devil, the World, and the Flesh, which will all endeavour to draw you from God.",,3,,
"Jean oo goaill ort dy chredjal goo Yee, ta loayrt jeh Seihll elley, as jeh reddyn nagh vod oo y aikin lesh dty hooillyn dooghyssagh. ","Whether you will resolve to believe the Word of God, which speaks of another World, and of Things which you cannot see with your bodily Eyes.",,3,,
"As jean oo whooish as oddys oo dy reayll Annaghyn Yee, ayns treishteil jeh leagh ayns Seihll elley nagh vel ry aikin ’sy teihll shoh. ","And whether you will do your best to keep the Commands of God, in Hopes of a future and unseen Reward.",,3,,
"Q. Dy jarroo, tra ta mee cur tastey dy vel dy chooilley Chreestee er yialldyn shoh y yannoo, as ny yeih, dy jark ta smooinaght er cre shegin cheet ny lurg shoh ; cha noddym ve agh imneagh er aggle dy naasym cha meerioosagh as ymmodee dy eallagh elley. ","Q. Indeed, when I consider that all Christians have promised to do this, and yet too few do ever think of what must come hereafter, I cannot but be afraid for my self, lest I should grow as careless as many others.",,3,,
"A. Er yn oyr shoh t’ow nish er dt’eam dy aikin, gou dy sheelt ayns laaue Jee y hirveish.","A. It is for this Reason you are now called upon, to see whether you will take up a sober Resolution of serving God.",,3,,
"As dy vod shoh greime y ghoaill ort, smooinee dy dowin, dy negin dooin ooilley shassoo kiongoyrt rish Stoyl-briwnys Chreest, ’naght myr t’ow er chur shaaghey yn Vea ghyiare shoh mie ny saie, myr shen vees oo ayns maanrys ny trimshey son dy bra. ","And to make you concerned in this Matter, consider seriously, That we must all appear before the Judgment-Seat of Christ, That as you spend this short Life well or ill, you must be happy or miserable for ever.",,4,,
"Q. Lhiasagh shoh cur er fer smooinaght er hene, dy jarroo ; as shen-y-fa gueeym erriu toiggal firrinagh y chur dou jeh’n staaid ta mee ayn ? ","Q. This should make one serious indeed ; and, therefore I do intreat you to give me a true account of my Condition ?",,4,,
"A. Toig, eisht, dy vel oo dty chretoor aarloo dy huittym fo peccah as mee-gherjagh. ","A. Understand, then, that you are a Creature subject to sin and to misery.",,4,,
"Dy lig Jee dhyt ve ruggit ayns y staaid shoh, dy vaikagh oo cre cha treih as ta eshyn nee e Yee y hreigeil. ","That God has permitted you to be born in this Condition, that you may see the sad Effects of forsaking him.",,4,,
"As son whooish as dy vel oo roa annoon dy chooney lhiatt hene, dy vod oo dy bragh ve kainlt dy yeaghyn seose huggey son y cooney yiall eh dhyt ayns dty chonaant Bashtey. ","And that, finding you are unable to help yourself, you may ever be obliged to look up unto him for Help, which, at your Baptism, he hath covenanted to give you.",,4,,
"Nish dy phrowal oo, jean oo, dy jarroo, treishteil dy kinjagh ayns Jee, te er liggey da’n Drogh-Spyrryd oo y violagh, ta shen dy ghra, dy yannoo ny oddys eh dy haarn oo veih dty churrym. ","Now to prove you, whether you will, indeed, live in a constant Dependance upon God, he hath permitted the Devil to tempt you, that is, to endeavour to draw you from your Duty.",,4,,
"Agh ec y tra cheddyn, ta’n Gialldyn firrinagh shoh ayd veih Jee dy bee’n Spyrryd mie echyssyn dy bragh mayrt, d’endeil as dy niartagh oo ; Er conaant dy shir oo huggey, dy der oo dty slaan treishteil ayn, as nagh der oo corree er lesh bea vee chraauee. ","But, at the same time, you have this faithful Promise, that his good Spirit shall ever be with you, to defend and strengthen you, provided you seek to him, put your whole Trust in him, and do not grieve him by a wicked Life.",,4,,
"Dy ghreinnagh oo dy hirveish Jee, red erbee mie nee-oo ’yannoo liorish y chooney echey, eeickee eshyn eh dy graysoil, myr dy beagh oo hene dty lomarcan er n’yannoo eh. ","To encourage you to serve God, whatever good thing you do by his Assistance, he will graciously reward it, as if it were done by your self only.",,4,,
"Agh my hoi-ys oo beg jeh cooney Yee, as, treishteil gys dty cheeal as niart hene, my huittys oo ayns drogh vea, treigee Spyrryd mie Yee oo, as bee oo eisht er dty reill liorish drogh spyrrydyn as er dty yannoo feer treih. ","But if you shall despise God’s Assistance, and, trusting to your own Reason and Strength, fall into a wicked Life, the good Spirit of God will forsake you, and you will then be governed by evil Spirits, and be made very miserable.",,5,,
"Q. Veih ny ta shiu er ghra, toiggym dy vel shin ayns y vea shoh ayns staaid dyn browal shin as ayns dangere, dy vod mad ve kainlt dy chummal faggys da Jee, as, my Chiarys mad shoh y yannoo, cha vel shin ayns gaaue erbee ? ","Q. From what you say, I understand that we are in this Life in a State of Trial and Danger, that we may be obliged to keep close to God, which, if we resolve to do, then we are in no Danger at all ?",,5,,
"A. Spheer shen, dy jarroo. As toig, myrgeddyn, dy vel shin, liorish myghin Chreest, ayns staaid shickyree na va nyn gied Ayraghyn hene ; V’adsyn, dy jarroo, er nyn groo ayns niau-loghtynys, agh, ny yeih, huitt ad ayns peccah : ta shinnyn kyndagh rish y peccah ocsyn er nyn mreh ayns annoonid, agh ta Jee ooilley niartal ain, dy bragh aarloo dyn gummal seose ; as my ta shin trooid nyn voill hene skirraghtyn, ta fer eddyr shin as Jee, kinjagh aarloo dy obbragh nyn shee. ","A. Very true ; and observe also, that, by the Mercy of Christ, we are in a safer Condition than even our First Parents were ; they were, indeed, created upright, but they fell : we are, by reason of their Fall, born in Weakness, but have an Almighty God, ever ready to support us, and if we, through our own Fault, do slip, we have a Mediator with God, ever ready to make our Peace.",,5,,
"Q. Bannit dy rou Jee, dy vel shin ayns aght cha mie. Faikin, eisht, dy nee shoh’n staaid ta mee ayn, gueeym erriu, cre shegin dou y yannoo dy ve saauchey ? ","Q. Blessed be God, that it is so well with us. Since, then, this is my Condition, I pray, what must I do to be safe ?",,5,,
"A. Hoshiaght, shegin dhyt kiarrail dy hassoo noi dy chooilley violagh gys peccah. Nee shoh dty chiangley dy smaghtagh oo hene as dy Obbal yn Eill. ","A. First, you must resolve to oppose all Temptations to sin, which will oblige you to Mortification and Self-denial.",,5,,
"Shegin dhyt credjal, as goaill gys dty chree, ny ta Jee er hoilshagh ayns e ghoo casherick, as er skyn ooilley Gialldynyn as Baggyrtyn Sushtal Chreest. ","You must believe, and lay to heart, what God has made known in his holy Word, and especially the Promises and Threatnings of the Gospel of Christ.",,5,,
"Shegin dhyt goaill ayns laaue dy reayll ny Annaghyn, ta gynsagh dhyt dty churrym gys Jee as gys dty Naboo. ","You must resolve to keep the Commandments, which teach you your Duty to God, and to your Neighbour.",,6,,
As son nagh vod oo shoh y yannoo oo hene ; shegin dhyt liorish padjer kinjagh shirrey gys Jee son e chooney. ,"And because you cannot do this of yourself, you must purpose at all times to seek to God, by Prayer, for his Assistance.",,6,,
"As er jerrey ooilley ; faikin dy nee trooid eer Foayr Yee te goaill shin stiagh ayns Conaant rish, as dy vel eh gialldyn dooin y Vea ta dy bragh farraghtyn, shegin dhyt ny saasyn dy Ghrayse te hene er phointeil, ta shen, Bashtey as Shibbar y Chiarn dy booisal y ghoaill as y usal. ","And lastly ; since it is meer Favour in God, that he receives us into his Covenant, and promiseth us eternal Life, you must thankfully receive, and use the Means of Grace which he hath appointed, namely, Baptism and the Lord’s Supper.",,6,,
"Shoh ard phointyn nyn Gurrym, quooid oddys oo y hoiggal, er beggan ynsagh, my hoi-ys oo dty chree er, as my nee oo padjer gys Jee son cooney. ","These are the chief Heads of our Duty, which you may understand, be you ever so unlearned, if you will set your Heart upon it, and pray to God for Help.",,6,,
Q. T’ad shoh ynsit aym hannah ayns y Credjue Creestee hie er ynsagh dou ? ,Q. These have I already learned in the Catechism I have been taught ?,,6,,
"A. Ta ; As ayns shen ta ynsagh dy liooar ayd, my ta agh fyss ayd cre’n aght nee oo ymmyd jeh ayns dt’ymmyrkey bea, as nee’ms cooney lhiatt dy yannoo shoh lurg aght feer aashagh. ","A. You have so ; and in that you have Learning sufficient, if you do but know how to make use of it in the Course of your Life ; which I shall assist you to do after a very plain way.",,6,,
"Agh hoshiaght, immee as tuitt shees er dty ghlioonyn, as guee er Jee dy der eh dhyt grayse as cree tushtagh ayns ny goan shoh, ","But first, go and fall down on your Knees, and beg of God to give you Grace, and an understanding Heart, in the following Words,",,6,,
"Noo Jamys 1. 5. My ta veg eu laccal creenaght, lig da shirrey er Jee, as bee eh er ny chur da. ","S. James i. 5. If any of you lack Wisdom, let him ask of God, and it shall be given him. ",,6,,
YN PHADJER.,The PRAYER.,,7,,
"O YEE, Bun dy chooilley chreenaght, ta shin dy feer injil guee ort dy osley ny aignaghyn ain, dy vod mad cheet gys tushtey jeeds, as jeh dty vi-ys ayns Yeesey Creest. Cur dooin cree sheelt, tushtagh, as craauee ; myr ta shin gaase ayns eash, dy vod mad gaase ayns grayse. Bannee dy chooilley haase dy haaualtys t’ow er choyrt dooin, as er skyn ooilley yn choyrle shoh, dy vod eh tuittym shees ayns nyn greeaghyn, as gymmyrk magh aynin Mess dy vea vie, gys onnor as molley dt’ennyms, trooid Yeesey Creest nyn Jiarn. Amen. ","O GOD, the Fountain of all Wisdom, we most humbly beseech thee to enlighten our Minds, that we may come to the Knowledge of thee, and of thy Goodness in Jesus Christ. Give us a serious an understanding, and a religious Heart, that as we grow in Years, we may grow in Grace. Bless all the Means of Salvation which thou hast afforded us, and especially this Instruction, that it may sink into our Hearts, and bring forth in us the Fruit of good Living, to the Honour and Praise of thy Name, through Jesus Christ our Lord. Amen.",,7,,
SECT  II.,,,8,,
Quest. CRe’n ennym t’ort ? ,Q. WHat is your Name ?,,8,,
A. N. ny M. ,A. N. or M. ,,8,,
Q. Quoi hug yn ennym shen dhyt ? ,Q. Who gave you that Name ?,,8,,
"A. My Ghedjaghyn as my Vimmaghyn ayns my Vashtey, ayn va mee er my yannoo m’oltey dy Chreest, Lhiannoo dy Yee, as Eirey dy Reereeaght Niau. ","A. My Godfathers and Godmothers in my Bap-tism, wherein I was made a Member of Christ, a Child of God, and an Inheritor of the Kingdom of Heaven.",,8,,
Q. Guee’m erriu cre’n Staaid va mee ayn roish Bashtey ? ,Q. Pray what was my Condition before Baptism ?,,8,,
"A. Myr haink oo jeh Ayr as Moir pheccoil, hug oo lhiatt rass peccah mayrt stiagh ayns y teihll. ","A. Being born of sinful Parents, you brought the Seeds of Sin into the World with you.",,8,,
