English,Manx,Page,EnglishPage,Notes
THE,,1,,
LOVE OF GOD,,1,,
,,1,,
,,1,,
BRIEF OUTLINE OF SERMON,,1,,
,,1,,
Preached in,,1,,
,,1,,
MANX AND ENGLISH,,1,,
,,1,,
,,1,,
"SUNDAY EVENING, JULY 3rd, 1897,",,1,,
,,1,,
AT THE ,,1,,
,,1,,
"TOWN AND SEAMEN’S BETHEL MISSION,",,1,,
"CIRCULAR ROAD, DOUGLAS,",,1,,
"ISLE OF ‘MAN,",,1,,
,,1,,
BY,,1,,
,,1,,
W. KNEEN ,,1,,
,,1,,
TOWN MISSIONARY,,1,,
,,1,,
"The service at which this sermon was preached was refered by the '‘Daily Mail” (London's the “Western Mail” and a large number of other English and Welsh newspapers as being one of. the most remarkable ever held in. the Isle of Man. Some American papers also gave an account of it; and the preacher received several requests for a copy of the sermon which he delivered there. He publishes this brief summary of what he said, praying that it may be a means of blessing.",,1,,
"Also, at this service, Mr H. T. Evans, editor of “The Journal,” Carmarthen, spoke in Welsh and Cornish, and a Captain of a Norwegian barque repeated the Lord’s Prayer in the Norwegian tongue.",,1,,
PRICE ONE PENNY,,1,,
"The First Epistle General of John, 4th chapter, Sth verse ; “ GOD IS LOVE.”","Yn chied Screeunyn veih Ean. Gys ny Chresteenyn ooilley, cab. 4,v. 8: “TA JEE GRAIH.”",2,6,
The Heavens bear witness to this truth. It is engraved on all the works of God. Who doubts his love ? No one can. Even devils “ believe and tremble.”,Ta ny niaughyn gynimyrkey feanish gys yn firrinys shoh. Te er ny grainney er ooilley obbraghyn Yee. Quoi ta dooyteil e graih. Cha vel unnane erbee. Ta ny drogh-spyrrydyn hene credjal as er creau.,2,6,
I. Let us in the first place notice the nature of His love.,"[I] Lhig dooin ayns yn chied boayl, chur tastey dy dhooghys e graih.",2,6,
"1. That this love is undeserved. He loved us when we were in our sins, under His wrath, lost, totally depraved. He revealed to those who first disobeyed His commandment, that “The Seed of the woman should bruise the head of the serpent.” “Herein is love, not that we loved God, but that He loved us, and sent his Son to be the propitiation (or satisfaction) for our sins.","1. Cha ren shin toilliu, lheid yn graih. Hug eh graih dooin, tra va shinyn ayns nyn beccaghyn, fo jymmoose, caillit, neughlen ayns chree. Ren eh soilshaghey dauesyn ren brishey yn sarey, ec y toshiaght, dy jinnagh rass yn ven broo kione, yn ard-nieu. Ayns shoh ta graih, cha nee dy dug shin graih da JEE, agh dy dug eshyn graih dooin, as dy ren eh e Vac, y choyrt dy ve lhiassaghey son nyn beccaghyn.",2,6,
"2. The extent of His love. It embraces the whole world. “ For God so loved the world that He gave His only begotten Son that whosoever believeth in Him should not perish but have everlasting life.” Who can measure His love ? It is a mountain, the top of which we can never reach; an ocean without bounds; a sea without a shore. The breadth and length and depth and height passeth all understanding. The greatness of His love is revealed in suffering for us, See the blood that flowed from the Saviour’s side. ","2. Yn Mooadys e graih. Te roshtyn yn slane seihll, “Son lheid y graih shen hug Jee da’n tbeili dj’ dug e ynrycan Vac v’er ny geddyn, nagh jinnagh quoi-erbee chredjagh aynsyn cherraghtyn, agh yn vea ta dy bragh farraghtyn y chosney.” Quoi oddys towse e graih. Te slieau nagh vod shinyn dy bragh rostyn yn vullagh. Te keayn fegooish oirr, ass faarkey gyn traie. Lheead, Ihiurid, diunid as yrjid e graih te erskyn dy chooilley hushtey. Ta mooadys e graih er ny hoilshaghey ayns surranse er nyn son. Jeeagh er yn uill roie veih e Ihiattee.",2,6,
"Was there ever sympathy like that which Christ had, for he knew that he was coining to suffer death. How wonderful His love!","Row chymmey rieau myr chymmey Chreest, Son s’mie va echey fys, Dy row eh cheet dy hurranse baase. Nagh mooar va ghiastallys.",2,6,"Manx was on separate lines:
Row chymmey rieau myr chymmey Chreest,
Son s’mie va echey fys
Dy row eh cheet dy hurranse baase.
Nagh mooar va ghiastallys."
