Manx,English,Notes
SHARMANE I. ,SERMON I.,
Yn aght firrinagh dy gheddyn vondeish liorish Sharmaneyn.,The true way of profiting by God’s word read or preached.,
"Dy gooidsave lhiat, O Yee, dy leeideil mee ayns yn obbyr vooar shoh, as dy vannaghey yn sharmane shoh son my hioltane; dy voddym’s as adsyn gloyr y choyrt Dhyt’s son ny Firrinnyssyn nee ad clashtyn. Cur dauesyn dy ve beasagh as biallagh da dty ghoo’s, as dooys dy ve jeidjagh ayns livrey yh; dy voddym mee-hene y hauail as adsyn ta clashtyn rhym; er graih Yeesey Creest. Amen.","Vouchsafe, O God, to direct me in this work, and bless this discourse for the good of my flock; that both I and they may glorify Thee for the Truths they shall hear. Render them tractable and obedient to thy word, and me faithful in delivering it; that I may save myself, and them that hear me, for Jesus Christ’s sake. Amen. ",
luke viii. 18.,luke viii. 18.,
"Cur-jee twoaie kys ta shiu clashtyn: Son quoi-erbee ta echey, dasyn vees er ny choyrt; as quoi-erbee nagh vel echey, veihsyn vees er ny ghoail eer shen hene er-lesh dy vel echey.","Take heed how ye hear: For whosoever hath, to him shall be given; and whosoever hath not, from him shall be taken even that which he seemeth to have.[1]",
"Chreesteenyn vie; ta mee goll dy hoiagh rhimbiu —yn bannaght mooar jeh tendeil Goo Yee, edyr yh ve er ny lhaih na er ny phreacheil diu, as yn aght firrinagh dy gheddyn vondeish liorish; as, myrgeddin yn ard danjere ta shiu roie, jeh beaghey fo soilshey yn Sushtal[2] as oardaghyn Yee, as gyn ve veg share lioroo. ","GOOD Christian People; I am going to set before you— the great blessing of attending to the Word of God, whether read or preached to you, and the true way of profiting thereby; as also, the very great hazard you run, of living under the light of the Gospel, and the ordinances of God, and not being bettered by them.",
"[2] Cha vel nhee erbee ny s’firrinee, na dy vel lane Creesteenyn caillit son dy bragh son laccal smooinaghtyn er ny Firrinyssyn ta’d dy chlashtyn dy chooilley Ghoonaght, as son nagh vel ad dy ghoail ad gys nyn greeaghyn. ","There is nothing more certain, than that many Christians are eternally ruined for want of considering the Truths they hear every Lord’s Day, and by not laying them to heart.",
"T’ad cheet dy jarroo gys y cheeill; as ta’d clashtyn ny scriptyryn er ny lhaih daue. —T’ad clashtyn ny ta Jee dy harey, as cre ta eshyn dy hirrey jeu. T’ad er nyn goyrt ayns cooinaghtyn jeh ny hig son firrinys ny lurg shoh: jeh baase, jeh briwnys, jeh niau, as jeh niurin. As foast t’ad goll thie lesh cha beg dy ghreme goit orroo, as nagh row ny reddyn shoh firrinagh, na myr nagh row ad er aght erbee bentyn roo. As cre ta cheet jeh shoh? Camma, t’ad fo ennym Chreesteenyn, ga nagh vel ad jannoo ny reddyn shen ta Creest er harey daue. T’ad jercal nish saualtys fegooish lhiassaghey nyn mea; as fo yn volteyrys shoh t’ad geddyn vaaish as goll dys beayntys trimshagh-treih.","They come, indeed, to the church; and they hear the scriptures read to them. They hear what God commands, and what He requires of them. They are put in mind of what must certainly come hereafter; of death, of judgment, of heaven, and of hell. And yet they return home as little affected, as if these things were not true, or as if they did not at all concern them. And what is the consequence of this? Why, they are called Christians, though they do not the things which Christ hath commanded them. They hope for salvation, without being converted; and under this delusion they die, and go into Eternity.",
"Dy haghney yn toyrt-mouys agglagh ta liorish shoh, ta nyn Jiarn er choyrt yn sarey geyre shoh da ooilley e eiyrtyssee: Cur-jee twoaie kys ta shiu clashtyn. ","To prevent this destructive consequence, Our Lord has given this following strict charge to all his followers: take heed how ye hear.",
"Cur-jee twoaie —son ta’n saualtys eu lhie er— dy gooinee shiu as dy jean shiu ymmyd vie, jeh ny ta shiu dy chlashtyn. Son quoi-erbee ta echey, ta shen, ta er gheddyn foays liorish ny t’eh hanna er chlashtyn, [3] nee Jee yn tushtey as ny grayseyn echey y vishaghey. Agh quoi-erbee nagh vel echey, ta shen, nagh vel er choyrt geill da ny t’ad er chlashtyn, as nagh vel er n’yannoo vondeish erbee liorish; ta nyn lheid neu-feeu jeh bannaghtyn sodjey, as, liorish briwnys cairal Yee, bee goit voue yn tushtey as y ghrayse er-lhieu hene dy row oc. ","Take heed —for your salvation depends upon it— that you remember, and make good use of, what you hear. For whosoever hath, i. e. hath benefited by what [2] he hath already heard, God will increase his knowledge and his graces. But whosoever hath not, i. e. have not minded what they have heard, or have not profited by it; such are unworthy of more favours, and, by a just judgment of God, will be deprived of the knowledge and graces which they seemed to have.",
"Cur-jee twoaie er-y-fa shen, kys ta shiu clashtyn, ta shen, vel shiu cheet kiarit dy chlashtyn lesh aigney sheelt, aggindagh, as arryltagh dy ve ynsit nyn gurrym; as lesh kiarail dy chooilleeney ny ta shiu dy chlashtyn. ","Take heed, therefore, how you hear, i. e. whether you come prepared to hear with a serious, teachable temper; with a purpose to learn your duty, and to practise what you hear.",
"Cur-jee twoaie kys ta shiu clashtyn— as dy jean shiu clashtyn roosyn nyn lomarcan ta, liorish oardagh Yee, pointit dy ynsagh shiu. Shickyr cha row rieau feme smoo son y raue shoh. Ta ymmodee molteyryn, ta’n Ostyl dy ghra, er n’gholl magh fud y theihl; lane lioaryn olk, mee-chrauee, as noi yn chredjue Chreestee; lane fir-obbree fo yn Drogh-spyrryd, as spyrrydyn molteyragh; shen-y-fa cur-jee twoaie as chea-jee voue myr shynney lhieu ny anmeenyn eu hene. ","Take heed how you hear: —And that you hear those only who, by the order and providence of God, are appointed to instruct you. Never sure was more need of this caution. Many deceivers, saith the Apostle, are entered into the world;[3] many lewd, profane, and antichristian books; many agents of Satan, and seducing spirits; and therefore beware and avoid them as you love your souls.",
"Er-jerrey, cur-jee twoaie kys ta shiu clashtyn. Cooinee-jee quoi ny Shirveishee ta shiu dy chlashtyn, quoi yn ghoo, quoi ny saaraghyn, quoi ny gialdynyn, quoi [4] ny baggyrtyn, ta shiu dy chlashtyn. Cha nee goan ghooinney ad, agh goo Yee —er ny livrey liorish e Vac hene, er ny hickyraghey liorish mirrillyn, as soilshit diu liorish e Haggyrtyn hene.","Lastly, take heed how you hear. Remember whose ministers you hear, whose word, whose commands, whose promises, whose threatenings, you hear. They are not the words of man, but the word of God —delivered by his own Son— confirmed by miracles, and reported to you by his own Ministers.",
"Hoiggal dy vel shiu smooinaghtyn, dy vel shiu cha mie ynsit ayns nyn gurrym as yn preachoor ta pointit dy ynsagh shiu. Abbyr-jee dy vel. Agh cooinee-jee cre-erbee ta ny giootyn echeysyn na euish, dy nee eshyn shirveishagh Yee diuish son foays, my ver shiu tastey as biallys da ny coyrleyn crauee echey. As cooinee-jee myrgeddin, nagh vod yn dooinney s’floaoil ta loayrt, as s’ynsit ’sy theihl cur shiu er nyn doshiaght ayns craueeaght fegooish bannaght Yee. As er-jerrey, dy vel Jee er n’yannoo, as dy vod eh jannoo, yn goo echey ass beeal yn fer ’smelley jeh e haggyrtyn, breeoil dy hyndaa adsyn ta geaishtagh roo lesh arrym. ","It may be you may imagine, that you know your duty as well as the preacher who is appointed to instruct you. Be it so. But remember, that whatever his talents and yours may be— he is a minister of God to you for good, if you hear and obey his godly admonitions. And remember too, that the most eloquent, learned man on earth cannot edify you without God’s blessing. And lastly, that God has made, and can make, his word, out of the mouth of the meanest of his ministers, effectual for the conversion of those that hear them with reverence.",
"Well eisht; sheign da quoi-erbee ta jercal dy gheddyn vondeish liorish clashtyn cheet lesh imlid, as aigney arryltagh dy ghoail ynsagh; sheign da kiarail y ghoail dy yannoo soiagh jeh yn ynsagh, oghsan, as coyrle, myr cheet voish Jee; as sheign da streeu dy chooinaghtyn er ny t’eh dy chlashtyn. ","Well then; whoever hopes to benefit by hearing, must come with humility, and a teachable temper of mind; must resolve to receive instruction, reproof, and advice, as coming from God; and must strive to remember what he hears.",
