Manx,English,Notes
CARVAL MYCHIONE ÇHEET CREEST.,A CAROL CONCERNING CHRIST’S COMING. ,[Above reading suggested by Mr. P. W. Caine.]
Yn oyr t’er hayrn shin cooidjagh jiu ,The cause that has drawn us together to-day ,
"Cha nee myr gien, craid, spoyrt ny cloie, ","Is not as a feast, a mock, a sport or play, ",
Agh dy smaghtaghey yn olk eajee,But to correct the hateful evil ,
Ta reill dy follit ayns nyn gree ,That rules concealed in our hearts ,
Nagh mooar yn treih ,Is not the sadness great ,
Dy vel yn sleih ,That people will ,
Cha mennick craid ayns feanish Yee!,So often scoff in the presence of God!,
"Son paart v’er jeet ayns shoh dy chraid, ","For some have come here to scoff, ",
As paart trooid cliaghtey cloie as spoyrt. ,And some through custom play and sport. ,
Fer tayrn fer elley gys yn olk. ,One man draws another to the evil. ,
"Myr shoh ta earroo mooar nyn vud, ",Thus there is a great number amongst us ,
Nagh vel cur geill ,[Who] do not give heed ,
Dy lhaih ’sy cheeill. ,To the reading in the church ,
Ta’n reamys shoh currit da’n eill.,This freedom is given to the flesh. ,
Son corrym rish yn laa mie t’ayn ,For like as on the present holy [lit: good] day (i.e. on another Christmas Eve.),
Paart foddyms genmys va ’syn cheeill ,Some I could name [who] were in the church,
"Va jannoo olk as pluckey folt, ",Were doing ill and plucking hair (rowdy horse-play).,
Agh yn jouyl hene va moir yn olk ,"But the devil himself, who was the author [lit: mother] of the evil ",
Cur ayns nyn gree ,Put [it] into their heart ,
Feoh y choyrt da Jee ,To abhor God ,
Ayns craid tranlaasagh shin va guee. ,In scorn troubling us [who] were praying.,
Bwooishins ny goan shoh dy ghoaill greme ,I would wish these words to take hold ,
As lhiantyn ayns cree dagh unnane. ,And cleave to the heart of each one [of you]. ,
Cha vel yn ooashley curt da’n Jouyl ,The worship given to the devil ,
Yn shirveish lhisagh ve ec y Çhiarn. ,Is not the service that should be [given] to the Lord. ,
O lhiassee-jee ,O amend ye ,
Cre erbee ,Whatever ,
Yn fardail t’er n’yientyn ayns nyn gree.,Vanity that is conceived in your hearts. ,
Dy phlooghey dagh smooinaghtyn er olk ,To smother each evil thought ,
As dy chur dagh smooinaghtyn mie er-ash ,And to cherish [lit: revive] each good thought ,
"As obbyr chooie yn laa t’ayn jean jiu, ",And to do the due service of the present day ,
As veih nyn obbyr dy ghoaill aash. ,And to take rest from our [usual] work. ,
Dagh aeg as shenn ,Each [one of us] young and old ,
Lesh creeaghyn glen ,With pure hearts ,
Veagh gennal jeant un cheayrt ayns blein.,Would be made glad once in a year.,
Son corrym rish yn moghrey shoh ,For like as at this morning ,
Rug Creest veih oghrish yn Ayr. ,Christ was born [coming] from the Father’s bosom ,
Dy chosney shin veih pooar yn noid ,To win us from the power of the enemy ,
As dy gheddyn dooin yn eiraght chair ,And to obtain for us the right heritage ,
Shin caillit va ,We were lost At the Great Day ,
Rish mooarane laa ,And in peril for eternity.,
As ayns dangeyr er son dy braa.,,
Roish my ghow Creest er nyn eill ,Before Christ took upon him our flesh ,
Nagh treih va stayd ooilley sheelnaue! ,Was not the state of all mankind sad! ,
Nyn doilliu hene va deyrey ad,Their deserts were condemning them ,
Veih veg y chairys ve oc ayns niau. ,From having any rights in heaven. ,
Agh yn Trinaid Ren ad y reil [sic. ? reait] ,But the Trinity settled ,
Cre’n aght dy chosney daue ny raad.,What way to gain them the road.,
Yn raad dys niau rooin ve dooint ,The road to heaven was closed to us ,
Agh Creest ghow er dy osley eh. ,But Christ undertook to open it. ,
She corrym gys yn laa t’ayn jiu ,It was like to the present day ,
"Rug eshyn jeh’n Voidyn Voirrey,",[That] He was born of the Virgin Mary. ,
Yn aght ghien Creest ,The way Christ was formed ,
T’er-skyn nyn esh [sic: eysht?] ,Is above our comprehension [lit: enquiring] ,
Moidyn va torragh as gientyn neesht.,A virgin was with child and also conceived.,
Nagh mooar yn ghraih hug eh da’n theihll! ,Was not the love great which he gave to the world! ,
Nagh mooar yn çhymmey echey jeean! ,Was not his pity intense [lit: zealous] ! ,
Fer va rieau ny Yee ayns niau ,One who was before-time God in heaven ,
Er jeet fud peccee nagh vel feeau ,Come down amongst sinners who were not worthy ,
Jeh’n bannaght sloo yn Ver-croo ,Of the least blessing Of our Creator,
Lurg daue e leighyn mie y choyrt mow.,After they had destroyed his good laws.,
Agh Jee ghow chymmey jeh sheelnaue ,But God took pity on mankind ,
As smooinnee er e ghialdyn hene ,And thought on his own promises ,
Yn conaant jeant rish nyn ard ayr ,The covenant made with our forefather ,
"Shen va eddyr Jee as Abraham, ","That was between God and Abraham, ",
Da hene as da e rass ,To himself and to his seed. ,
Bishagh as gaase—,[To] increase and grow—,
Myrgeddin saase dy haghney baase.,A means also to shun death.,
Son yn aght myr liorish dooinney va ,For the same way as [by] man was ,
"Yn peccah jeant cur dooinney mow, ",The sin done [that] destroyed mankind ,
She myr shen liorish dooinney reesht ,So it was that by man again ,
Va lhiassaghey jeant da nyn Fer-croo ,Atonement was made to our Creator ,
She Prince yn Çhee ,It was the Prince of Peace ,
Va’n dooinney cree ,[That] was the pitiful man [lit: man of heart] ,
Gow er shin coardail rish Jee.,[Who] undertook to reconcile us to God. ,
Cordail rish Jee ayns yn Chonaant. ,Accord[ing] with God in the Covenant ,
Nyn slane treishteil y choyrt ayn hene ,Your whole trust put in him ,
