Manx,English
,MANX DISHES (p172 – 203)
BROISH VAINNEY,MILK BROISH.
,"Mrs. Creer, Ballachurry, Greeba."
Gow lieh berreen dy arran-oarn as çhiow eh trooid ayns ny smaragyn ; eisht brish eh ayns meeryn veggey as cur ayns jyst dy vainney-geayr. ,"Take half a cake of barley bread 2 or 3 days old, toast it well, and when thoroughly warm break into small pieces and put into a basin. "
Lhig da shassoo son tammylt beg roish ee.,Let it stand for five minutes before eating.
COWREE.,COWREE.
,"Mrs. T. Moore, Brookfield, Port Erin."
Jeant jeh meein-corkey beihlt meein.,Made of fine oatmeal.
Cur yn meinn ayns crockan as coodjagh [sic] harrish lesh ushtey gys daa oarlagh ; eisht mastey as faagail eh three laa. ,"Put the meal in a crock and cover with about two inches of water, mix, and leave it three days. "
"Eisht cur eh trooid shollane as cur eh ayns pash yiarn, broie son oor. ",Then put it through a sieve and into an iron pot. Boil for an hour. 
Dy ve eeit lesh bainney millish.,To be eaten with new milk.
COWREE.,COWREE.
,"Miss I. Cannell, Michael."
,"Put some oatmeal — about 8 tablespoonfuls to 1 qrt. of cold water — into an earthenware vessel, let it stand through a hair sieve. Pour the strained part into a saucepan, set over a moderate fire, and stir all the time till it thickens. Boil 5 minutes or more, and just before reomoving from the fire add a little salt. To be served as porridge with milk or cream, or if cold with hot milk. "
COWREE.,COWREE.
,"Mr. C. Roeder, Manchester."
(Geidit voish ny mooinjer-vegger.),(Recipe filched from the fairies.)
Gow mysh lieh tubbag bleeaystyn y veinn-corkey as cur eh ayns crockan nuy laa coodit lesh ushtey — te eisht enmysit ushtey gial. ,"Steep the husks of a bushel of oats, with a handful or two of fine oatmeal, for 9 days in sufficient water to cover ; when it has become bitter run the water through a sieve to remove the husks then it is like white water. "
"Te eisht currit ayns pash vooar er yn aile, as te çhyndaait mygeayrt lesh maidjey-mastee gys te er n’aase çheu. ","Now fill the biggest pot you have in the house with it, stir it with a pot-stick all the time it it on the fire, unti it becomes thick and solid. "
Eisht te aarloo dy ve folmit ayns claaryn dy ve eeit lesh bainney.,When it is quite cold boil it with milk and serve.
FUMBYREE.,SHELLED BARLEY PORRIDGE
,"Miss K. Quirk, Patrick Street, Peel."
Oarn skihlt.,Shelled barley.
Flooyr.,Flour.
Bainney millish.,New Milk.
Ushtey.,Water.
"Gow oarn skihlt as broie eh ayns ushtey mysh daa oor, — eisht cur paart dy vainney millish ayn, eisht mastey red beg dy flooyr ayns bainney feayr as cur ad ayns y phash, as mastey ad gys bee ad currit lhieu gys cloie.",Take shelled barley and boil it in water about 2 hours; then add some new milk in. Mix a little flour in cold milk and put in the pot and stir until it begins to boil.
PODDASH MEINN-CORKEY.,OATMEAL PORRIDGE.
,"Mr. W. Cubbon, Douglas."
Poddash meinn-corkey as bainney millish dy-liooar.,Oatmeal porridge and new milk enough.
,
,PORRIDGE.
,"The Hon. J. K. Ward, Montreal."
,1 teacupful oatmeal (middles).
,1 pint fresh drawn cold water.
,1 teaspoon salt.
