Manx,English,Notes,Date,Source
,"[1][1]  STORY OF THE BEESTUNG PARSON. Among the old stories which I have obtained from the South of the Island, at Cregneish, the one of the bee-stung parson is of particular interest. It was given me in Manx, and runs thus: —","[1] IoME, Sat, Sep 21, 1901; Page: 3
",21/09/1901,Isle of Man Examiner
"     Ta mee er chlashtyn skeeal veg mysh saggyrt ren coyrt e vreechyn gys thalear dy cherraghey ad fastyr Jesarn, as ren yn thalear cur e[2] vac thie lhieu moghrey Jydoonee.","I have heard a little tale about a parson that sent his pants to a tailor on Saturday evening to get mended, and the tailor sent his son with them on Sunday morning, ","[2] e] original text; [y]
",21/09/1901,Isle of Man Examiner
"Myr ve er yn raad gys thie yn taggyrt, haink eh er edd shellan, as ghow eh breechyn yn taggyrt dy yeealley ny shellanyn ersooyl.",and he came on a bees’ nest and he took the parson’s pants to beat the bees. ,,21/09/1901,Isle of Man Examiner
     As tra ve er gheddyn yn vill hie eh gys thie yn taggyrt lesh ny breechyn.,"When he got the honey he went on his way to the parson’s house, ",,21/09/1901,Isle of Man Examiner
"     Ren eh lhiggey shaghey spooileil ny shellanyn, as ve traa da’n saggyrt dy gholl ayns yn keeil, chur eh ny breechyn er ayns siyr, as ghow eh toshiaght dy lhaih ny padjeryn ayns y keeyl as ghow ny shellanyn toshiaght dy chur nyn gahyn ayns e lheeayst, as ghow eh toshiaght dy lheimyragh as dy stampey, as haink eh magh lesh goan nagh row cairagh dy ve loayrit ayns keeyl:—","and as he had delayed by robbing the bees’ nest, it was about time for the parson to go to church. So he put on the pants in a hurry, and began to read the prayers in the church, and the bees began to sting his thighs, and he began to jump and stamp, until at last he came out with words that were unlawful to be said in church :— ",,21/09/1901,Isle of Man Examiner
Va er ve paart dy shellanyn ayns e vreechyn.,     Some of the bees had been in the pants.,,21/09/1901,Isle of Man Examiner
,[3] MANX PROVERBS [3],"[3] IoME, Sat, Sep 28, 1901; Page: 3
",28/09/1901,Isle of Man Examiner
Tra ta bayrn er Baroole ,"When Barrule will have a cap, ",,28/09/1901,Isle of Man Examiner
Yiow Kione Vaughold ayrn jeh shen ,"Maughold Head will get a share of that, ",,28/09/1901,Isle of Man Examiner
Tra ta’n lhie er thie Bushel ,When snow lies on Bushel’s House. ,,28/09/1901,Isle of Man Examiner
