English,Manx,Notes
MANX PLANT NAMES,,
"COMPILED BY MISS S. MORRISON, PEEL.",,
"Alexanders, Smyrnium olusatrum","Ollyssyn, Lus-yn-ollee",
"Anemome (wood), Anemone nemorosa",Lus-ny-Geayee,
"Apple, Pyrus malus",Ooyl,
"Ash, Fraxinus excelsior",Unjin,
"Ash (mountain), Pyrus aucuparia",Keirn,
"Aspen, Populus tremula","Cron-craee, Chengey-ny-mraane",
"Barley, Hordeum",Oarn,
"Bean, Faba vulgaris",Poanrey,
"Bird’s foot trfoil, Lotus dulcamara",Crouw-kayt,
"Bitter-sweet, Solanum dulcamara",Croan-reisht,
"Bitter vetch, Orobus tuberosus",Crammeltyn[1],[1] crammeltyn] always plural
Blackberry (bramble),Smeyr,
"Blaeberry (whortleberry), Vaccinum myrtillus","Farrane, Freoaghne gorrym",
"Bog-bean, Menyanthes trifoliata","Lubber lub, Luss-y-three duillag",
"Bog-myrtle, Myrica gale",Lus roddagagh,
Brambe (Rubus fruticosus,Dress,
"Brook-lime, Veronica beccabunga",Burleek,
"Broom, Cyrisus scoparius",Guilcaugh,
"Buckshorn plantain, Plantago coronopus",Bollan Vreeshey,
"Burdock, Arctium lappa",Bollan-doo,
"Burnet rose, Rosa spinossima",Drine drughaigh,
"Bur-reed (branched), Sparganium ramosum",Curtlagh muck,
"Butterwort, Pinfuicula vulgaris",Lus-y-steep,
"Campion (red), Lychnis diurna",Blaa-ferishyn,
"Carrot (wild), Daucus carota",Carradje-keoie,
"Celandine (greater), Chelidonium majus",Lus-y-gollan geayee,
"Celandine (lesser), Ranunculus ficara",Lus-ny-pileyn,
"Centaury, Erythraea centaurium",Keym-Chreest,
"Chickweed, Stellaria media",Flig,
"Chive, Allium shoenoprasum",Shoushan,
"Cleavers, Galium aparine",Lus-y-chollane,
"Clover (white), Trifolium repens",Samark bane,
"Colt’s-foot, Tussilago farfara",Cabbag-ny-hawin,
"Comfrey, Symphytum officinale",Cumfurt,
"Common and Corn Sow thistles, Sonchus oleraceus, Sonchus arvensis","Bee-muck, Bainey-muck, Onnane-meein",
"Corn Marigold, Chrysanthemum segetum",Bastag vuigh,
"Cotton thistle, Onopordon acanthum",Onnane frangagh,
"Couch grass, Triticum repens",Faiyr-voddee,
"Cow-parsnip, Heracleum spondylium",Farrain,
Cress (water) nasturium officinale,Burley,
"Crosswort, Galium cruciatum",Bossan tessen,
"Crowfoot, Ranunculus acris",Cass-feeagh,
"Cudweed, Filago germanica",Lus-ny-chroshey,
"Daisy, Bellis perennis",Neaynin,
"Dandelion, Taraxacum officinale",Lus-ny-minnag,
"Darnel, Lolium perenne and tremulentum",Jerlyn,
"Devil’s bit, Scabiosa succisa",Lus-yn-aacheoid,
"Dock, Rumex obtusifolius",Cabbag-jiarg,
"Dog-rose, Rosa canina",Drine bogogue,
"Dog-violet, Viola canina",Bossan feeackle,
"Duckweed, Lemna minor",Clooie fannag,
"Dulse, Rhodymenia palmata",Dullish,
"Earth nut, Conopodium denudatum",Curlan,
"Elder, Sambucus nigra",Tramman,
fungi growing on elder trees,Cleaysh-hramman[2],"[2] Cleaysh-hramman] [lit; ‘elder ear’] this entry is added as a note after [Tramman]. [Note by RT: This refers to the type of fungi that grows on elder trees, called ‘jelly ear’ in English. In Manx folklore these are said to be ears left on the tree by the mooinjer-veggey as bugging devices when they themselves are out-of-sight in order to listen on humans. Left soaking in water overnight they swell and take on the appearance of ears.]"
"Elm, Ulmus campestris",Lhieaun,
"Eyebright, Euphrasia officinalis",Lus-y-tooill,
"Fairy flax, Linun catharticum",Lus-y-ghew,
"Fern family, Filices",Rhennagh,
"Fir (Scotch), Pinus sylvestris",Juys,
"Fig wort, Scrophularia nodosa",Arym,
"Flag (yellow), Iris pseud-acorus",Cliogagh,
"Flax, Linum",Lieen,
"Flixweed, Sisymbrium sophia",Lus-y-yiarrey,
"Foxglove, Digitalis purpurea",(Fraps) Sleggan-sleeu,
"Fumitory, Fumaria officinalis",Booa-ghoayn,
"Furze, Ulex nanus","Conney-cadjin, Conney manninagh",
"Furze, Ulex eurpaeus",Conney frangagh,
"Garlic, Allium ursinum",Garlead,
"Golden rod, Solidago virgaurea",Slat-airh,
"Goosefoot (white), Chenopodium viride",Coll-mea,
"Goutweed, Aeogopodium podagraria",Lus-yn-ollee,
"Grass family, Gramineae",Faiyr ,
hay[3],traagh,[3] Traagh] added as a note after [Feiyr].
"Ground Ivy, Nepeta glechoma",Ard-lossey,
"Groundel, Senecio vulgaris",Grunlus,
"Harebell, Campanula rotundifolia",Mairanyn ferish,
"Hawkweed (mouse-ear), Hieracum pilosella",Lus-y-chengey veg,
"Hawthorn, Crataegus oxyancantha",Drine skeag,
"Hazel, Corylus avellana",Coll,
"Heath bedstraw, Galium saxatile",Follan fing,
"Hemlock, Conium maculatum",Aghaue,
"Hemp, Cannabis sativa",Kennip,
"Hemp agrimony, Eupatorium cannaginum",Jeshal,
"Henbane, Hyoscyamus niger",Connagh-ny-giark,
"Herb Robert, Geranium Robertianum",Lus-ny-freenaghyn mooarey,
"Holly, Ilex aquifolium",Hollyn,
"Honeysuckle, Lonicera periclymenum",Ullaagagh,
"Hops, Humulus lupulus",Ob,
"Horehound, Marrubium vulgare",Nep,
"House leek, Sempervivum tectorum",Lus y thie,
"Hyacinth (wild), Scilla nutans","Gleik-muck, Blaa muck",
"Ivy, Hedera helix",Hibbin,
"Knapweed, Centaurea nigra",Lus-y-cramman doo,
"Leek, Allium porrum",Lhuss,
Lichen family,Scriss-nygreg,
"Ling, Calluna vulgaris",Conney-freoagh,
"Ling berry (Crowberry), Empetrum nigrum",Freoaghane,
