Manx,English
,Manx Scraps
,"Isle of Man Examiner, Saturday, July 08, 1905; Page: 8"
"Parick Noo bannee yn Ellan ain: dy bannee eh shin as yn baatey goll magh dy mie, cheet stiagh ny share, lesh bio as marroo ’sy vaatey. ","St. Patrick who blessed our Island; may he bless us and the boat going out well, coming in better, with living and dead in the boat. "
"Dy bannee yn Noo Pharick shin as nyn maatey, goll magh dy mie as çheet stiagh ny share, ooilley bio as ny merriu marin. ","May St. Patrick bless us and our boat, going out well and coming in better, all alive and the dead with us. [Prayers formerly said by fishermen when putting out to sea.]"
Tra çhionniey ta’n streng s’lickley da brishey. ,When the string is tightest it is nearest to breaking. [A fisherman's saying which means luck will turn when things are worst.]
Fuinney thanney er y veggan meinney. ,"Baking thin with little meal (i.e., making great show of nothing)."
Raad ta moyrnagh ta boghtynid. ,Where there is pride there is poverty.
Raad ta boghtynid çheet te jannoo edd. ,Where poverty comes it makes a nest.
S’booiagh yn voght er yn veggan. ,The poor are content with a little.
Daa red dwoaiagh — boght moyrnagh as dooinney-seyr breagagh. ,Two hateful things — a poor person proud and a gentleman telling lies. 
"Tra cha vel yn argid çheet stiagh, ta’n graih goll magh er yn uinnag. ","When money does not come in, love goes out at the window. (English equivalent—When poverty comes in at the door love flies out at the window.)"
,
Ta ny smoo poosey na vod freayll cowree feayr ayns y cupboard. ,There are more marrying than can keep cold cowree in the cupboard
Cha daink rieau feayraght dys haink yn arragh. ,"Cold never comes until spring, and never comes hardship until buying (i.e., until ’tis time to pay)."
As daink rieau creoighyn dys haink yn chionnagh. ,
Cha der oo enn er ommidan mannngh jean oo clashtyn eh loayrt. ,You will not know a fool unless you hear him speak.
,Another version is—
Cha der oo enn er boght mannagh jean oo clashtyn eh pleateil.,You will not know a fool unless you hear him speak.
Cur bleb er çhaghteraght as nee uss fakm cre’n sorch çhaghter nee eh jannoo. ,Send a fool on a message and you will see what kind of a messenger he will make.
Ta poddash heh mie da moddee aegey. ,"Hot porridge is good for young dogs (i.e., “Experience teaches fools”)."
Nee rouyr eeym toghtey moddey. ,Too much butter will choke a dog.
Our craue da moddey greimmey. ,Give a bone to a snappy dog. 
,Another version is—
"Ceau craue ayns beeal drogh voddey, son cha jean moddee mie cur eh eie ort. ",Throw a bone into a bad dog's mouth for a good dog won't meddle with thee.
Ta feill yn kiark ghoo cha mie as feill y kiark bane. ,The flesh of the black hen is as good as the flesh of the white hen.
Baase mraane as bishagey kirree. ,Death of women and increase of sheep.
"Gow magh dy lhoam, trooid thie dy mullagh, lesh yn eayn bwoirrin as yn coamrey sonney.","Go out bare, come home rough, with the she lamb and the plentiful fleece. [Charm formerly said after sheepshearing.]"
Eiyrt yn bock ta goll. ,Drive the horse that goes. 
Eshyn ta çeet toshiaght dys mwyllin yiow eh chied blieh. ,He who first comes to the mill gets his grist first ground; 
,"i.e., “First come first served.” This was formerly the case both at mill and smithy; every one had his turn.x"
 ,The following proverb shows that Manx milllers were not more honest than their brethren in England : —
,"It was the custom for the miller to grind the farmer’s corn, and to pay himself by taking foilliu."
,"foilliu] “Mulcture, toll given at a mill for grinding.” (Cregeen)."
Goaill foilliu daa keayrt. ,Taking mulcture twice. [An epithet applied to a dishonest person.]
Te kiark boght nagh vod screebey son ny eean. ,“Tis a poor hen which cannot scratch for one chicken.
Sharie ny lomarcan na drogh cumraagyn. ,Better alone than in bad company.
S’mi yn red ta couyral. ,Good is the thing which mends.
Lhig mee-hene goll toshiaght. ,Let myself go first. [The saying is applied to an egotistical person.]
Cha lhiass dhyt goll dys yn jouyl son cairys choud as t’eh cur briwnys. ,Thou need’st not go to the devil for justice so long as he gives judgment. 
,Another version is — 
Cha lhiass dhyt goll dys leigh my ta’n jouyl soie son briwnys.,"Thou neeed’s not go to law if the devil sits for judgment (i.e., ‘Do not expect justice from the devil”)."
Ta eeayst Jesarn ’sy Vayrnt as eayst Jesarn ’syn ouyr. ,A Saturday’s moon in March and a Saturday's moon in harvest is too much once in seven years. 
Keayrt ayns shiaght bleeantyn rouyr. ,
,"It is said that Saiurday’s new moon only falls once in seven years in March and harvest, and it always brought storm and ruin. Hence it was considered unlucky — coming once in seven years too often."
Kellagh Mayrnt nee gurrym dy chooilley oor trooid yn oie; behrt ayns Mayrnt as guirt ayns Mayrnt. ,A March cock will crow every hour through the night : laid in March and hatched in March.
Moyll yn gheurey mie ec Laa Boaldyn. ,Praise the fair winter at May-day.
"My crosh bollan ayns yn sporran,","If a bollan cross is in the purse, You will never go astray."
Cha jean oo dy bragh goll er-shaghryn. ,
"Ollick Feer Ghennal as Blein Vie Noa, ","A Very Merry Christmas and a Happy New Year, "
Keyrrey ooilley marroo as shenn ghooinney bio. ,A sheep all dead and an old man alive. 
,"(i.e., May a sheep lie ready for the Christmas fare and the master of the house well. Old Manx Christmas greeting.)"
YN MAARLIAGH KEYRRAGH. ,THE SHEEP THIEF
She Nick beg ny liargagh ,"[Is Little Nick of the slope,"
"Va bwaag echey ayns yn aasagh, ","He had a shed in the wilderness,]"
S’maynrey va ayns shen dooinney ceau e ,[How happy was a man there spending his
"     hraa, hraa, hraa; ","     time, time, time,]"
"Son cha row echey agh goll magh, ","]For he had nothing but going out,"
"As curlesh kione mollagh stiagh, ","And bringing a woolly head in,]"
kione mollagh] keyrrey,
Shen y voayl veagh yn scryssey as yn ,[That’s the place where would be the scraping and the 
"     daah, daah, daah ; ","    dye, dye, dye;"
Shen y voayl veagh yn scryssey as yn ,That’s the place where would be the scraping and the 
daah ,     dye.
,"(There are other and more corrupt versions of the above to be heard, but this version is the best.)"
DISTICH.,
Jack Beg Juan John va singal myr lhon; ,[Little Jack Juan John was singing like a blackbird;
"Ginsh caggey mooar ayns Nherrin, ",Telling (of a) great war in Ireland.]
As Bella Barrule vees cheeet er-y-chooyl ,[And Bella Barrule who will be coming right away
Dy raip e folt as cleayshyn.,To rip her hair and ears.]
"Cray dhoan ec Keeill-Eoin, ","Brown clay at St. John’s, "
"Brashlagh bwee ayns Yurby, ","Wild mustard (poor land) in Jurby, "
"Claghyn glassey ayns Balla-laaghey, ","Grey stones in Ballaugh,"
Guillyn mooar ayns Delby.,Fine lads in Dalby. 
,(Imitation of the song of Kirk Patrick Old Church bell.)
"Dyn glare, dyn cheer. ","No language, no nation."
,"Manx Scraps Isle of Man Examiner, Saturday, July 29, 1905; Page: 8"
"[...] lheim, smessey blein er-giyn;","[...] the leap-year, worse the year"
,following
[...] laa Boaldyn Jerdein,[...] when May Day is Thursday
[...] yerrey nee troggal yn eayn,[...] good for the sheep who shall rear the lamb
_______,_______
