Manx,English,Notes
WHERE HAVE ALL THE MANXMEN GONE ?,,
"EC Y TRAA t’ayn jiu, my loayrys oo rish poleen (Meoir shee) aeg erbee, er lheh ayns Doolish, nee oo goaill yindys dy chlashtyn yn blass echey! Yinnagh oo smooinaghtyn dy vel oo geaishtagh rish Z-Cars[1] er y chellveeish! Keayrt dy row va bunnys dagh ooilley pholeen ny Manninagh dooie as blass feer Vanninagh echey, agh nish er lhiam dy vel ooilley ny poleenee aegey cheet voish Sostyn. Cre’n aght ta shoh er jeet dy ve? Vel ny Manninee aegey gobbal gentreil stiagh ’sy chirveish shen, ny vel eh polasee oikoil dyn Manninee y ghreinnaghey dy ve nyn veoirynshee? ","At the  present time, if you speak to any young  police officer, especially in Douglas, you will be amazed to hear his accent! You would think that you are listening to Z-Cars on the television! Once upon a time almost every police officer was a native Manx person and had a very Manx accent, but now I that that all the young police come from England. How has this come to be? Are the young Manx refusing to enter into that service, or is it official policy not to encourage Manx people to be police officers? ",[1] Z-Cars] — a TV police drama set in a fictional area of Merseyside.
"Er lhiam dy vel shoh cowrey elley jeh'n aght ta reddyn caghlaa ayns Mannin as jeh’n aght ta shin cheet dy ve ny smoo as ny smoo Sostnagh! Foddee dy vel eh ny share da ny poleenee dyn ve nyn Vanninee er y fa dy vel ny Man­ninee ooilley mooinjer rish y cheilley! Ayns ny shenn laghyn va my henn ayr hene as ooilley e vraaraghyn stiurey ny poleenee 'syn ellan shoh as v’ad jannoo yn staartey dy mie neesht, marish ooilley ny co-obbree Manninagh oc.","I think that this another sign of the way things are changing in the isle of Man and of the way we are coming to be more and more English! Maybe it is better for the police not to be Manx because the Manx are all related to each other! In the old days even my own grandfather and all his brothers were directing the police in this isalnd, and they were doing the job well too, with all their Manx coworkers. ",
,"There is a Gaelic proverb which runs, “If you put a Manxman on a spit over an open fire you will always find another Manxman willing to turn him until he’s done.”[2]","[2] This sentence appears in the original piece, but in English only."
"Cre’n fa eisht, ta shin goaill stiagh ooilley nyn boleenee aegey voish Sostyn?","Why then, are we taking in all young police from England?",
FOOO ? HALLOOO ?,,
"Screeu Arthur Moore ’sy cholloo echey ayns “Yn Emshir Hiaghtinoil”, Jemayrt shoh chaie, dy row eh lesh shilley er ny Shamyryn Slattyssagh ayns Doolish, tra ren dooinney va leeideil ad ny hrooid[3] ny shamyryn gimraa “Fo-Halloo”. Rere Mnr Moore, va Yernagh kionefenish as cha doig eh ny focklyn shen er chor erbee! Cha nyrrys edyr!","Arthur Moore wrote in his column in ‘The Weekly Times” , last Tuesday, that he was visiting the ‘Acts Chambers’ in Douglas, when a man who was leading them through the chambers mentioned ‘Fo-Halloo’. According to Mr Moore, there was an Irishman present and he didn’t understand those words at all! No wonder at all!",[3] ny hrooid] ‘through it’ — [trooid] ‘through’ would be expected 
"Geayll shiu rieau Man­ninagh baarlagh erbee oddys ny focklyn “fo-halloo” y ’ockley magh dy chiart? She “foo Halloo-oo” t'ad gra, er yn oyr nagh vel ad toiggal Gaelg. Gyn ourys nagh doiggagh y Yernagh boght ny focklyn “faoi-thalamb” myr t’ad goll y ’ockley magh[4]  ec baarleyr Manninagh!","Did you ever hear any English-speaking Manxman who can pronounce the words ‘fo-halloo’ correctly? ‘Foo Halloo-oo’ they say, because they don’t understand Manx. No wonder the poor Irishman  wouldn’t understand the words ‘faoi-thalamb’ as they are pronounced by an English-speaking Manx person!",[4] goll y ’ockley magh] goll er fockley magh
EAIRY VANE,EAIRY VANE,
"Jesarn shoh chaie haink Adrian Mac y Phirgrin lesh shilley orrin ayns Glion Vane as ny s’anmee er yn astyr hooyl Adrian as mee hene seose er ny sleityn cooyl y thie ain choud’s yn chenn voayl-eirinagh “Eairy Vane”, thie ta nish bunnys ny tholtan as yn ollagh beaghey ayn, yn mullagh bunnys lhieggit as ayns boayl feer fadanagh erskyn Boaldyn Sheear ayns Skeerey Braddan. Dy dooghyssagh she ass Gaelg va shin loayrt ooilley’n traa. Fastyr braew grianagh, cheh, aalin v'ayn as cha dod mee agh smooinaghtyn er yn shenn sleih va cliaghtey cummal ec Eairy Vane bleeantyn er' dy henney. Veagh ooilley nyn mea laaoil er ny veaghey ny hrooid Gaelg ny lomarcan, gyn fockle dy Vaarle erbee. S’bastagh eh dy jarroo nagh vel boayl erbee faagit ayns Mannin nish raad oddagh sleih ta foast gynsaghey yn chengey goll lesh shilley er loayreyderyn dooghyssagh raad veagh y blass kiart ry chlashtyn as focklyn ry chlashtyn nagh beagh enney oc er. Ta aigh vie dy jarrro ec ny Yernee as ny Albinee er y fa dy vel lhied ny thieyn ayn ayns ny cheeraghyn ocsyn as Gaelgeyryn dooghyssagh foast cummal ayndoo!","Last Saturday Adrian Pilgrim came to visit us in Glen Vane, and later in the afternoon Adrian and myself walked up on the mountians behind our house as far as the old farming place “Eairy Vane”, a house that is now almost a ruin with the cattle living in it, the roof almost fallen in and in a very lonely place above West Baldwin in Braddan parish. Naturally, we were talking in Manx all the time. It was a fine sunny, hot, beautiful afternoon, and I couldn’t but think about the old people who used to live at Eairy Vane years ago. All their daily lives would be have been lived through Manx alone, without a word of English at all. What a pity it is indeed that there isn’t any place left in the Isle of Man now where people who are yet learning the tongue could visit native speakers where the right accent would be able to be heard and words to be heard that they wouldn’t recognise. The Irish and the Scottish have good luck indeed because there are such houses in their countries and native Gaelic speakers still living in them!",
