Manx,English,Notes
SHENN SKEEAL SON YN CHLOAN VEGGEY. ,AN OLD STORY FOR THE LITTLE ONES. ,
YN GHOAYR GLASS.,THE GRAY GOAT.,
Cheayll meee myr shoh dy row goayr glass ayn.,"I heard, as I am going to tell you, about a gray goat. ",
     As keayrt dy row va goayr glass ayn. ,"     And there once was once a gray goat, ",
V’ee goll un Jeheiney-Chaisht dys y traie dy hymsagh barnee. ,she was going one Good Friday  to the shore to garner shell-fish.,
Ren ee faagail ny three mannanyn veggey glassey as yn guilley-bock ec y thie .,She left the three small gray kids and the little he-goat at home. ,
As dooyrt ee roosyn nagh row ad dy osley yn dorrys da peiagh erbee dys harragh ee thie reesht. ,And she said to them that they were not to open the door to any one until she herself came home again.,
"“As dooyrt ish, “Tra higyms thie ver shiu enn dy re mee hene t’ayn cha leah’s nee shiu fakin my chass stiagh fo bun ny coolley, son bee snaie jiarg as snaie gorrym mysh my chass.”","“And,”says  she, “when I come home, you will know that it is myself that's in as soon as you see my foot under the edge of the door, for there will be a red and a blue thread about my foot.”",
"     Cha row yn ghoayr glass foddey ersooyl magh ass y thie tra haink yn kayt dys y dorrys, as dooyrt eh, “Foshil shoh, foshil shoh, mish dty vummig, mish dty vummig, mish dy vummig.” ","The gray goat has not long gone out of the house when the cat comes to the door, and says he, “Open this, open this, I am thy mother, I am thy mother.”",
"     “Cur dty spaag veg stiagh fo bun ny coolley, as neem’s cur enn ort my t’ou uss my vummig.” dooyrt yn guilley-bock. ","“Put thy little paw in under the edge of the door, and I shall know if thou art my mother,” says the little goat, ",
"     Hug yn kayt e spaag stiagh fo bun ny coolley, as dooyrt yn guilley-bock, ","     The cat puts his little paw in under the edge of the door, and says the little goat, ",
"“Cha nel oo, cha nel oo my vummig: ta snaie jiarg as snaie gorrym mysh spaag veg my vummig hene.” ","“Thou art not, thou art not my mother ; there is a red thread and a blue thread about the little paw of my own mother.”",
"     Cha leah as ren yn kayt clashtyn shen, hie eh roish. ",     As soon as the cat heard this he went away. ,
"     Tammylt beg lurg shen, quoi haink dys y dorrys agh yn coo, as dooyrt eh, “Foshil shoh, foshil shoh, mish dty vummig, mish dty vummig, mish dty vummig.” ","     A little while after that, who comes to the door but the hound, and says he “Open this, open this, I am thy mother, I am thy mother, I am thy mother.” ",
"“Cur dty spaag veg stiagh fo bun ny coolley, as neem’s cur enn ort my t’ou uss my vummig,” dooyrt yn guilley-bock.","“Put thy little paw in under the edge of the door, and I shall know if thou art my mother,” says the little goat.",
"     Çhelleeragh hug yn coo e spaag stiagh fo bun ny coolley, as dooyrt yn guilley-bock, ","     Straightaway the hound puts his paw in under the edge of the door, and says the little goat,",
"“Cha nel oo, cha nel oo my vummig; ta snaie jiarg as snaie gorrym mysh spaag veg my vummig hene.”","“Thou art not, thou art not my mother ; there is a red thread and a blue thread about the little paw of my own mother.”",
"      Cha leah as ren yn coo clashtyn shen, hie eh roish. ",     As soon as the hound heard that he went away. ,
"     Agh cha row yn coo foddey ersooyl tra haink yn shynnagh dys y dorrys, as dooyrt eh, “Foshil shoh, foshil shoh, mish dty vummig, mish dty vummig.” ","     But the hound has not long gone away when the fox comes to the door, and says he “Open this, open this, I am thy mother, I am thy mother, I am thy mother.”",
“Cur dty spaag veg stiagh fo bun ny coolley as neem’s cur enn ort my t’ou uss my vummig.” dooyrt yn guilley-bock. ,"“Put thy little paw in under the edge of the door, and I shall know if thou art my mother,” says the little goat.",
"Çhelleeragh hug yn shynnagh e spaag stiagh fo bun ny coolley, as dooyrt yn guilley-bock, ","     Straightaway the fox puts his paw in under the edge of the door, and says the little goat,",
"“Cha nel oo, cha nel oo my vummig; ta snaie jiarg as snaie gorrym mysh spaag veg my vummig hene.”","“Thou art not, thou art not my mother ; there is a red thread and a blue thread about the little paw of my own mother.”",
"Cha leah as ren yn shynnagh clashtyn shen, hie eh roish, cha skybbylt as yinnagh e chraueyn cur kied da, as cha ren eh fuirraghtyn dys haink eh dys thie yn chabbil.","     As soon as the fox hears that he runs away as swiftly as his bones can go, and he does not stop until he comes to the home of the horse. ",
,,
"Ren eh siyr mooar dy chleiy avns y thorran, as cha ren eh fuirraghtyn dys hooar eh snaie jiarg as snaie gorrym. Chiangle eh ad mygeayrt e spaag as hie eh reesht dys thie ny goayr, as dooyrt eh,  ","He makes haste to dig in the midden, and he does not stop until he gets a red and a blue thread. He ties them about his paw, and he returns again to the house of the goat, and says he, ",
"“Foshil shoh, foshil shoh, mish dty vummig, mish dty vummig.” ","“Open this, open this, I am thy mother, I am thy mother.”",
“Cur dty spaag veg stiagh fo bun ny coolley as neem’s cur enn ort my t’ou uss my vummig.” dooyrt yn guilley-bock. ,"“Put thy little paw in under the edge of the door, and I shall know if thou art my mother,” says the little goat.",
"Çhelleeragh hug yn shynnagh e spaag stiagh fo bun ny coolley, as tra honnick yn guilley-bock yn snaie jiarg as snaie gorrym er, dooyrt eh, ","Immediately the fox puts his paw in under the edge of the door, and when the little goat sees the red and the blue thread on him, says he,",
"“T’ou uss, t’ou uss my vummig,” as ren eh fosley yn dorrys da.","“Thou art, thou art my mother.” and he opens the door to him. ",
"Cha leah as hooar yn shynnagh stiagh gow eh greim er ny mannanyn, as hug eh lesh thie marish yn aym nagh voddagh eh gee jeu, as ren eh gra :","     As soon as the fox gets in he lays hold of the kids and takees home with him the portion he does not eat of them, and says he:",
"“Oie vie noght, ","“Good night tonight, ",
