Manx,English,Notes
YN CHAGLYM MANNINAGH,,
,UNIQUE PROGRAMME,
,"     One of the most remarkable gatherings which has ever taken place in this country took place recently (March 27th, 1914) in Douglas. It was the second annual gathering of the Manx Society (Yn Cheshaght Ghailckagh), and was held in “Thie-ee Vac Alister, Straid Victoria.” There were about fifty persons present.",
,     The proceedings commenced with a characteristic repast. The Kaart-Bee (menu) was as follows:-,
Sollaghyn[1]; Arran Curnaght; Arran Corkey; Arran Praase; Arran Oarn; Caashey; Bonnag dy Churranyn; Berreen Rass; Smuir Smeyragh; Binjean; Cooish as Jaagh.,"Sollaghyn; Wheaten Bread, Oatmeal Bread; Potato Bread; Barley Bread; Cheese; Currant Bun; Seed Cake; Blackberry Jam; Curds and Whey; Talk and Smoke.","[1] SOLLAGHYN, s. f. croudy, a kind of pottage made of oatmeal and the water or broth wherein fresh meat had been boiled, and the fat of the broth poured thereon.(Cregeen)."
,"After the repast, which was, of course, heartily enjoyed, the following programme was gone through under the conduct of",
Mainstyr yn Chaglym,The Master of Ceremonies,
," (Mr H. Percy Kelly). Every item was given in the Manx language, and Mr Kelly’s introduction in each case was most apt:-",
"Ordyr yn Giense – “Arrane Ashoonagh dy Vannin,” Ooilley; Goan liorish Mainstyr yn Chaglym; Arrane, “Juan y Jaggad Keeir,” Benainstyr-aeg Vanda Quayle; Arrane-jees, “Ellan Vannin,” Benainstyryn Curleod as Royston; Cooish, Yn Fer-lhee Marshall as Mainstyr Dodd; Cochiaull, “Te Traa Goll Thie,” Ny Paitçhyn; Arrane, “Yn Vannish Vanninagh,” Mainstyr H.P. Kelly; Goan, Mainstyryn J. Moore as Illiam Cowley; Arrane, “Illiam Dhone,” Benainstyr-aeg E. Creen; Toyrtyssyn da ny Paitçhyn, Mainstyr G.F. MacLucas; Arrane “Yn Dhreem Lang,” Mainstyr Illiam y Cubbon;  Arrane-jees, “O Halloo nyn Ghooie,” Benainstyryn Curleod as Royston; Arrane, “Marish ny Fiddleryn,” Mainstyr Juan y Creen; Arrane, “Mannin,” Mainstyr Rickard Lace; Cooish as myr shen liorish yn Cheshaght voish Purt ny Hinshey, Benainstyr S. Mylvoirrey, Benainstyr Corkill, Mainstyr Cashen, Mainstyr J. Moore, as Benainstyr-aeg Callister; Arrane as Carval, Benainstyr-aeg Quirk; Arrane, “Mona Machree,” Mainstyr S. Cubbin; Taggloo, Mainstyryn Juan y Creen, Illiam y Kissage; Arrane ny Keltyn, Ooilley;","Order of the festival — “The National Anthem of the Isle of Man,” All; Words by the Master of Ceremonies; Song; “Juan y Jaggad Keeir’ (‘Juan of the Dark -Coloured Jacket’), Miss Vanda Quayle; Duet; “Ellan Vannin”, Mss Curleod and Royston; Discussion, Doctor Marshall and Mr Dodd; Glee, “Te Traa Goll Thie” (‘It is Going Home Time’), The Children; Song, “Yn Vannish Vanninagh” (‘The Manx Wedding’), Mr. H. P. Kelly; Words, Mr J. Moore as Illiam Cowley; Song, “Illiam Dhone” (‘Brown William’), Ms. E. Kneen; Presents for the Children, Mr G. F. Clucas; Song “Yn Dhreem Land” (Dreem Lang – ‘The Long Ridge’), Mr William Cubbon; Duet; ‘O Halloo nyn Ghooie,” (‘O Land of Our Birth’), Mss. Curleod as Royston; Song “Marish ny Fiddleryn” (‘With the Fiddlers’), Mr Juan Kneen; Song, “Mannin”, Mr Richard Lace; Discussion and then, by the Group from Peel, Ms. S. Morrison, Ms. Corkill, Mr. Cashen, Mr J. Moore, as Miss Callister; Song and Carval, Miss Quirk; Song, “Mona Machree” (‘My Dear Mona’), Mr S. Cubbon; Talk, Mr Juan Kneen, William Kissack; Song of the Celts, All;",
,,
,"     Mrs Corlett’s and Mrs Royston’s duets (arrane-jees) were most pleasing, as were also the songs and the chorus by the children (ny paitchen).",
,"     A pleasing feature was the enthusiastic speech made by Mr G. Fred Clucas, who was on a brief visit from Bristol. He presented, on behalf of the Society, to ten of the children in the Manx class, rewards for their industry and skill in learning the language.",
,"     A party of ten came from Peel with Miss Morrison, and they added considerably to the wealth of conversation in the vernacular. The Peel party included Mrs Corkill, Miss Callister, Miss Crean, Mr Joe Moore, Mr Cæsar Cashen, and Mr Christopher Shimmin, and a little grand-child of Mr Moore’s, aged eight years, who could speak and sing Manx beautifully.",
,"     The speeches of the chairman, and those of Mrs Corkill, Miss Morrison, and the Messrs Cowley, J.J. Kneen (the president of the society), W. Kissack, and J. Moore, were heartily received; while the cooish by Dr Marshall and Mr T. Dodd was most amusing. ",
,The following are some of the contributions given:-,
,THE CHAIRMAN’S SPEECH,
