Manx,English,
"Yn Ollick, 1936.",Christmas 1936.,
"J. J. KNEEN, Esq., M.A.","J. J. KNEEN, Esq., M.A.",
"“Saualtagh[1] Chengey ny Mayrey, Ellan Vannin.” ","“Saviour of the Mother Tongue, of the Isle of Man”",[1] Saualtagh] text gives [Lanaltagh]
"Ostyl ennoil jeh’n shenn ghlare t’ain Ny, rish jeih as da-eed vlein neu-hastagh, neu-ennaghtagh as neu-wooisal, lesh bree meen as dunnallys fegooish soylaghey, t’er n’yannoo mirryl ’sy theihll veg ain, dooshtey seose ny Rip Van Winkleyn jeh ny laghyn ta shaghey, as ny Gradgrindyn seihlltagh jeh’n loa t’ayn jiu, dys ennaghtyn naarey, as cur fys orroo jeh’n yeearree ghooghyssagh jeh’n chree ashoon ain yn aa-hroggal jeh’n chengey ny Mayrey—yn eiraght smoo dy vod ve er ny chymmey da ashoon.","Beloved apostle of our ancient tongue who, through five decades, dark, despondent, drear, with patient zeal and matchless fortitude, has wrought a miracle in our little world — awakening the Rip Van Winkles of the past, and greedy Grodgrinds of the present, to a sense of shame, and a realisation of their neglect of the obvious and natural craving of a nation’s heart — the resuscitation of its Mother Tongue — the greatest heritage that can be bequeathed to a nation.",
,,
     Cre’n boggey sheigin ve ayd nish dy vel oo bio dy akin yn nirryl t’ayn —yn irree seose reesht jeh’n voir ain veih’n oaie!,     What joy must now be thine that thou hast lived to see the miracle — our beloved mother’s return from the grave.,
T’ou uss er ny ve rieau correyder as shinyn ny meayneeyn gerjoillagh.,"Thou hast been the sower, and we the happy gleaners. ",
"     Ta’n rass t’ou er chuirr as foast ta cuirr er tuittym er thalloo mie, as ga nogh vod y fouyr ve ayn foast, ny-yeih ta gialdynys mie jeh slane palchey ayns ny laghyn ry-heet.","     The seed thou sowedst has fallen on goodly ground, and though the harvest is not yet, there is hopeful promise of abudance. ",
     Gollrish Nicodemus ta shin er ve er ny ruggey reesht. ,     Like Nicodemus we have been born again. ,
Cha lhias dhyt ny sodjey dy accan gollrish Elisha ayns yn aasagh harrish yn chooish t’ou caddey. ,"No longer needst thou mourn like Elias in the wilderness, despairing of the cause he championed. ",
"Ta foast, ta mee credjal, ymmodee keeadyn nagh vel er chroymmey yn ghlioon gys “Baarl.” ",There are still many hundreds who have not bowed the knee to “Baal.”,
"Ta’n booise jeh’n pobble ain lhiat’s, son fegooish yn ghlare ain cha row shin er ve ashoon.","The thanks of our nation are thine, for without our tongue we had not been a nation.",
     Nee cloan ny clenney oo y Vannaghey as nee’n ennym ayd er-mayrn soar mie as breeaghys son ymmodee bleeantyn ry-heet.,"     The children of the future will bless thee, and thy name will remain a sweet savour and an inspiration throughout the ages.",
,,
"     Dooinyn ta enney ain ort dy mie, bee oo dy kinjagh — ta mee gra eh lesh ooilley firrynys as ennaghtyn-brooisal— “Noo Ean,” yn ostyl bynney lesh Yeesey.",     To us who know thee well thou’ll always be — I speak it with all sincerity and gratitude — “Noo Ean” (Saint John) — the apostle whom Jesus loved.,
,,
"     Lesh Yeearreeyn Share Son N’ollick, as yn Vlein Noa.",     With best wishes for Christmas and the New Year. ,
,,
"     Mish, lesh firrinys,","     I remain, yours sincerely, ",
FRED MOORE ,FRED MOORE ,
N’ollick. 1936. ,Xmas. 1936. ,
"(Bray Hill, Douglas).","(Bray Hill, Douglas)",
