Manx,English,Notes
COAMREY DEINEY MANNINAGH ,THE MANKSMEN'S CLOTHING ,
"Va'n çhenn choamrey ny deiney va jaggad çheet hug yn shleayst echey (sic), as va'n famman gollan-gheayee roshtyn sheese gheu-chooylloo as crammanyn prash orroo. ","The ancient garb of the men was a jacket coming [down] to his thigh and there was a swallowtail reaching down behind, and brass buttons on. ",
"Va ny breeghyn oc çheet gys ny glioonyn oc, as cramanyn prash erskyn as fo nyn ghlioonyn, as oashyryn asnee as edd mollagh. ","Their breeches were coming to their knees with [lit: and] brass buttons above and below their knees, and ribbed stockings and a soft hat. ",
"Va shen yn coamrey share oc, foddee son Jedoonee; va’n eaddagh dy chooilley laa perree-bane as breeçhyn glioonagh, oashyryn as carraneyn. ","That was their best clothes, perhaps for the Sabbath; the everyday garb was a white perree and kneebreeches, stockings and carranes. ",Note by Paton: [Perree; a short tailless jacket.]
Va meer dy çheh goit dy chiangley ny carraneyn er mullagh yn chass. V’ad cha moyrnagh ass ny carraneyn oc as yn sleih t’ayn nish ass ny braagyn oc.,A bit of the hide was taken to bind the carranes over the top of the foot. They were as proud of their carranes as the folk nowadays of their shoes.,
,[Carrane; a sort of slipper or rough hide sandal.],
COAMREY NY MRAANE ,THE CLOTHING OF THE WOMEN,
"Ve oanrey, jeant jeh lieen as ollan, as beg-goon roshtyn sheese gys ny sleaystyn oc. ","It was a petticoat made of linen and wool, and a bed-gown reaching down to their thighs. ",Note by Paton: [A bed-gown was a short jacket with a broad collar — a day garment not for night wear.]
"Va apyrn kiangley my geayrt yn vean, as quoif vane er ny ching oc.","An apron was bound about the middle, and a white coif on their heads. ",
Ny keayrtyn v’ad ceau edd goll-rish dooinney. ,Sometimes they were wearing a hat like a man. ,
"Va ny mraane ceau carraneyn ayns shenn traaghyn goll-rish ny deiney, as bwoailley arroo lesh soostyn ayns soalt marish ny deiney; as fasney yn arroo lesh dollan, as yn gheay sheidey yn choau ersooyl ass yn arroo. ","The women were wearing carranes in old times, like the men, and threshing corn with flails in a barn with the men, and winnowing the corn with a dollan, [lit; and] the wind blowing the chaff away out of the corn. ",Note by Paton: [Dollan; a round shallow tray with wooden rim and skin bottom.]
Va ny mraane jannoo ymmodee dy obbraghyn elley ayns shenn traaghyn.,The women were doing many other [kinds] of work in old times.,
YN OBBYR OC AYNS NY OIEGHYN GEUREY ,THEIR WORK IN THE WINTER NIGHTS ,
