Manx,English,Notes
THOMAASE MACALLISTER,THOMAS CALLISTER,
Loayreyder Dooghyssagh jeh’n Gailck Vanninagh.,A Native Speaker of Manx Gaelic.,
"     Skeeal elley voish cooinaghtyn nyn garrey Chalse Mooar y Craayne. Ayn nee shiu lhaih mychione loayreyder dooghyssagh elley ny Gailck, hooar baase tammylt liauyr er dy henney. Ta shin ooilley lane kianglt bwooise da Chalse son lhied ny skeeallyn as ta treisht ain dy jig tooilley screeunyn veih’n chlou-screeuder echey.","     Another story from the memories of Big Chalse Craine. In which you will read about another native speaker of Manx, who died a long time ago. We are all grateful to Chalse for such stories and we hope more letters will come from his typewriter.",
     HONNICK mee Thomaase son yn chied cheayrt un oie Jesarn tra va mee ayns sheshaght marish kuse dy chaarjyn ayns Purt ny h-Inshey loayrt ry-cheilley ayns y Ghailck as dobberan dy row agh beggan dy Vanninee faagit as y chenn ghlare oc. Smooinnee shin nagh row fer erbee jeu er-mayrn trooid magh yn Ellan gyn enney ain er.,     I saw Thomas for the first time on Saturday night when I was in the  company of a few friends in Peel talking together in Manx and lamenting that only a very few Manx people were left who knew the old language. We thought that non of them were left throughout the Isalnd that we didn’t know.,
"Kiart ec y traa shen hie shenn ghooinney shaghey shooyl dy aasagh lesh maidjey ayns e laue as bayrn er e chione. Va fasaag er e eddin as dronnan er e ghreeym. Yeeagh mee er lesh yindys as vrie mee, “Quoi shen?”","     Right then, an old man went casually past with a stick in his hand and a cap on his head. He had a beard on his face and a small hump on his back. I looked at him with wonder and I asked “Who’s that?” ",
"“Aw,” dooyrt nane jeh’n cheshaght, “Ta shen Thomaase MacAllister.","“Oh,” said one of the company, That’s Thomas Callister.",
T’eh far-enmyssit Thomaase y Perkin er yn oyr dy row eh ny eeasteyr. Agh bee oo jummal dty hraa ersyn.”,He’s nicknamed Thomas the Porpoise because he was a fisherman. But you’ll be wasting your time on him.”,
 “Cre’n fa? Son ta mee gennaghtyn ayns my chraueyn dy vel ram Gailck echey.” “Foddee dy vel agh cha n’yiarragh eh un ockle rhyt ayns y Ghailck.” ," “Why? Because I feel in my bones that he has a lot of Manx.” “Maybe there is, but he wouldn’t say a single word to you in Manx.”  ",
"“Nee’ms jannoo my chooid share yn nah cheayrt dy vaikyms eh,” dooyrt mee, “son t’eh jeeaghyn dooys dy ve ny ghooinney ghennal dy-liooar.”","“I’ll do my best the next time I see him,” I said, because he seemed to me to be a cheerful enough man.”",
Yn chiaghtyn er-giyn va mee ayns thie oast Corney Kaye (Yn Peveril) raad va shenn gheiney taaghey t’er ve goll dys yn eeastagh ayns nyn aegid. Va kuse veg dy Ghailck ec paart jeu as skeeallyn mie ec feallagh elley myr shen v’eh dy kinjagh feeu dy gholl stiagh dy eaishtagh roo.,"The following week I was in the Corney Kaye pub (The Peveril) where old men were frequenting that have gone fishing in their youth. Some of them had a small amount of Manx, and good stories and others so it was always worth going in to listen to them.",
Cha row mee foddey ayns shen derrey haink Thomaase hene stiagh. Cha row mee rieau er n’akin eh ayns shen roie as haink eh dy hassoo liorym. ,I wasn’t long in there until Thomas himself came in. I had never seen him in there before and he came to stand beside me. ,
