Manx,English,Notes
Noon as Noal'To and Fro',,
DOONAGHT FLIUGH,A WET SUNDAY,
"Va ram sleih ’sy cheeill Jedoonee chaie ec y chirveish Ghaelgagh ayns Skylley Maayl. Laa rastagh, fliaghagh, groamey v’ayn dy jarroo agh haink ny manninee dooie gys y chirveish as v’ee feer speeidelagh.","There were a lot of people in the church last Sunday at the Manx service in Kirk Michael. It was a gusty, rainy, miserable day indeed, but the true Manx came to the service and it was very successful.",
By ghoogh lhieen[1] clashtyn dy daink teaym ennagh er Royston Curleod ayns gleashtan Audrey Ainsworth as dy row Audrey eignit dy chur lesh nyn garrey gys Thie Lheihys ayns Doolish.,"We were sorry to hear that Royston Corlett had a fit (or perhaps ‘heart attack’, or ‘stroke’?) in Audrey Ainsworth’s car and that Audery had to take our friend to a Hospital in Douglas.","[1] By ghoogh lhieen] unattested elsewhere, but evidently intended to mean ‘We were sorry’."
Ta treisht orrin ooilley dy jig reddyn lesh Royston dy tappee as dy jean eh couyral dy gerrid.,We all hope that Royston will manage things quickly and that he will recover shortly.,
"Va cooish feer vie as cappan dy hey erreish da’n chirveish ayns halley ny skeerey as ghow dagh ooilley pheiagh soylley mooar jeh’n ’astyr, gyn y wooise da’n sterrym as fliaghey.","There was a very good ‘cooish’ (social chat) and a cup of tea after the service in the parish hall and everyone greatly enjoyed the afternoon, no thanks to the storm and rain.",
THE THREE FASTEST THINGS IN THE SEA,,
"     Cheayll mee keayrt dy row voish Manninagh dooie y raa beg shoh, mychione ny tree reddyn s’bieauee t’ayn y cheayn. “Gimmagh, Breck as Raun, ny tree reddyn s’bieauee t’ayn.”","I once heard this little saying from a native Manxman, about the three fastest things in the sea. “a Lobster, a Mackerel and a Seal, the three fastest things there are.”",
"Tra, t’ou smooinaghtyn mychione y chooish ta shiu fakin dy row yn shenn sleih slane kiart tra dooyrt ad y lhied.",When you think about the matter you see that the old people were entirely right when they said such a thing.,
"Ta raa elley ayn nagh jeanym dy bragh jarrood. Ny tree reddyn s’feayrey t’ayn, “Ingan gaauin, stroin coiyn as thoyn woirrinagh.” Nod shiu cur Baarle er shen?","There’s another saying I won’t ever forget. The three coldest things there are, “A smith’s anvil, a hound’s nose and a female’s bottom.” Can you give the English for that?",
"Ny tree geayghyn s’feayrey t’ayn, “Geay hennui, geay fo’n shiaull as geay trooid towl.” Va ram raghyn myr shen ec yn chenn sleih as by vie lhiam clashtyn tooilley veuesyn my vees yn lheid eu.","The three coldest winds, “a thawing wind, wind under a sail and wind through a hole.” The old people had a lot of sayings like that and I would like to hear more of them if you have such things.",
CARRICK NY KYLLIU,The Calf Fishing Rock,
     Ta’n caslys ain yn shiaghtin shoh ny henn chaslys jeh’n thie soilshey goll y troggal[2] er yn “Chiggin Wooar” myr yiarragh Ned Maddrell.,Our picture this week is an old picture of the lighthouse being built on the “Big ‘Chiggin’” as Ned Maddrell would say.,[2] goll y troggal] goll er troggal
"Va ny blick ooilley er nyn yiarrey, as er nyn goyrt cooidjagh hoshiaght er y Cheiy ayns Purt Le Moirrey, eisht currit veih my cheilley as currit lesh gys y chreg ayns baatyn raad v’ad goll y troggal[3] reesht!","The blocks were all cut, and put together first on the Quay in Port St Mary, then taken apart and brought to the rock in boats where they were being built again!",[3] goll y troggal] goll er troggal
S’croutagh va ny shenn seyir-chlagh.,How cunning the old masons were.,
Ayns ny skeeallyn scruit liorish Ned Beg Hom Ruy t’eh genmys y creg “Yn Chiggin”.,In the stories written by Ned Beg Hom Ruy (Edward Faragher) he calls the rock “The ‘Chiggin’”.,
"Va Ned genmys eh “Creg ny h-Ein”, agh ta’n ennym kiart er “Carrick Ny Kylliu.”","Ned called it “The Rock of the Chicks”, but the correct name of it is “The Sea Rock of the Calf of Man”.",
"Hee shiu y fockle “Kylliu” ayns fockleyr Archie Cregeen, yn gennidagh jeh “Colloo”.","You will see the word “Kylliu” in Archie Cregeen’s dictionary, the genitive of “Colloo”.",
"Myr ta fys eu ooilley, hie yn thie soilshey shoh er aile kuse dy vleeantyn er dy henney as cha nel freilleyderyn erbee ayn nish.","As you all know, this lighthouse caught fire a few years ago and there are no keepers in it now.",
"S’quaagh eh ny laghyn t’ayn jiu dy ’akin, cha nee daa hie soilshey ’syn un voayl, tree er y Cholloo hene as nane er y chreg!",How strange it is these days to see not two lighthouses in the same place — three on the Calf itself and one on the rock!,
"Foastagh, ta baatyn goll shaghey “Yn Chiggin Wooar”, gyn, myr dooyrt Neddy Beg “Sthroogey yn creg”!","Still, there are boats going past “The Big ‘Chiggin’”, without, as Ned Beg said “Stroking the rock”!",
“ARABAGH VECCA”,The Arab of Mecca,
Skeeal elley voish nyn garrey Juan y Comish.,Another story from our friend John Comish.,
