Manx,English,Notes
Banceyr ’Syn Africkey,A Banker in Africa,
"Lurg dou lhaih ny skeealyn ec “Breagagh” mychione yn Africkey, as yn Sambia er lheh, stroo-hene foddee dy beagh suim ec ny lhaihderyn er y traa dobbree mee ayns yn Africkey Shiar, as Yugandey as Keniey er-lheh.","After I read the story by “Breagagh” about Africa, and Zambia in particular, I suppose maybe the readers would be interested in the time I worked in East Africa, and Uganda, and especially Kenya.",
"     Anchasley rish Breagagh, cha row eh orrym dy gholl ersooyl.","     Unlike Breagagh, I didn’t have to go away.",
"Tra va mee my ghuilley aeg, va mee ec scoill ayns Sostyn, er y fa dy row fys ec my ayr nagh beagh obbyr erbee dooys ayns Mannin.","When I was a young boy I was at school in England, because my father knew that there wouldn't be any work for me in the Isle of Man.",
"Er yn oyr shen, va mish as my vraar as my huyraghyn currit ersooyl, as ynsit ry-hoi bea ayns Sostyn as yn Ardreeriaght Ghoal.","For that reason, I and my brother and my sister were sent away, and educated for a life in England and the British Empire.",
" (S’yindyssagh eh dy vel, ny yeih, my vraar as mee-hene nyn n’yees cummal ayns Mannin, as s’mian lesh ’nane jeh my huyraghyn dy heet dy valley myrgeddin marish e dooinney)."," (How wonderful it is that, nevertheless, my brother and myself both live in Mann, and one of my sisters wishes to come home too with her husband).",
"     Lurg[1] scoill, ren mee Shirveish Ashoonagh ayns Armee Goal.","     After school, I did Natioanl Service in the British Army.",[1] Lurg] text; [Lurg da]
"Va mee my hidoor Albinagh, hoshiaght ayns y “Freiceadan Dhu”, ny, ass nyn Gaelg, yn “Arrey Doo”.","I was a Scottish soldier, first in the “Freiceadan Dhu”, or, in our Manx, the “Black Watch”.",
"Ny lurg, haink mee dy ve fer-oik ayns ny Cameronians (she rejiment nagh vel ayn jiu) as maroo hie mee gys Keniey. S’cooin lhiam eh my dy row eh jea.","After, I became an officer in the Cameronians (it is a regiment that does not exist today) and with them I went to Kenya. I remember it as if it were yesterday.",
"     Hie shin ayns sidoor-vaatey[2] voish Bahrein (raad va shin roie) gys Bombay, ’syn Indjey, as eisht hie shin gys Mombasa.","     We went in a troop ship from Bahrein (where we were previously) to Bombay, in India, and then we went to Mombasa.","[2] sidoor-vaatey] from the word order this seems to be a borrowing from Irish, with the evident meaning ‘troop ship’, for which we might expect, in Manx; [baatey sidooragh], or perhaps [lhong sidooragh], or [saagh sidooragh]."
Ta rah yn ynnyd shen foast ayns my stroanyn. ,The pungent stink of that place is still in my nostrils.,
Va mee yn liass-er-oik dy Phoagaght (deputy baggage officer) as orrym va’n currym jeh gleashaghey poagaght yn vatallion voish yn lhong gys yn traen.,I was the deputy baggage officer and I had the duty of moving the battalion’s baggage from the ship to the train.,
As va mooarane jee ayn!,An there was a great deal of it!,
