Manx,English,Notes
COOINAGHTYN ELLEY YUAN Y GELL,MORE OF JOHN GELL’S MEMORIES ,
"VA Mainshter Ned Maddrell yn chied Vanninagh dooie as Gailck echey haink mee ny whaiyl, as va shen ’sy vlein 1938, tra nagh row Ned foddey er jeet thie voish y cheayn.","Mr. Ned Maddrell was the first true Manxman with Manx that I met, and that was in the year 1938, when Ned wasn’t long after come home from the sea.",
"Va mish ny yoarree da gollrish Sostnagh, as cha row monney Gailck aym noadyr, as va’n veggan ayms er ve ynsit ass lioaryn","I was a stranger to him like an Englishman, and I didn’t know much manx either, and the very little I had had been learnt from books. ",
. Hooar mee magh dy leah nagh row blass ny Gailck ayms kiart!,I found out soon that the Manx accent I had wasn’t correct.,
"Aghterbee, va Ned feer foddey-hurransagh marym as fy-yerrey oddysmayd jannoo co-loayrtys beg ’sy Ghailck.","Anyway, Ned was very long-suffering with me and finally we could make a small conversation in Manx.",
"S’cooin lhiam Ned briaght jeem, “Cre voish t’ou?” as “Quoi va’n jishag ayd?”, “Vel mooinjer erbee ayds ayns Purt le Moirrey?”","I remember Ned asking me, “Where are you from?” and “Who was your dad?”, “Do you have any relatives in Port St Mary?”",
" “Ta,” dreggyr mee, “Va W. H. Gell, Purt le Moirrey braar my ayrey as ta Harry Collister, masoonagh, poost rish shuyr my ayrey.”"," “Yes,” I answered, “W. H. Gell, Port St Mary, was my father’s brother and Harry Collister, mason, is married to my father’s sister.”",
Va shen dy liooar! Va mee my Vanninagh! Eisht ghow toshiaght caarjys firrinagh ren tannaghtyn rish shey bleeantyn jeig as feed!,That was enough! I was a Manxman! Then I started a true friendship that remained for thirty-six years!,
"S’cooin lhiam Ned briaght jeem, “Cre’n eash t’ou?”","I remember Ned asking me, “What age are you?”",
"Nish cha dod mee coontey feer vie ayns Gailck ec y traa shen as dreggyr mee, “Ta mee bunnys daeed.”","Now I couldn’t count very well in Manx at that time and I answered, “I am almost forty.”",
" “Daeed?” dooyrt Ned, “Cha nel oo jeeaghyn shen edyr.” ","“Forty?” said Ned, “you don’t look that, at all.” ",
