Manx,English,Notes
"EXPENSIVE RAMSEY? Vel shen ennym yn arrane ta mee er chlashtyn goll mygeayrt er y gherrid “Rhumsaa Gheyr”, she shen ennym yn arrane “Ramsey Town” ayns Gaelg myr ta mee er chlashtyn sleih goaill eh er y gherrid ayns thieyn oast as y lhied!","EXPENSIVE RAMSEY? Is that that the name I have heard going around recently “Rhumsaa Gheyr”  (“Dear Ramsey”), that is the name of the song “Ramsey Town” in Manx as I have heard people taking it recently in pubs and such!",
"Ta fys mie aym dy row ny loayreyderyn jerrinagh jannoo ymmyd jeh baarlaghys jeh’n lhied ’sy Ghaelg oc, agh cha n’egin dooinyn y red keddin ny laghyn t’ayn jiu edyr! ","I well know that the last speakers made use of Anglicisation of the like in their Manx, but we don't have to (do) the same thing these days at all! ",
"Ta fys mie aym dy vel “deyr” ry gheddyn ayns ny shenn hymnyn Gaelgagh, myr sampleyr “Marish nyn garrey deyr”, agh, son shickyrys, nagh beagh eh ny share dy enmys “Ramsey Town”, “Rhumsaa Veein”?","I well know that “deyr” is to be found in old Manx language hymns, as an example “Marish nyn garrey deyr” (“With our dear friend,”) but, surely, wouldn’t it be better to name “Ramsey Town”, “Rhumsaa Veein” (“dear, or darling, Ramsey”)?[1]","[1] The writer’s argument is that [deyr] ([gheyr] in the vocative) is an anglicism and therefore [meein] / [meen] ([veein] / [veen] in the vocative) should be used instead is contentious. The word [deyr] is the Manx cognate of Old Irish [daòr], and its usage in phrases such as [nyn garrey deyr] ‘our dear friend’, [My charrey deyr,] ‘My dear friend’, [My vraar deyr,] ‘My dear brother’, and [My chaarjyn deyr,] ‘My dear friends,’ etc., is well attested, as is ‘Mo chara daòr’ (‘My dear friend’), etc. in Irish. Notice that [deyr] is neither lenited or pluralised when used this way. There does seem to be a subtle difference in usage between [deyr] and [veen], and that might depend on whether the addressee is known and being addressed directly by the speaker as [veen] seems to suggest intimacy or personal acquantance, eg; [Vannin veg veen] ‘Dear Isle of Man’, [my ven veen] ‘my dear wife’, [Boy veen] ‘Dear Boy’, etc."
Ramsey is dear to many Manxmen but surely not all that expensive ?,,
"This is a new column in the “Star” and contributions from our Manx-speaking readers will be very welcome indeed, either in Manx or in English (if you feel that your Manx is still a bit inadequate). ",,
"By vie lhiam geddyn screeuyn, skeeallyn, raghyn, shennaghys, beeal-arrish ny red erbee bailliu.","I would like to receive letters, stories, phrases, history, oral-tradition or anything you would like.",
"Naightyn erbee mychione reddyn ta goll-er ’sy theihll Gaelgagh, cremeydys, caslyssyn jeh reddyn suimoil, sleih, buill, dy jarroo, red erbee dy lhieeney ny barnaghyn ayns y cholloon.","Any news about things that are going on in the Manx language world, criticism, images of interesting things, people places, indeed, anything to fill the gaps in the column.",
"“SERVICES UNRENDERED""",,
"Va shen yn ennym er art beg hie er screeu ayns “Brialtagh Ellan Vannin” er yn gerrid, liorish “Commentator”.","That was the name of a little article in “The Isle of Man Examiner” recently, by “Commentator”.",
"Ta enney aym er ""Commentator"" agh cha bloys dou ginsh yn ennym echey diu, er y fa dy re[2] oltey Tynvaal eshyn as bare leshyn screeu fo far ennym ’sy Vrialtagh.","I know “Commentator” but I wouldn’t dare tell you his name, because he’s a member of Tynwald and he would prefer to write under a flase name in the Examiner.",[2] er y fa dy re] text gives [er y fa re]
Foddym ginsh diu myr te[3] dy vel eh cheet voish “harrish y Droghad”.,I can tell you though that he comes from “over the Bridge”.,[3] Myr te] [my-ta] ‘though’
