Manx,English,Notes
FESTIVAL INTERCELTIQUE DESCORNEMUSES,FESTIVAL INTERCELTIQUE DESCORNEMUSES,
(Voish nyn screeudeyr er lheh ‘sy Vritaan Veg),(From our special correspondent in Brittany),
"     Va ny Manninee ayns An Orlan rish shiaghtin as va’n sleih feer giastyllagh roo. Ghow ny Manninee arrane ayns Pare Moustolr (magher bluckan coshey) fastyr Jesarn, as ga dy row shin yn possan sloo kionfenish, hooar shin failt mie er bashtal.","     The Manx were in An Orlan for a week and the people were very charitable to them. The Manx sang in Pare Moustolr (a football field) on Saturday afternoon and although we were the smallest group present, we received an excellent welcome.",
"Er dyn y fastyr shen ta shin er chloie kiaulleeaght as er n’ghoaill arrane, ayns Shapp Rallye ayns Fez Nos ec Palais des Congres as ayns ard elley “dans les Quarters” myr yiarragh ny Frangee.","Since that afternoon we have been playing music and have sung, in the Rallye Shop in a Fez Nos at the Palais des Congress and in another areas “dan les Quarters” as the French would say.",
     Moghrey Jerdein hooar shin cuirrey er lheh dys Hotel de Ville as raink Maire de L’Orient nyn quaiyl.,     On Monday morning we received a special invitation the Hotel de Ville and Maire de L’Orient arrived to meet us.,
"Va ny Man­ninee yn un phossan va goaill arrane ayns shen. Va shey follee[1] freaylt voish dagh ooilley ashoon va kionfenish ec y Feailley, myr shen va dagh ooilley fer jeh ny Manninee er nyn guirrey.","The Manx were the same group that were singing there. There were six folk reserved from every nation who were present at the Festival, so everyone of the Manx were invited. ","[1]shey follee] [shey feallagh] ‘six folk’. Elsewhere, [feallagh] is a non-count collective noun, usually meaning ‘ones’, as in [feallagh elley] ‘other ones’. [shey perrsoonyn] would be expected here (although, some speakers, perhaps taking exception to the loanword [persoon], might use [shey dy ’leih]."
Ghow Anne Inney Kissack arrane as dooyrt dagh ooilley pheiagh dy vel coraa yindyssagh eck.,Miss Anne Kissack sang and everyone said that she has a wonderful voice.,
"     Ta paart dy leih goaill yindys tra t’ad clashtyn dy vel yn Ghaelg foast bio er yn Ellan as tra va daa ghooinney voish Doon Ny Gall loayrt ry cheilley faggys dou, ghow ad yindys erskyn towse tra dreggyr mee ad ayns chengey dod ad toiggal.","     Some people are amazed when they hear that Manx is still alive on the Island and when there were two men from Donegal talking together near them, they were exceedingly amazed when I answered them in a tongue they could understand.",
"Ta fograghyn foayssagh ry akin er shiartanse jeh ny boallaghyn ayns shoh, lhied as adsyn ta croghit seose ayns Mannin ec 'Fo Halloo' — “Liberons les otages Bretons” — “Dit Non a Stashooyn Breneenagh.” ","     There are interesting notices (posters) visible on several of the walls here, such as those that are hung up in the Isle of Man by Fo Halloo — “Free the Breton Hostages” — “Say No to Atomic Power Stations.”",
Ta ram jeu ry akin as ta’n chooid smoo jeu clout dy jesh.,There are many of them visible and most of them are well printed.,
"      Ta “graffitti” ry akin myrgeddin mychione cooishyn y lhied as freayll ny h-awinyn glen, as yn aarkey glen neesht.","     There is also “graffitti” to be seen concerning subjects such as keeping the rivers clean, and the ocean clean too.",
Cha nel boirey erbee er ve ayn er lhimmey jeh cooish beg eddyr ny Yernee as paart dy hidooryn bolvaneagh Albinagh.,There hasn’t been any trouble except for a small matter between the Irish and some stupid Scottish soldiers.,
Cha ren ad jeeyl ferbee[2] er yn oyr nagh row ny Yernee shirrey boirey er chor erbee. Dooyrt fer jeu rhym —,"They didn’t harm anyone, for the reason that the Irish weren’t asking for trouble in any way. On of them said to me —",[2] ferbee] — fer erbee
"     “We are here for the Inter-celtic festival and friendship, they think they are still on guard in the Falls Road.” ","     “We are here for the Inter-celtic festival and friendship, they think they are still on guard in the Falls Road.” ",
(Colin Y Jerree).,(Colin Y Jerree).,
     Hooar mee yn caslys shoh heese voish nyn garrey Juan y Geill er y chiaghtin.,     I got this picture below from our friend John Gell in the week.,
"Myr ta fys ec y chooid smoo dy lhaihderyn “Noon As Noal,” ta Juan, myr ymmodee Manninee dooie, jeh’n chenn sorch ny Saasilagh eh hene as t’eh er y “Phlan” myr preachoor.","As most readers of “Noon as Noal” know, Juan is himself, as are so many native Manx, of the old sort of Methodist and he is on the ‘Plan’ as a preacher.",
S’himmey sharmane mie ass chengey ny mayrey ta shin er chlashtyn voish Juan y Geill car ny bleeantyn t’er n’gholl shaghey.,How many good sermons in the native tongue we have heard from John Gell during the years gone past.,
"Er hoh ny screeu Juan — “Bentyn da’n Chabbal Saasilagh Purt Le Moirrey bee ymmodee shenn Vanninee treih as trimshagh clashtyn dy vel ee ry chreck er coontey jeh ny cooinaghtyn oc jeh’n chenn Chabbal, chammah mie as sie.”","This is what John wrote — “Concerning Port St Mary Methodist Chapel, many old Manx people will be miserable and sad hearing that it is for sale, on account of their memories of the old Chapel, good as well as bad.",
S'treih lhiams myrgeddin er yn oyr dy vel mee coontey ee dy ve ...[3] ghaa ny tree jeh ny kialteenyn s’aaley ayns y Jiass. ,"I’m sorry too, because I consider it to be (one of) two or three of the most beautiful churchs in the South. ","[3] There appears to be missing words here, the translation assumes those words to be ‘nane jeh’."
"V’ee troggit mysh 1895 as va ghaa ny tree jeh my vooinjer hene gobbragh urree chammah seyir-thie as masoonee, as ren ad ‘job mie’ !","It was built around 1895 and there were a few of my own people working on it both joiners and masons, and they did a good job!",
