Manx,English,Notes
Noon as Noal'To and Fro',,
Skeeal Yuan y Comish (goll er) ,John Comish’s Story (Continuing),
Goll Dys Ny Sleityn,Going to the Mountains,
     “Ersooyl lhiat Chatreeney! Cha nel mee ro aeg er chor erbee! Gow mee mayrt!” dooyrt mish dy cleaynagh.,     “Away with you Catreeney! I’m not too young at all! Take me with you!” I said suggestively.,
"     “Traa ennagh elley, foddee, Eoineen, tra vees oo ny shinney, agh cha nee yn traa shoh,” dooyrt ee, as honnick mee nagh row eh boirey urree mychione y chooish ny s’odjey, as myr shen ren mee geabbey er aght elley —","     “Some other time, maybe, Johnny, when you are older, but not this time,” she said, and I saw she wasn’t concerned about the matter any further, and so I attempted another way —",
"     “Kiart dy liooar, eisht brieym jeh Emily. Hed ish marym, ta fys mie aym,” dooyrt mee, lhiggey orrym dy row corree orryms!","     “Right enough, then I’ll ask Emily. She will go with me, I well know it,” I said, pretending that I was angry!",
"     Va Emily yn shuyr eck ny ben aeg feed vlein d’eash, lieckanyn ruissagh eck as lane dy vree. ","     Emily was her sister, a young woman, twenty years of age, with rosey cheeks and full of energy. ",
"     “Cha jean oo y lhied er chor erbee,” dyllee ee dy gheyre orrym, as va aggle ayns yn coraa eck.","     You won’t do such a thing at all,” she shouted sharply at me, and there was fear in her voice.",
“Cre t’eh nagh jeanym’s?” vrie mee urree dy daaney.,     “What is is I won’t do?” I asked her boldly.,
"     “Brie jeh Emily oo hene!” dreggyr ish, lesh yn aggle nish ayns ny sooillyn eck.","     “Ask Emily yourself!” she answered, with fear now in her eyes.",
"     “Dy jarroo, neeyms!” as mish, “Mannagh jedym mayrt’s,” dooyrt mish ayns coraa creoi.","     “Indeed, I will!” says I, “unless I go with you,” I said in a hard voice.",
     “Eoineen! Ny jean! Cha nel fys erbee ec Emily my-e-chione!” Nish v’ee jannoo aghin hym!,     “Johnny! Don’t! Emily knows nothing about it!” Now she was pleading to me!,
"     “Cred t’eh, nagh vel fys ec Emily er?” vrie mee j’ee.",     “What is it that Emily doesn’t know anything about?” I asked her.,
"     “Mychione goll dys ny sleityn Laa Luanistyn,” dreggyr ish.","     “About going to the mountains on Lammas Day,” she answered.",
     “Foddee dy vel fys eck!” dooyrt mee.,     “Maybe she does know!” I said.,
"     “Cha nel, Eoineen, cha nel, t’ee gollrhyt hene ro aeg! Giall dou Eoineen my ghuilley mie, nagh jir oo fockle erbee rish Emily my-e-chione!”","     “No, Johnny, no, she is, like yourself, too young! Promise me Johnny my good boy, that you won’t say a single word to Emily about it!”",
"     “Oh, kiart dy liooar, eisht. Cha jiryms fockle erbee r’ee myr-e-chione, agh ta mee foast smooinaghtyn dy beagh eh ny share dhyt mish y ghoaill gys y clieau mayrt!” dreggyr mish.","     “Oh, okay, then. I won’t say a single word to her about it, but I still think it would be better for you to take me to mountain with you!” I answered.",
"     “Eoineen, cha n’oddym! Ta mee hannah er my yialdyn! Mannagh row mee, gowin’s uss marym Eoineen, er yn oyr dy vel oo dty ghuilley bwaagh stoamey aalin dy jarroo!”","     “Johnny, I can’t! I am already promised! If I wasn’t, I would take you with me Johnny, because you are a handsome, fine-looking boy indeed!”",
"V’ee mongey orrym reesht, fakin dy row mish er lhiggey’n raad j’ee as erreish dou gialdyn nagh yiarrin veg rish e shuyr Emily mychione y chooish, as myr shen daag mee ish, caarjyn feer choardit ny n’yees[1].","She was smiling at me again, seeing that I had let her go and after I had promised that I wouldn’t say anything to her sister Emily about the matter, and so I left her, both of us very good friends.",[1] ny n’yees] — ny-neesht — both.
"     Fakin dy row foast kuse dy laghyn roish Laa Luanistyn, ren mee eabbey ny s’diuney dy chosney fys smoo mychione y chooish, as tra va mee cur shilley er my chionneyderyn arran va mee lhiggey tuittym fockle ny ghaa my-e-chione.","     Seeing that there were still a few days before Lammas Day, I made a deeper effort to find more out about the matter, and when I was visiting my bread customers I was dropping a word or two about it.",
