Manx,English,Notes,,,
ER HOH ayrn jees jeh skeeal Harry Kelly liorish Markys Braide. ,Here is part two of Harry Kelly’s story by Mark Braide. ,,,,
Ta sleih hannah er n’insh dou dy ghow ad soylley mooar ass y chied ayrn yn shiaghtin shoh chaie.,People have already told me that they greatly enjoyed the first part last week.,,,,
"Va Juan y Geill er y chellvane moghrey shiaghtin Jeheiney shoh chaie, as dinsh eh dou dy vel eh er chee gaarlaghey skeealyn elley mychione yn shenn sleih nagh bione dooinyn ta ny saa.","John Gell was on the telephone on Friday morning last week, and he told me that he was about to prepare more stories about the old people who weren’t known to us who are younger.",,,,
"Myr screeu Markys, she’n currym ain dy chur magh ayns clou ooilley ta ry-gheddyn mychione ny shenn ayraghyn ain, hymnee dooin yn cliejeen shen erskyn leagh, chengey ny mayrey Ellan Vannin.","As Mark wrote, it is our duty to publish in print all that is available concerning our ancestors to whom we will dedicate that priceless jewel, the mother tongue of the Isle of Man.",,,,
Ta traa dy liooar ayn dy chlou skeealyn jeianagh as skeealyn joarree ny s’anmee tra vees recoyrtys jeant ain jeh ny cooinaghtyn ocsyn ghow toshiaght dy hauail nyn ghlare.,There is enough time to print modern stories and foreign stories later when our record is made of the memories of those who started to save our language.,,,,
"Screeu yn Olloo Robert Mac Comysh, “She ny goan scruit ta tannaghtyn,” as she’n irriney v’echey.","Professor Robert Thomson wrote, “It is the written words that remain,” and that was the truth he had.",,,,
HARRY KELLY,HARRY KELLY,,,,
(goll er),(continuing),,,,
Ren eh gearey choud as v’eh jeeaghyn cour[1] y tholtan.,He smiled and he was looking towards the ruined house.,"[1] cour] [lesh], rather than [cour] is used elsewhere for ‘towards’.",,,
"     “Vel oo fakin y shenn ghooinney ayns shen? Ta Gaelg flaaoil echey,” dooyrt eh.","     “Do you see the old man there? He has fluent Manx,” he said.",,,,
" “T’eh goaill aggle mooar roish joarreeyn, agh trooid[2] marym, as hee mayd, son bee eh red scammyltagh my ta shiu er jeet voish Doolish dy gholl ersooyl dyn clashtyn fockle erbee.” "," “He is very afraid of strangers, but come with me, and we’ll see, because it will be a scandal if you have come from Douglas, to go away without hearing a single word.” ",[2] Trooid] ‘Come’ (imperative) is more commonly used to mean ‘Come (from there to here)’ as in the  the phrase [Trooid stiagh] ‘Come in.’ ‘Come’ in the sense of ‘Come (along with me)’ is more usually [Tar]. ,,,
"Hie shin marish sheese y bayr beg, raad, ec ooirr y bayr, va’n shenn ghooinney croymmit sheese ec[3] niee e laueyn ayns ammair chloaie.","We went with him down the lane, where at the edge of the lane, the old man was bent down washing his hands in a stone channel.",[3] ec] usage here appears to mimic the use of the particle ‘ag’ before a verbal noun in Scottish Gaelic.,,,
"     “Harry”, dooyrt nyn garrey noa, “ta’n dooinney aeg shoh er jeet voish Doolish dy chlashtyn paart dy Gaelg: son shickyr cha jean shiu eh y hyndaa ersooyl mollit.” ","     “Harry,” said our new friend, “this young man has come from Douglas to hear some Manx: surely you won’t turn him away disappointed.”",,,,
"     “Aw,” dooyrt Harry, “cha s’ayms.”","     “Aw,” said Harry, “I don’t know.”",,,,
     Eisht hass eh seose chirrymaghey e laueyn er lhiatteeyn e vreechen as yeeagh eh dy gyere orrym.,Then he stood up drying his hands on the sides of his britches and he looked sharply at me.,,,,
 “Cha nel agh paart dy focklyn ayms — te bunnys ooilley jarroodit ayms. , “I only have some words — I’ve forgotten nearly it all. ,,,,
Er aght erbee shegin dou goll thie dy yannoo aarloo cappan dy hey son Juan as Thobm nish.”,"Anyway, I must go home to get ready a cup of tea for Juan and Tom now.”",,,,
"     “Cum ort Harry,” dooyrt nyn garrey, “Cre’n driss t’ort? Abbyr red ennagh ta mee guee orts rish y dooinney aeg.”","     “Hold on Harry,” said our friend, “what’s your hurry? Say something I pray of you to the young man.”",,,,
"     Duirree Harry as dooyrt eh, “As ta shiu er jeet voish Doolish ghooinney aeg? Oh m’arrane[4] — ta shen raad liauyr — agh c’red t’ou laccal clashtyn?” ",     Harry waited and he said “And you have come from Douglas young man? Oh my song — that is a long way — but what do you want to hear?”,"[4] Oh m’arrane] ‘Oh my song’ — seems to be used here as English ‘Oh My Word!’, elsewhere unattested.",,,
"     “Red erbee, sailliu,” dooyrt mish.","     “Anything you please,” I said.",,,,
"     “Eaisht jee eisht,” dooyrt eh, as loayr eh Padjer y Chiarn ’sy Ghaelg. ","     “Listen then,” he said, and he spoke the Lord’s Prayer in Manx. ",,,,
Cre cha yindyssagh va[5] dy chlashyn yn Ghaelg firrinagh son y chied cheayrt.,How wonderful (it) was to hear real Manx for the first time.,[5] va] evidently a misprint for [ve] / [v’eh].,,,
Ren mee cur booise da as dooyrt mee rish b’laik lhiam cheet er ash laa elley dy chlashtyn tooilley Gaelg.,I thanked him and I said to him I would like to come back another day to hear more Manx.,,,,
