Manx,English,Notes
SHIAGHTIN Jemayrt shoh chaie doanluck shin shenn carrey ny Gaelgey ’sy rhuillick ec Skyll Vraddan. ,On Tuesday last week we buried an old friend of Manx in the graveyard at Braddan Church.,
"She Illiam y Kaye va’n ennym echey, braar mayrey da my ven.","His name was William Kaye, an uncle on her mother’s side to my wife.",
Ga nagh row eh ny Ghaelgeyr hene[1] cha beagh y fockleyr ayms cheet magh er chor erbee agh son y obbyr yeidagh ren Illiam er ny kaartyn ayms car shey bleeaney tra va shin baghey ayns Purt Chiarn.,"Although he wasn’t an actual Manx speaker, my dictionary wouldn’t be coming out at all if not for the dilligent work William did on my cards for six years when we were living in Port Erin.",[1] ny Ghaelgeyr hene] text; [ny Gaelgeyr hene]
"Ren eh screeu magh lesh e laue hene ny smoo na 70,000 kartyn beggey as focklyn Gaelgagh orroo, geiyrt er pabyryn as noteyn va mish cliaghtey cur da, dy jarroo v’eh screeu lettyr er lettyr, cha nee fockle er fockle, er y fa nagh row chengey ny mayrey ain echeysyn.","He wrote out by his own hand more than 70,000 little cards with Manx words on them, following papers and notes I used to give him, indeed, he was writing letter after letter, not word after word, because he didn’t know our mother tongue (of the Isle of Man).",
"Hooar eh baase ayns Thie Lheeys Rhumsaa er y wheiggoo laa as feed Mee ny Boaldyn, yn laa roish yn nah laa ruggyree as kiare feed echey.","He died in Ramsey Hospital on the twenty-fifth of May, the day before his eighty-second birthday.",
Cheau Illiam y Kaye y chooid smoo jeh’n vea echey ayns Yn Africkey Veanagh agh v’eh ny Vanninagh dooie[2] nagh ren rieau coayl e vlass dooghyssagh.,"William spent most of his life in Central Africa, but he was a true Manxman who never lost his native accent.",[2] ny Vanninagh dooie] tex; [ny Manninagh dooie]
Va ny shenn ayraghyn echey voish Glion Meay as va Illiam y Kaye y Toshiagh Joarree Glan Faba yn shenn’er echey.,"His ancestors were from Glen Maye and William Kaye, Coroner of Glenfaba",
Ayns y thie ta screeuyn ayms jeant ec yn chenn Toshiagh Joaree ass yn Gaelg son y “Slattys Son Ynsagh Mie” laue-scruit echeysyn cour Laa Tinvaal 1872.,In the house I have letters produced by the old Coroner in Manx for the “Good Education Act” had written by him for Tynwald Day 1872.,
Ayns ny laghyn shen v’eh yn currym echeysyn dy ockley magh ny slattyssyn ayns Gaelg er Cronk Keeil Eoin.,In those days it was his duty to pronounce the acts in Manx on Tynwald Hill.,
Ayns ny laghyn shen cha row “Lhaihder” ayn agh yn Toshiagh Joarree Glan Faba as va shen y churrym echeysyn gyn arganeys erbee!,In those days there wasn’t a ‘Lhaihder’ (‘Reader’) but the Coroner of Glenfaba and that was his duty without any argument!,
     Tra hie mee da’n Africkey veanagh ’sy vlein 1956 hooar mee staartey ’sy cholught cheddin as “Naim Illiam” as va shin feer choardit.,     When I went to Central Africa in the year 1956 I got a job in the same company as “Uncle William” and we got on very well.,
"V’eh ny Vanninagh dooie, onnoragh as gennal as t’eh toilliu shoh dy reayll eh ayns cooinaghtyn.","He was a true Manxman, honourable and cheerful and he deserves this to memorialize him.",
     Ta colught-clou “Brialtagh Ellan Vannin” er chee clou yn daa lioar scruit ec Juan y Geill “Cooinaghtyn M’Aegid” as “Cooinaghtyn Elley”.,"     A printing company “The Isle of Man Examiner”, is about to print two books written by John Gell; “Memories of My Youth” and “Other Memories”.",
"Bee ad goll er clou liorish Robbie Mac y Fee yn dooinney mooinjerey aym pene ayns shoh, eshyn ta clou “Noon as Noal” gagh hiaghtin.[3]","They will be being printed by Robbie Macfee, my own relative here, he who prints “Noon as Noal” every week. ",[3] gagh shiaghtin] text; [gagh hiaghtin]
Cha nel Gaelg ec Robbie agh t’eh gynsaghey ee dy tappee.,Robbie doesn’t know Manx but he is learning it quickly.,
Bee’m lhaih ny prowallyssyn ass lieh y cholught ain.,I’ll be reading the proofs on behalf of our company.,
Ta lioaryn Yuan feer vie dy jarroo as ta mee shickyr dy jean ny Manninee kionnaghey ad dy h-arryltagh.,John’s books are very good indeed and I am sure the Manx people will buy them willingly.,
     Kegeesh er dy henney hug mee yn fockleyr Baarle-Gaelg aym fo churrymyn Ean Faulds as nish t’eh shirrey er yn leagh s’inshley ayns Mannin as ayns Sostyn son dy chur magh y fockleyr.,     A fortnight ago I put my English-Manx dictionary under the care of Ean Faulds and now he is looking for the lowest price in the Isle of Man and in England to publish the dictionary.,
By vie lhiam fakin eh cheet magh ’sy vlein shoh cheet dy chowraghey thousane blein Tinvaal.,I would like to see it coming out next year to mark a the Tynwald Millenium.,
Loayr mee rish Chalse Balley Fayle tammylt er dy henney as er lhiam pene dy jig cooney argidoil ennagh voish Tinvaal.,I spoke to Chalse Balley Fayle (Charles Kerruish) a while ago and I myself think that financial assistance will come from Tynwald.,
     Ta ymmodee Manninee er ghra rhym er y gherrid dy beagh eh mie dy chosney magh ass Mannin da’n Cholloo er y laa mooar ’sy vee shoh tra vees ooilley Mannin jannoo feaillys mooar jeh’n vlein-feayslee ny ben rein oc!,     Many Manx people have told me recently that it would be a good to get out of Mann for the Calf of Mann on the big day this month when all of Mann will be ‘making a big festivity of’ (celebrating) the jubilee year of the their queen!,
Cre ta shiuish coontey jeh’n eie shen? ,What do you you think of that idea?,
"Oddagh shin goll da’n Cholloo marish Davie Quillin ’sy vaatey echey, raad veagh shee as fastee ayn, bingys ny hushagyn as aalid feie ooilley mygeayrt y mooin, gyn cowrey erbee jeh’n feaillys mooar vees goll er cummal ayns Mannin hene, chenjeinyn as bratteeyn as ‘muggyn’ as crooinyn argid goll er chur da ny paitchyn!","We could go to the Calf with Davie Quillin in his boat, where there would be peace and quiet, the music of the birds and wild beauty around us, with no sign at all of the great festivity that will be going on in Mann itself, fireworks and bunting and mugs and silver crowns being put on the children!",
Ta enney aym er un Vanninagh vees ersooyl ayns Nerin son yn laa!,I know one Manx person who will be away in Ireland for the day!,
"     Yn shiaghtin shoh cheet bee skeeal ayns “Noon as Noal” voish nyn garrey Juan y Cowle mychione e henn haner Thomaase Y Chreesteen, far-enmyssit “Yn Cairteyr”, ’nane jeh ny Gaelgeyryn s’jerree ayns Rhimsaa.","     This coming week there will be a story in “Noon as Noal” from our friend James ‘Freddie’ Cowle about his great grandfather Thomas Christian, nick-named “The Carter”, one of the last Manx speakers in Ramsey.",
Ta mee er chlashtyn Illiam y Radlagh gimraa yn shenn dooinney agh cha veeit mee hene rishyn edyr.,I have heard Bill Radcliffe mention the old man but I myself didn’t meet him at all.,
Cha n’yrrys dy vel graih ec Jamys er y Ghaelg as lheid y shennayr echeysyn.,No wonder James loves Manx having such an ancestor. ,
"Nagh screeu Cregeen, “My ta keim ’sy laair bee keim ’sy lhiy?”","Didn’t Cregeen write, “If there’s an amble in the mare there’ll be an amble in the foal”?",
Son y shiaghtin shoh ta “Noon as Noal” ny smoo gollrish colloo na t’eh er ve rish tammylt lesh lhied ny skeeallyn haink hym voish nyn gaarjyn dy chur stiagh ayn.,For this week “Noon as Noal” is more like a column than it has been for a while with such stories that came to me from our friends to put in it.,
"     Va mee shooyl ayns Boaldyn er y chiaghtin as fastyr aalin v’ayn dy jarroo as ny eeanlee goaill arrane, ny heayin cloie mygeayrt y mysh nyn voiraghyn as ny sumarkyn my vlaa as ny biljyn as thammagyn gobbey cour y touree.","     I was walking in Baldwin in the week and it was a beautiful afternoon indeed with the birds singing, the lambs playing around about their mothers and the primroses in bloom and the trees and bushes budding for the summer.",
T’eh dy kinjagh cur yn drogh orrym dy chlashtyn sleih genmys y boayl yindyssagh shen “Baldwin”!,It always upsets me to hear people call that wonderful place “Baldwin”!,
Nagh vel eh scammyltagh yn aght ta ny joarreeyn er chaghlaa bunnys ooilley ny henmyn-buill ayns Mannin gys cummey Baarlagh er y fa nagh dod ad geddyn nyn jengaghyn mysh ny focklyn aalin Gaelgagh ain?,Isn’t it scandalous the way that the foreigners have changed almost all the placenames in Mann to an English form because they can’t their tongues around our beautiful Manx words?,
"Cha geayll mee rieau my warree genmys yn boayl shen red erbee agh “Boaldyn” as eer ec y traa shen as mish feer aeg, gyn fockle dy Gaelg ayns my veeal, v’eh sheean dy kiart as cairagh dou dy ghra “Boaldyn” ayns ymmyd jeh’n fockle graney elley shen, ennym-persoonagh Sostynagh!","I never heard my granny ever call that place anything but “Boaldyn” and even at that time when I was very young, without a word of Manx in my mouth, it was a correct and fair sound to me to say “Boaldyn” instead of that other ugly word, an English personal name.",
     Dy hyndaa yn fockle “For” ayns Gaelg — she obbyr ghoillee ee! ,     To translate the word “For” into Manx — it is a difficult job! ,
Ta mish as shiuish ooilley ta lhaih y colloo shoh jannoo marranyn mooarey tra ta shin screeu ny gra “for”. ,I and all all you who read this column make big errors when we write or say “for”. ,
Er hoh diu sampleyryn ass my ’ockleyr as ta mee shickyr dy jean ad cooney lhieu dy chur Gaelg er “for”.,Here are examples for you out of my dictionary and I am sure they will help you to give the Manx for “for”.,
T’eh aashagh da cheet.,It is easy for him to come.,
Er my hon (Son aym). ,For me.,
She dauesyn ren mee eh. ,It is for them I did it.,
Ta mee er dashtey (seose) argid cour laa fliaghee. ,I have saved up money for a rainy day.,
Rish tammylt beg. ,For a short while.,
Haink eh geearree arran. ,He came for bread.,
Hirr eh orrym eh.,He asked me for it. ,
Skynn chum giarrey arran. ,A knife for cutting bread.,
Eayl ry-hoi lostey. ,Lime for burning.,
Oltey Sheadin Rushen. ,The Member for Rushen.,
Va fritlag er myr lheiney. ,He wore a rag for a shirt. ,
Quoi ta lhiams? ,Who is for me? ,
Cre’n fa?,What for? ,
Ry-chreck. ,For sale.,
Ta slat ayns moon da! ,He’s for it!,
Goll lesh Sostyn. ,Bound for England.,
The trains for Dublin.,Ny traenyn dys Divlyn. ,
Bee eh ersooyl rish blein elley. ,He will be away for another year. ,
Shoh huggey! ,Now for it! ,
Fockle er (f)ockle. ,Word for word.,
Beeym ayns shen car bleeaney. ,I will be there for a year. ,
Ny chour. ,For him. ,
Nyn gour. ,For us. ,
Fuirree orrym. ,Wait for me. ,
Car y geuree. ,For the winter. ,
