Manx,English,Notes
Yarrood mee dy chur ennym Yuan y Geill fo’n skeeal beg mychione Bnr. Cubbon Jesarn shoh chaie.,I forgot to put John Gell’s name under the little story about Mrs Cubbon last Saturday.,
B’leshyn y skeeal as er hoh tooilley fys diu er yn shenn sleih yn shiaghtin shoh voish nyn garrey Juan reesht.,The story was by him and here is more information for you about the old people this week from our friend John again.,
"Ta mee er chlashtyn sleih gra nagh vel ad laccal rour dy skeeallyn mychione y shenn sleih as myrgeddin nagh vel ad laccal monney skeeallyn ass ny cheeraghyn Gaelgagh elley dy ve ry-akin ayns “Noon as Noal” agh myr screeu mee roie, nish yn caa oc shid dy screeu red ennagh ad hene as beeym feer wooiagh dy chur magh ayns clou yn screeuyn oc!","I have heard people say that they don’t want too many stories about the old people and also that they don’t want stories from the other Celtic countries to appear in “Noon as Noal”, but as I wrote before, now is their chance to write something themselves and I will be very pleased to publish their letters in print!",
Er my hon hene ta lettyraght (literature) ny cheeraghyn Gaelgagh elley yn lettyraght ain hene myrgeddin. Nagh vel shin ooilley jeh’n un chynney as mooinjerys eddyr ain as y ghlare cheddin ain?,"In my opinion, literature of the other Celtic countries is our literature too. Aren’t we all from the same kin with a relationship between us and our common language?",
Johnnie Cubbon,Johnnie Cubbon,
Foddee dy vaik shiu caslys ayns y colloo “Noon as Noal” jeh Ned Maddrell marish “An Taoiseach” Eamon De Valera ec thie Harry Kelly ec Creneash?,Maybe you saw a picture in the column “Noon as Noal” of Ned Maddrell with “An Taoiseach” Eamon De Valera at Harry Kelly’s house at Cregneash?,
"B’leayr da De Valera dy row y Ghailck ghooghyssagh Vannin geddyn baase, as lhisagh red ennagh ve jeant ’sy chooish.","It was clear to De Valera that the native Manx of the Isle of Man was dying, and that something ought to be done in the matter.",
"Eisht ’sy nah vlein 1948, haink Sean O’Sullivan as Kevin Danahar veih’n “Irish Folklore Com­mission” ayns Divlin, marish van-motor as ooilley ny greienyn aynsyn da yannoo recortyssyn jeh ooilley ny shenn Vanninee ’syn Ellan as Gailck vie oc.","Then in the next year, 1948, Sean O’Sullivan and Kevin Danahar came from the “Irish Folklore Commission” in Dublin, with a van and all the equipment in it to make recordings of the old Manx people in the Island with good Manx.",
"Va Sean as Kevin goaill aaght ec y thie ain ec Port le Moirrey as lurg va’n obbyr jeant, dooyrt ad rhym, “Vel oo shickyr nish nagh vel peiagh erbee elley?”","Sean and Kevin were lodging at our house at Port St Mary and after the work was done, they said to me, “Are you sure now that there isn’t anyone else?”",
"     Dreggyr mee, “Well, ta dooinney ayns Balley Beg as Gailck dy liooar echey, agh cha jean eh loayrt ee.","I answered, “Well, there’s a man in Balley Beg and he knows plenty of Manx, but he won’t speak it.",
