Manx,English,Notes
     “Cha nel ny chiarnyn gobbragh chioee?” dreggyr mish.,     “The lords never work?” I answered.,
“As cre ta shoh ta mee jannoo nish mannagh nee obbyr ee?”,“And what is this I am doing now if it isn’t work?”,
"      “Ta, she obbyr ee, as obbyr chreoi neesht,” as eshyn dy moal.","     “Yes, it is work, and hard work too,” he says slowly.",
"     “As mannagh vel ny ‘tuanyn’ gobbragh eisht, ass cre’n voayl t’adsyn cheet ta jannoo yn obbyr daue?","“And if the ‘tuans’ don’t work then, from where do those come that do the work for them?",
"Vel ad nyn gheiney doo ass yn Africkey, ny ‘cooleeyn’ ass Yn Sheen, ny foddee, vel ad cheet ass Yn Java hene?” dooyrt mish dy chorree.","Are they black men from Affrica, or ‘coolies’ from China, or perhaps, do they come from Java itself?” I said angrily.",
"     “Cha nel, Cha nel! Ta fys mie aym nagh nee shen myr t’eh!” dooyrt y flah beg.","     “No, no!” I know well that it isn’t like that!” said the little prince.",
"     Fakin dy row lane thanvaanys ersyn kyndagh rish shen v’eh er chlashtyn as er n’akin, dooyrt mee;","     Seeing that he was absolutely astonished because of what he had heard and seen, I said;",
"“Myr ta mee hene fakin, ta bun yn ’ockle shen ‘tuan’ sy Vaarle ‘lord’.","“As I myself see, the meaning of that word ‘tuan’ in English is ‘lord’.",
"Nee shen myr t’eh eisht, ny dyn ’sy ghlare ayds?”","Is that how it is then or not, in your language?”",
     “She” as eshyn.,     “Yes” he said.,
"     “Nish,” dooyrt mee, “Ayns cre’n aght ta shiuish jannoo ymmyd jeh tra ta shiu loayrt rish deiney baney — nee myr ‘mister’, ny ‘sir’ ny ‘lord’ eh?”","     “Now,” I said, “In what way are you using it when you speak to white men— is it like ‘mister’, or ‘sir’, or ‘lord’?”",
"     “She myr ‘lord’ ta shin jannoo ymmyd jeh.” as eshyn. “Ta shen dy ghra, dooinney berchagh, ny shellooder hallooin mooar, beaghey ayns thie stoamey, as ram argid echey.”","     “It is like ‘lord’ that we use it.” He said. “That is to say, a rich man, or great landowner, living in a grand house, and having a lot of money.”",
Loayr y flah roishyn as dooyrt eh: “Cha nel mee[1] toiggal y chooish shoh dy mie edyr.,The prince spoke on and he said: “I don’t understand this subject well at all.,[1] mee] text gives [me]
"Ta ram Nederlandee as deiney baney elley cheet gys y cheer ain hene as ta shin genmys ad ooilley ‘tuan’, agh cha nel mee toiggal shen nish, cha nel mee toiggal cre’n fa ta shin genmys ad ‘chiarn’ sy ghlare ain.","A lot of Netherlanders and other white men come to our own country and we call them all ‘lords’, but I don’t understand that now, I don’t understand why we call them ‘lord’ in our language.",
Er dyn y laa dy daag mee thie my ayrey ta mee er n’akin ymmodee fir vaney gobbragh dy chreoi gollrish ‘cooleenyn’ er lhongyn Sostynagh as nish cha nel mee credjal dy vel ad ooilley nyn jiarnyn edyr!”,Since the day I left my father’s house I have seen many white fellows working hard like ‘coolies’ on English ships and now I don’t believe that they are all lords at all!,
     Va e choraa chionn as feayr reesht myr dreggyr eh mee:,     His voice was rapid and cold again as he answered me:,
"“Derrey yn traa daag mee thie my ayrey, she myr shen va mee smooinaghtyn as credjal, agh tra higym er ash voish Mecca cha bee adsyn ’sy lught-thie aym smooinaghtyn er yn aght cheddin rish foddey — verrym my ’ockle dhyts er shen!”","“Until the time I left my father’s home, that is thinking and beleiving like that, but when I come back from Mecca those in my family won’t be thinking in the same way for long — I’ll give my word on that!”",
     Cha dod y “Flah” smooinaghtyn er veg agh er y chooish shen rish ooilley’n jurnaa ain gys Jeddah.,     The “Prince” couldn’t think about anything but that subject for all our journey to Jeddah.,
Yn laa daag eh y baatey ain dy gholl roish gys Mecca dooyrt eh rhym: “Lhisagh my vooinjer hene er n’akin eh tammylt liauyr er dy henney!,The day he left our boat to go on to Meccah he said to me: “My own people ought to have seen it a long while ago!,
 Cha nel ny fir vaney nyn yeeaghyn er chor erbee! T’ad nyn gheiney gollrooin hene., The white fellows aren’t gods in any way! They are men like ourselves.,
T’eh er ve roish ny sooillyn oc rish bleeantyn agh cha naik ad eh!”,It has been before their eyes for years but they never saw it!”,
     Va mee[2] ayns Jeddah reesht ayn mean Fouyir ’sy vlein 1909 as va’n cheshaght-crauee va shin er n’ghoaill ass Yn Java goll dys y thalloo ayns baatyn beggey.,     I was in Jeddah again in September in the year 1909 and the religious group we had taken from Java were going to the land in little boats.,[2] mee] text gives [me].
"Va mish hene throng dy liooar as cha dug mee monney geill daue ec y traa shen, ny da ny deiney Arabagh ass Jeddah hene va shooyl ayns shoh as ayns shen mygeayrt y lhong ain.","I myself was pretty busy and I didn’t pay much attention to them at that time, or to the Arab men from Jeddah itself who were walking here and there around our ship.",
"Shen myr v’eh eisht tra cheayll mee coraa taitnyssagh voish fer ennagh doo, briaght jeem, “Kanys ta shiu?”","That is how it was then when I heard a delightful voice from some black fellow, asking me “How are you?”",
"     Hrog mee my chione as honnick mee dooinney aeg, mysh yn eash aym pene, ny hassoo kiongoyrt rhym.","     I lifted my head and I saw a young man, about my age, standing before me.",
"Ny ghooinney ‘gorrym’ v’eh (negro), rooisht dy slane er lhimmey jeh eaddagh bane runt mygeayrt ny lheshyn echey.","He was a black man, completely naked except for white cloth round about his hips.",
"V’eh jeh mean-ardjid[3], troggit dy cheyl, agh v’eh baghtal dy liooar dy row eh feer lajer as thoallee.","He was of medium height, raised slenderly, but it was obvious enough that he was very strong and sturdy.  ",[3] mean-ardjid] [mean-yrjid]
Va’n oaie echey taitnyssagh as mong eddrym er.,His face was delightful and had a light grin.,
"Lhean y mong tra dooyrt mee rish ’syn Arabish “Moghrey mie dhyt hene wooinney, kys t’ou laa jiu?”","The grin widened when I said to him in Arabic “Good morning to yourself, man, how are you today?”",
"     “Lane vie, gura mie ayd,” dreggyr eshyn ’sy vaarle.","     “Very well, thank you,” he answered in English.",
