Manx,English,Notes
Peddyr Mac Craayne yn kied oltey Vec Vannin ’sy reiltys. Niart da’n roih echey!,Picture caption: Peter Craine the first Mec Vannin member in the government. Power to his arm! ,
"As nish er ash da Chengey ny Mayrey, yn red smoo ennoil[1] dooin ooilley, red foddey ny share na politckaght erbee.","And now back to the native tongue, the most beloved thing for us all, a far better thing that any politics.",[1] smoo ennoil]  [s’ennoil]
"As Dr. Douglas Hyde, First President of Ireland and founder of the Gaelic League said, “Political freedom can be won and lost and won again, but a language once lost is lost forever.” ","As Dr. Douglas Hyde, First President of Ireland and founder of the Gaelic League said, “Political freedom can be won and lost and won again, but a language once lost is lost forever.” ",
"Er hoh diu, son y chiaghtin shoh, skeeal elley liorish nyn garrey Juan y Comish, enmyssit:—","Here for you, for this week, is another story by our friend John Comish, called:—",
Manninagh Jeeaghyn My Hiar,A Manxman Looking East,
"TREE laghyn erreish da’n ’eedoo laa ruggyree aym, ayns mee ny Boaldyn, 1907, va mee er my raad gys y Shiar Foddeey myr nah choagerey er y lhong-vree “feddan gorrym” DIOMED[2].","Three days after my twentieth birthday, in the month of May, 1907, I was on my way to the Far East as second cook on the Blue Funnel steamship “DIOMED”.","[2] Diomed] built in 1895 at Greenock, sunk by German submarine U 38 off the Scilly Isles in 1915 en route from Liverpool to Shanghai. "
"Va mee hannah er ve gys yn Egypt as gys y Cheayn Doo rish queig marrinyssyn as va mee skee jeeaghyn er ny h-Egyptee meeyllagh breinn as ny sooillyn doghanit ocsyn, as va mee skee neesht, jeeaghyn er yn anvea as boghtynid, accrys as treihys ayns Yn Roosh — ayns Batoum[3], Poti, Nickolaiev[4] as Odessa, as ayns yn ynnyd s’jerree dy vaik mee, “Ny Greeshyn Fuilltagh”[5] raad va’n “Dunverys Mooar” er  ve jeant ’syn Irree Magh Beg 1905. ","I had already been in Egypt and to the Black Sea for queig voyages and I was tired of looking at the filthy, lousy Egyptians and their diseased eyes, and I was tired too, watching the discord and nonsense, hunger and misery in Russia — in Batoum, Poti, Nickolaiev, and Odessa, and in the last place I saw, “The Bloody Stairs” where the “Great Murder” had been committed in the little uprising in 1905. ","[3] Batoum] Batumi, Georgia.
[4] Nickolaiev] Mykolaiv, Ukraine.
[5] “The Bloody Stairs” — The Primorsky Stairs (aka. The Potemkin Stairs). A stairway of 200 stairs leading from the port to the city of Odesa, Ukraine. During the 1905 Uprising, Tsarist troops fought with mutinous sailors and many civilians died, in a famous scene in the film “The Battleship Potemkin” (1925) civilians are killed by Tsarist troops on these stairs. There was also a violent pogrom in Odesa in 1905. However, Comish may not be referring to historical events as elswhere he uses [fuiltagh] ‘bloody’ as a swear word, and may simply be showing how he felt about climbing the stairs."
"Yn Roosh Chasherick, ny Yn Roosh Anjeeagh, cheer neuvaynrey dy jarroo! Va mee skee neesht jeh yn accrys er y lhong Ellerman va mee er n’aagail, raad, yiarragh ad, oddagh fer glenney yn eddin echey lesh crackan yn volg echey!","Holy Russia, or Atheist Russia, an unhappy land indeed! I was tired too of the hunger on the ship Ellerman that I had left, where, they would say, one could wash one’s face with the skin of his stomach!",
"Va mee jeeaghyn roym dy mooar dys my cheid varrinys my-hiar, er yn oyr dy row mee er lhaih as er chlashtyn mooarane mychione y Niar.[6]","I was greatly looking forward to my first voyage East, because I had read and had heard a lot about the East.","[6] y Niar] Readers familiar with the other Gaelic languages might expect that [y Niar] ought to be used only when something when coming from The East. However, in Manx [yn Niar] is often used as a catch-all term for ‘The East’. "
Va’n coagerey hene er ve shiaulley my-hiar rish queig bleeaney jeig.,The cook himself had been sailing the East for fifteen years.,
