Manx,English,Notes,
Tammylt beg er dy henney va mee ronsaghey ny hrooid[1] shenn “Vrialtee Ellan Vannin” ’sy Thie Tashtee[2] ayns Doolish.,I little while ago I was researching through old “Isle of Man Examiners” in the Manx Museum[3] in Douglas.,"[1] ny hrooid] ‘through it’ – ‘trooid’ (‘through’) would have been expected here.
[2] Thie tashtee] ‘treasury’, ‘repository’, etc. used as a nickname for the Manx Museum, and sometimes given as a straight translation of ‘museum’ from the late twentieth century onwards.
[3] Thie Tashtee] ‘Storehouse’ also the nickname, that became the official Manx name for The Manx Museum.
",
"Va mee shirrey fys mychione oanluckey my henn ayr Evan Crebbin voish Bradda, hooar baase ayns Toshiaght Arree 1933.","I was searching for information about the burial of my grandfather, Evan Crebbin from Bradda, who died in the February 1933.",,
"Hooar mee yn pabyr naight kiart fy yerrey, as ayns shen, cred-jee ny dyn, va ny kione-linnaghyn shoh “MANX LANGUAGE’S LAST GASP!”","I found the right newspaper eventually, and there, believe (it) or not, were these headlines; “MANX LANGUAGE’S LAST GASP!”",,
She skeeal v’ayn mychione Yn Olloo Marstrander cheet gys Creneash dy akin Harry Kelly dy gheddyn fys mychione y Ghailck.,It was a report about Professor Marstrander coming to Cregneash to see Harry Kelly to get information about Manx.,,
Smooinnee bunnys ooilley ny Manninee ec y traa shen nagh row fer erbee ayn as Gailck flaaoil echey.,Almost all the Manx at that time thought there was no one with fluent Manx.,,
Cha row fys ayn dy row Gailck flaaoil ec Ned as Y Gaaue as ooilley’n shenn sleih elley bione da’n cheeloghe aym pene feed vlein ny s’anmee.,"It wasn’t known that Ned and the Gaaue had fluent Manx, and all the other old people known to my own generation twenty years later.",,
"Ec y traa shen, bwooise da Jee, va Manninagh aeg jeidagh ayn as graih echey er chengey ny mayrey, dooinney aeg v’eh as eshyn gobbragh da’n Ard Vaylee Percy Kelly ayns Straid Atholl, Doolish, raad hooar eh Gailck voish yn Ard Vaylee hene, agh erskyn ooilley, voish e charrey Harry Kelly, Creneash.","At that time, thank God, their was a prudent young Manxman who loved the mother-tongue, he was a young man he worked for the High-Bailliff Percy Kelly in Atholl Street, Douglas, where he acquired Manx from the High-Bailliff himself, but above all, from his friend Harry Kelly of Cregneash.",,
"She Markys Braide v’ayn, as ta Markys foast chyndaa ny leihaghyn ayns Gailck cour yn Ard Vriw tra t’ad goll y ’ockley magh er Cronk Keeill Eoin, Laa Tinvaal. ","It was Mark Braide, and Mark still translates the laws into Manx for the Deemster when they are promulgated on Tynwald Hill on Tynwald Day. ",,
"Va enney ny share ec Markys er Harry Kelly na v’ec peiagh erbee elley as ta shin ooilley slane kianglt bwooisal[4] da son y skeeal shoh, as skeeal mie t’eh dy jarroo. Er hoh diu eh, ayns focklyn Varkysh hene.","Mark knew Harry Kelly better that anyone and we are all fully obliged to him for this story, and a good story it is too. Here it is for you, in Mark’s own words.",[4] kianglt bwooise] text gives [kianglt bwooisal],
‘Breagagh’[5] ,‘Breagagh’ ,[5] Breagagh] A nom de plume used by Douglas (Doug) Fargher (aka. Doolish y Karagher).,
12/02/1977,12/02/1977,,
HARRY KELLY,HARRY KELLY,,
"Te er ve feer taitnyssagh dou, as, ta mee shickyr, kiart cha taitnyssagh da studeyryn elley dy lhaih ’sy Rollage Vanninagh ayns yn colloo “Noon as Noal” scruit ec ‘Breagagh’, ny skeealyn mychione ny shenn Vanninee — ny loayreyderyn dooghyssagh jeh’n chenn ghlare.","It has been very enjoyable for me, and, I am sure, just as enjoyable for other students to read in the Manx Star, in the column “Noon as Noal” (“To and Fro”) written by ‘Breagagh’, the stories about the old Manx — the native speakers of the old language.",,
"Dys ny deiney shoh (as mraane neesht) ta shin fo lhiastynys mooar, as nish tra t’ad ooilley chymsit dys ny shennayraghyn ocsyn te agh kiart dooin dy yannoo eab dy hoilshaghey nyn mwooise da’n chooinaghtyn jeu, liorish soaighey sheese recortys jeh ny mraane as deiney shoh. ","To these men (and women too), we are greatly indebted, and now when they are all gathered to their ancesters it is only right for us to make an effort to shoh our gratitude for the memories of them, by setting down a record of these men and women.",,
"Ta Harry Kelly, Cregneash, nane jeh’n cheshaght vannit shoh as huitt eh dys y chronney ayms dy ve ainjyssagh rish.",Harry Kelly of Cregneash is one of this blessed company and it fell to my fate to be acquanted with him.,,
"Er lhiam nagh vel pyagh erbee elley ayn jiu dy voddagh gra, “Ren mee gynsaghey Gaelg voish meillyn Harry Kelly,” as shen y fa te ny lhie orrym dy cur sheese fockle ny ghaa mychione y dooinney as e ynnyd vea.[6]","I don’t think there is any one else today who can say “I learnt Manx from the lips of Harry Kelly,” and that is why it depends upon me to put down a word or two about the man and his life and his dwelling place.",[6] ynnyd vea] evidently the meaning here is ‘dwelling place’. Elswhere ‘ynnyd veaghee’ / ‘ynnyd vaghee’.,
"Te nish ny smoo na queig blein as daeed neayr’s veeit mee eh as lurg whilleen bleeantyn foddee ta my aachooinaghtyn er n’aase faase, agh cha nel mee credjal shen.","It is now more that forty-five years since I met him and after so many years maybe my recollections have weakened, but I don’t believe that.",,
Dooys ta ny aachooinaghtyn shen kiart cha birragh as cha gial my[7] haghyr ad nurree.,To me those recollections are just as sharp and as bright as if they happened last year.,[7] My] evidently a misprint for ‘myr’ — ‘as’.,
