Manx,English,Notes
"Mainshter Juan Comish Kirkland Lake, Northern Ontario, Canada (1887 – 1965)",,
"Ren ymmodee lhaihderyn jeh’n cholloo shoh goaill soylley mooar ass ny skeeallyn liorish Juan y Comish voish Kirkland Lake, Ontario, ren mee clou er y gerrit.","Many readers of this column greatly enjoyed the stories by John Comish from Kirkland Lake, Ontario, that I printed recently.",
"Cha dod mee feddyn caslys jeh Juan hene as dimraa mee shoh rish Juan y Geill, nyn garrey voish Colby.","I couldn’t find a picture of John himself and I mentioned this to John Gell, our friend from Colby.",
Yindys ny Yinyssyn! Hooar Juan caslys voish shuyr Yuan y Comish ta baghey ayns Purt Chiarn as myrgeddin screeu eh ny cooinaghtyn echey jeh’n traa hie eh hene lesh shilley er Juan y Comish ayns Yn Chanadey ’sy vlein 1959.,Wonder of wonders! John got a picture from John Comish’s sister who lives in Port Erin and he also wrote his memories of the time he went to see John Comish in Canada in the year 1959.,
"Nish, er hoh diuish caslys jeh’n daa Yuan as skeeal yindyssagh mychione Gaelgeyr ren ceau ymmodee bleeantyn ayns eebyrtys ’sy Cheer Noa.","Now, here is a picture for you of the two Johns and a wonderful story about a Manx speaker who spent many years in exile in the New Land.",
(Caslys): Juan y Geill as Juan y Comish ayns Yn Chanadey 1959. Ta’n Juan ainyn er y cheu hoshtal as yn Manninagh Chanadagh er y cheu yesh.,(Picture): John Gell and John Comish in Canada 1959. Our John is on the left side and the Manx Canadian on the right side.,
MAINSTER JUAN COMISH,MR JOHN COMISH,
"KIRKLAND LAKE,","KIRKLAND LAKE,",
"NORTHERN ONTARIO,","NORTHERN ONTARIO,",
CANADA (1887-1965),CANADA (1887-1965),
"Car ny bleeaney shoh chaie ayns y cholloo shoh “Noon as Noal”, ta mee er lhaih shiartanse dy skeealyn ’sy Ghailck ain screeuit bleeantyn er-dy-henney ec my charrey Juan Comish ayns Canada.","Throughout last year in this column “Noon as Noal”, I have read several stories in our Gaelic written years ago by my friend John Comish in Canada.",
Gyn dooyrt ta ymmodee studeyryn ny Gailck nish smooinaghtyn daue-hene “Quoi va’n dooinney shoh ayns Canada as Gailck echey?”,No doubt there are many stunts of Manx now who are thinking to themselves “Who was this man in Canada who knew Manx?”,
"     Ta mee sheiltyn nagh vel peiagh erbee bio ec y traa t’ayn nish agh mee hene t’er jeet ny whaiyl as er loayrt rish Juan ayns Gailck, as er n’ghoaill aaght marish as e ven ayns Kirkland Lake.","     I imagine there is no one alive at the present time but myself who has met and spoken to John in Manx, and has taken lodging (stayed) with him and his wife in Kirkland Lake.",
"Myr shoh, lhig dou ginsh diu red ennagh mychione y dooinney hene as kys haink shin dy ve nyn gaarjyn as cre’n traa taitnyssagh v’aym marish Juan ayns Canada.","So, let me tell you something about the man himself and how we came to be friends and what a wonderful time I had with John in Canada.",
"     Va Juan ruggit as troggit ayns Straid Wyllin, Balley Chashtal as va lheid y ghraih ghowin echey er Ellan Vannin as Chengey ny Mayrey ain, dy row eh gynsaghey y Ghailck choud’s v’eh foast ny ghuilley goll dy schoill.","     John was born and raised in Mill Street, Castletown, and he had such a love for the Isle of Man and our Native Tongue, that he was learning Manx when he was still a boy going to school.",
"D’insh Juan dou dy row Gailck ec yn ayr echey as kuse dy shenn Vanninee ’sy valley, agh cha row ad coontey monney jeh’n Ghailck ec y traa shen, as b’egin da Juan tayrn dy chooilley ’ockle assdoo, briaght feyshtyn gollrish,","John told me that his father and some of the old Manx in the town knew Manx, but that they didn’t think much of Manx at that time, and John had to draw every word out of them, asking questions like, ",
“Cre ta shoh ayns Gailck? Cre’n aght t’ou gra shoh? Cre’n aght t’ou genmys shoh?”,“What is this in Manx? How do you say this? What do you call this?”,
derrey veagh ny shenn gheiney skee jeh as gra “Immee royd” as “ersooyl lhiat”. ,until the old men would be fed up with him and say “Go on your way” and “away with you”. ,
"Ny keayrtyn yiarragh ad “Bare dhyt jarrood y Ghailck, cha jean ee dy bragh cosney ping er dy (dty) hon ansherbee.”","Sometimes they would say “It would be better for you to forget Manx, it will never earn a penny for you anyway.”",
"     Tra daag Juan y schoill hie eh myr prindeis fuinneyder ayns Balley Chashtal, as lurg shen myr fuinneyder er ny baatyn “Blue Funnel” shiaulley magh ass Lherpuyl gys yn Niar Foddey, Malaysia, China as Japan.","     When John left school he went as an apprentice baker in Castletown, and after that as a baker on the Blue Funnel boats sailing out of Liverpool to the Far East, Malaysia, China and Japan.",
"     Va gioot ec Juan son glaraghyn, v’eh fer tushtagh ayns ymmodee chengaghyn s’anvennick veagh eh gobbragh marish skimmee loayrt y Vaarle, er-lhimmey jeh ny fir-oik, agh va’n Ghailck Vanninagh rieau yn chied ghraih echey, as oddagh eh loayrt, lhaih as screeu ee derrey hooar eh baase ayns 1965.","     John had a gift for languages, he was a knowledgeable man in many tongues and rarely would he would with an English-speaking crew, except for the officers, but Manx Gaelic was always his first love, and he could speak, read and write it until he died in the year 1965.",
"     Dy jarroo, tra daase eh ny shinney as nagh vod[1] eh screeu lesh e laueyn kyndagh rish martarys, chionnee eh jeshaght-screeuee!","     Indeed, when he grew older and he can’t (couldn’t) write with his hands due to disability, he bough a writing-machine (typewriter)!",[1] dod] text gives [vod]
"     Lurg baase e ayr ayns 1912, hie e voir as cagh elley ny clienney dys Lherpuyl, as dy gerrid lurg shen va Juan poost, ","     After the death of his father in 1912, his mother and all the rest of the children went to Liverpool, and shortly after that John was married, ",
"agh va Juan shiaulley car bleeantyn yn chied Caggey Mooar, as tra va’n caggey ec jerrey hie Juan as e ven as cloan gys Canada.","but John was sailing during the years of the First Great War (First World War), and when the war ended John and his wife and children went to Canada.",
"Dobbree eh hoshiaght myr fuinneyder ayns Thie-Lheihys, eisht ayns “lumber camp”, as fy-yerrey haink eh gys Kirkland Lake gobbraghey ayns mean-airh, agh cha row Juan thoallee as lajer dy liooar dy laboraght fo-hallooin, as lurg chingys liauyr, v’eh eginit goaill obbyr myr “janitor” as gareyder ec oik y veain.","First he worked as a baker in a Hospital, then in a “lumber camp”, and finally he came to Kirkland Lake working in a gold mine, but John wasn’t tall and strong enough to work under ground, and after a long illness, he was forced to take work as a “janitor” and gardener at the office of the mine.",
"     Va mee gyndys ny cheayrtyn cre’n aght chooinnee Juan y Ghailck gyn clashtyn fockle erbee j’ee er ny loayrt, agh va ymmodee lioaryn echey ’sy Ghailck.","     I was wondering sometimes how John remembered Manx without hearing a single word of it spoken, but there he had a lot of books in Manx.",
,,
"V’eh screeu rish Thie Tashtee Vannin ayns Doolish as kionnaghey dagh lioar Ghailckagh va currit magh, as veih’n Cheshaght Ghailckagh neesht.","He was writing to the Manx Museum in Douglas and buying every Manx Language book that was published, and from Yn Çheshaght Ghailckagh too.",
"Cheau eh ram traa ec y thie lhaih as screeu y Ghailck ayns ny laghyn feayr as dorraghey ’sy gheurey, trra nagh voddagh eh goll magh.","He spent a lot of time at the house reading and writing Manx in the cold and dark days in the winter, when he couldn’t go out.",
"     Va Juan screeu dy mennick gys yn Cheshaght Ghailckagh as tra va ’Neen Franses Davidson ny Scrudeyr, hug ee screeuyn veih Juan dooys briaght orrym dy reggyrt da as shen ren mee chelleeragh.","     John was often writing to Yn Çheshaght Ghailckagh and when Mis Francis Davidson was a secretary, she gave a letter from John to me, asking me to answer him, and that I did right away.",
"    Dimraa mee dy row my voir ruggit as troggit ec Ballakeighen, as tra haink lettyr elley voish, dooyrt eh, “Ballakeighen — bannaghtyn er y chenn voayl.","     I mentioned that my mother was born and raised at Ballakeighen, and when another letter came from him, he said, “Ballakeighen — blessings on the old place.",
Tra va mee my ghuilley goll dy schoill ve currit orrym shooyl gys Ballakeighen dagh moghrey Jesarn dy gheddyn bainney geyre as oohyn.,When I was a boy going to school I was made to walk to Ballakeighen every Saturday morning to get buttermilk and eggs.,
