Manx,English,Notes
Noon as Noal,To and Fro',
"Skeeal firrinagh ’sy Ghaelg er ny insh dou bleeantyn er dy henney liorish my ghooinney mooinjerey Edard Maddrell, Glion Shiast. ","A true story in Manx told to me years ago by my relative Edward Maddrell, Glen Chass. ",
"“DID YOU ever hear any yarns about our relations from The Howe, the Wattersons?” said ned to me one day. “They were known as the ‘Moody Phericks’ and there’s some of them in yet.” I’ll tell you a story about them in Manx, a strange story but I heard it from the very man himself” —  ",,
     As ghow eh toshiaght — ,     And he began — ,
"     “Keayrt dy row va dooinney ayn, ’nane jeh’n mooinjerys ain hene as va’ ennym echey Kodhere. ","      “There was once a man, one of our own relations and his name was Kodhere (Watterson). ",
"V’eh ruggit as troggit ’syn Owe, faggys da Creneash, ayns thie yn Chenn Pheiagh, va shen yn ennym hug shin er dty henn henn warree. ","He was born and raised at the Howe, near to Cregneash, in the Yn Chenn Pheiagh’s (The Old Person’s) house, that was the name we gave your great great grandmother. ",
 Ta’n thie shen ny hassoo foast erskyn y chabbal. ,That is house is still standing above the chapel. ,
Ec y traa ta mee ginsh dhyt mysh v’eh gobbragh ayns Doolish myr Mainshtyr Stashoon ec y stashoon raad yiarn faggys da’n phurt. ,At the time I’m telling you about he was working in Douglas as a Station Master at the railway station near the harbour. ,
V’eh cummal marish y ’neen shinney echey boayl ennagh ayns Doolish. , He was living with his oldest daughter somewhere in Douglas. ,
      Un oie hie eh thie as hooar eh yn lhongey echey as eisht hie eh lesh shilley er y ’neen saa echey. ,     One night he went home and he got his meal and then he went to see his youngest daughter. ,
V’ish cummal neesht ayns Doolish marish yn dooinney eck. ,"She was living in Douglas too, with her husband. ",
Yn oie shoh va’n dooinney eck mooie gobbragh anmagh boayl ennagh as va’n ven laccal dy choagyrey bee j’ee hene as ren ee briaght jeh’n jishag eck “Jean shiu goll seose ny greeishyn as ceau tammylt marish y lhiannoo son cha nel caa aym jannoo veg son ta’n lhiannoo cratchagh as keayney as t’eh jannoo orrym tra ta mee laccal geddyn yn bee coagyrit?” ,This night her her husband was outside working late somewhere and his wife wanted to cook food for herself and she asked her dad “Will you go up the stairs and spend a while with the child because I have no chance of doing anything because the child is crotchety and crying and he’s bothering me when I want to get the food cooked?” ,
"     “Neeym shen,” dooyrt Kodhere as hie eh seose ny greeishyn as lurg tammylt ren eh lhie sheese er y lhiabbee marish y lhiannoo as v’eh skee as ren eh goll dy chadley bunnys. ","     “I’ll do that,” said Kodhere and he went up the stairs and after a while he lay down on the bed with the child and he was tired and he almost fell asleep. ",
,,
"     Tra v’eh ny lhie lieh ghooisht as lieh ny cadley, ren eh gennaghtyn neuaash cheet er as v’eh feer neuaashagh, as doaltattym ren eh clashtyn coraa gra rish “Nar jarrood dty vummig!”, ","      When he was lying half awake and half asleep, he felt a growing sense of uneasiness and he was very disquieted, and suddenly he hears a voice saying to him “Do not forget your mum!”, ",
as ren eh doostey ass yn cadley echey as ren eh gyllagh sheese ny greeishyn dys y ’neen echey “Cre dooyrt oo ghoodee?” ,and he woke up out of his sleep and he shouted down the stairs to his daughter “What did you say lass?” ,
      “Cha ren mee gra veg Yishag” dooyrt y ghoodee. ,      “I didn’t say anything Dad” said the lass.  ,
"      Ansherbee, yn laa lurg shen ren eh goll dys yn obbyr echey as va anvea mooar er kyndagh rish yn red v’eh er chlashtyn ayns shamyr chadlee y ’neen echey yn fastyr roish shen as dooyrt eh rish ny deiney v’eh gobbragh marish  ","     Anyway, the day after that he went to his work and he was greatly perplexed because of what he had heard in his daughter’s bedroom the previous evening and he said to the men he worked with  ",
"“Cha nel mee cheet stiagh dys yn obbyr aym jiu eddyr, ta mee son goll thie dys yn Owe lesh shilley er y chenn pheiagh son ta mee smooinaghtyn dy vel red ennagh aggairagh ec y thie.” ","“I’m not coming in to my work today at all, I want to go home to the Howe to see ‘the old person’ because I think that there is something wrong at the house. ",
,,
"     Ren eh goll er yn arbyl bree dys Purt Le Moirrey as ren eh goll seose dys yn Owe, ren eh roshtyn roish munlaa as ren eh goll stiagh ayns thie yn vummig echey. ","     He went on the train to Port St Mary and he went up to the Howe, he arrived before midday and he went into his mum’s house. ",
" “Va far ennym urree, Yn Chenn Pheiagh, as v’ee shenn warree dooys as shenn wareee da’n Jishig Vooar ayds,” dooyrt Ned rhym. "," “She had a nickname, Yn Chenn Pheiagh (The Old Person), and she was great grandmother to me and great grandmother to your grandddad,” ned said to me. ",
"     Ren eh goll stiagh er sole y dorrys as dooyrt y Chenn Pheiagh rish ayns Gaelg, cha row monney Baarle eck, ","     He went in through the threshold and Yn Chenn Pheiagh said to him in Manx, she didn’t know much English, ",
“Ta mee booiagh dy daink oo Illiam son hooar shin drogh naight jiu dy vel Thobm (yn braar echey) baiht ’sy Valtic as ooilley’n skimmee echey caillt neesht.” ,“I’m pleased you came Illiam because we got bad news today that Tom (his brother) is drowned in the Baltic and all his crew lost too.” ,
