Manx,English,Notes,
AYNS Mee Ny Mannan (Mee Vayrnt) bee Kione Shiaghtin Gaelgagh goll y chummal[1] ec Eairy Cuishlin as bee shey ny shiaght dy Yernee cheet noal marish Sheorus Mac Rurie dy ghoaill ayrn ayn.,In March there will be a Manx weekend being held at Eairy Cushlin and there will be six or seven Irish people coming over with George Broderick to take part in it.,[1] goll y chummal] [goll er cummal],
Er lhiam dy vel ny Yernee shoh ooilley nyn loayreyderyn dooghyssagh.,I think that these Irish people are all native speakers. ,,
Cheayll mee dy vel Brian Mac Stoyll son cheet myrgeddin.  ,I heard that Brian Stowell can come too.,,
"Mannagh vel caa ain dy chummal maroo, shegin dooin ec y chooid sloo cur shilley orroo ayns shen.","If we don’t have a chance to stay with them, we must at least go to see them there.",,
Cha nel mee shickyr jeh’n dait foast agh inshym diu ny s’anmey.,"I’m not sure of the date yet, but I will tell you later.",,
Ayns y cholloo yn shiaghtyn shoh ta shin cur errey er[2]  skeeal Varkys as ta meeryn elley ayn foddee nagh vel shiu er n’akin roie.,In the column this week we are concluding  Mark’s story and there are other pieces that maybe you haven’t seen before.,"[2] cur jerrey er] ‘bringing to completeion, finishing’ text gives [cur errey er] ‘placing a burdon upon’.",
By vie lhiam cur moylley da Robard Mac y Fee yn cloudeyr ta clou-screeu “Noon as Noal” gagh hiaghtin.[3],"I would like to give praise to Robert McFee, the printer who type-sets “Noon as Noal” every week.",[3] gagh shiaghtin] text gives [gagh hiaghtin],
Ta Robard  gynsaghey Gaelg dy mie nish as cha nel eh jannoo monney marranyn edyr!,Robard is learning Manx well now and he isn’t making many errors at all!,,
Ta Robard ny ghooinney mooinjerey aym pene er y fa dy daink ny shenn ayraghyn echey voish Skeerey Andreays as va Karagher yn ennym orroo.,Robert is a relative of mine because his ancestors came from Andreas Parish and their name was Fargher.,,
"     Lurg y chaggey, ’sy vlein 1946, hie my charrey Illiam Radcliffe, voish Rumsaa, as mish dys Nherin as lurg jannoo briaght hooar shin y voayl raad v’ad freayll ny rhollanyn.","     After the war, in the year 1946, my friend William Radcliffe, from Ramsey, and I went to Ireland and after making enquiry we found the place where they were keeping the cylinders.",,
V’ad ny lhie ayns kishtey fuygh eddrym fegooish farkyl ny coodagh erbee er lhimmey son joan chiu.,They were lying in a light wooden (balsa wood?) box without a lid or any cover except for thick dust.,,
Va kiare as feed jeu.,There were twenty-four of them.,,
"Ass yn earroo shoh va jees dy bollagh brisht, jees elley va scrabit ass myghin as ga dy row shin abyl dy chlashtyn rish feed jeh ny rhollanyn er y greie va eeassit dooin ec y voayl chemmyrk, va ny sheeanyn feer faase ec keayrtyn.","Out of this number two were completey broken, two others were scratched mercilessly and although we were able to hear twenty of the cylinders on the machine that was lent to us at the place of refuge (safe place), the sounds were very weak at times.",,
Cheau shin slane laa geaishtagh rish ny rhollanyn as screeu rolley soiaghey magh cre va recortyssit er dagh rhollan.,We spent a whole day listening to the cylinders and writing a list setting out what was recorded on each cylinder.,,
