Manx,English,Notes
Noon as Noal'To and Fro',,
SHARE GAELG VRISHT RY CHLASTYN ER CHENGEY VANNINAGH NA BAARLE FLAAOIL,BETTER BROKEN MANX TO BE HEARD ON A MANX TONGE THAN FLUENT ENGLISH,
"HOOAR mee ny focklyn shoh voish Sheorus Mac Ruarie laa na ghaa er dy henney. Honnick eh ad scruit er boalley ennagh ’sy Nerin tammylt er dy henney, ass y Yernish as ny focklyn bentyn rish Nerin hene.","I got these words from George Broderick a day or two ago. He saw them written on some wall in Ireland a while ago, in Irish and the words were referring to Ireland itself.",
"Dooyrt yn Eaghtyrane marroo Eamonn De Valera bunnys yn red cheddin kuse dy vleeantyn er dy henney tra dinsh eh da chaglym Yernagh, “T’eh ny share Gaelg vrisht y loayrt na dyn Gaelg edyr”.","The late President of Ireland, Eamon De Valera said almost the same thing a few years ago when he told an Irish gathering “It is better to speak broken Irish than without Gaelic at all”.",
"Dy mennick ta mee er ve smooinaghtyn my­chione ny focklyn shen, as er lheh nish ayns Mannin, tra ta ny brastyllyn geuree goaill toshiaght.","Often, I have been thinking about those words, and especially now in the Isle of Man, when the winter classes begin.",
"Lhisagh shin ooilley nyn gooid share y yannoo dy loayrt ass Gaelg as dy reayll ee bio, gyn scansh y chur da marranyn vees aynjee tra loayrys mayd ee.","We should all do our best to speak Manx and to keep it alive, without giving  regard to errors that will be in it when we speak it.",
Ta ny smoo jeeyl er ve jeant er yn aavioghey car ny bleeantyn t'er n'gholl shaghey liorish Manninee faitagh as aggie orroo dy jinnagh ad marranyn tra loayragh ad chengey ny mayrey.,More damage has been inflicted on the revival through the years that have gone by by shy Manx people who were afraid that they would make mistakes when they would speak the mother tongue.,
"S’cummey lesh ny marranyn! Loayr-jee Gaelg as jean-jee nyn gooid share, myr yiarragh Ned Maddrell, dy “reayll ee bio!”","Mistakes do not matter!  Speak Manx and do your best, as Ned Maddrell would say, to “keep it alive!”",
TURRYS MYGEAYRT NALBIN,AN EXCURSION AROUND SCOTLAND,
Ta my ven as mee hene kiart nish er ash voish turrys ny hrooid[1] Nalbin. S’taittin lhiam ginsh diu dy vel Nalbin ayns cree mie erskyn insh.,My wife and myself are just back from an excursion through Scotland. How pleased I am to tell you that Scotland is in inredicly good heart (spirits).,[1] ny hrooid] ‘through it’. [trooid] ‘through’ would be expected here.
"Ta’n chengey Ghaelgagh bishaghey as ta’n cheer hene slane dooisht dy politickagh, ta ny smoo argid cheet stiagh na va rieau er dy henney[2], as erskyn ooilley, ta ny Halbinee slane skee jeh’n cochiangley t’er ve eddyr ocsyn as Sostyn rish ny smoo na daa cheead vlein.","The Gaelic tongue is flourishing and the country itself is fully politically awake, there is more money coming in than there ever was before, and above all, the Scots are entirely fed up of the connection which has been between them and England for more than two hundred years.","[2] na va rieau er dy henney] — the intended meaning is evidently ‘than ever before’, for which [na er-dy-rieau] or [na va rieau] would be expected.  [na va va rieau er dy henney] means ‘than there was ever since’. "
T’ad skee jeh'n “punt sinkeil” as ta mee braew shickyr vees slane seyrsnys oc roish feer foddey.,They are fed up with the “sinking pound” and I am quite certain they will have complete independence before very long.,
"Daag shin yn Ellan ain er y ""vaatey mean-oie"" kegeesh er dy henney laa jea. She'n “Lady of Mann” v’ayn.",We left our Island on the ‘midnight boat’ a fortnight ago yesterday. It was the “Lady of Man”.,
"Shee bannee mee! Cha nel ny baatyn noa er chor erbee gollrish ny shenn vaatyn son souyrid, ta ny baatyn noa diesel shoh feiyral agglagh tra t’ad shiaulley as yn greie oc dhonkal fud ny hoie gollrish feiyr mwyljyn eirinagh ennagh.","Bless me! The new boats are not in any way like the old boats for comfort, these new diesel boats are awfully noisy when they sail with their engine knocking throughout the night like a the noise of some agricultural machine.",
"     Hie shin hoshiaght lesh shilley er Yorkshire (va’n gleashtan ain), raad va mee my hidoor aeg ram bleeantyn er dy henney ayns armee reeoil Hostyn, as ny lurg shen hie shin my hwoaie trooid Sostyn Shiar Hwoaie gys Nalbin hene, cur shilley er Doon Edin, Peart, Invernish, Aviemore (yn Awin Mooar), yn Cairn Gorrym, Logh Nish as y Glion Mooar, Keeill Cumainn (Fort Augustus), Yn Garrastan (Fort William) as, son shickyrys, yn boayl aalin shen dinsh mee diu mychione echey tammylt er dy henney, Aird Nam Murchain, raad veeit mee rish ymmoddee shen chaarjyn as Gaelg oc.","     We went first to visit Yorkshire (we had the car), where I was a young soldier many years ago in the Royal Army of England, and after that we went to the North through North East England to Scotland itself, visiting Edinburgh, Perth, Inverness, Aviemore (the Big River), the Cairngorms, Loch Ness and The Great Glen, The Church of Saint Cummein (Fort Augustus), The Garrison (Fort William) and, for sure, that beautiful place I told you about a while ago, Aird Nam Murchain (Ardnamurchan), where I met with many old friends who know Gaelic.",
"Cheau shin un oie ayns Stroin Yn Cheean (Strontian) as eisht hie shin lesh shilley er Blaar Atholl as Balley Morail (Balmoral) agh cha vaik shin ee hene aynshen edyr! Ooilley mygeayrt Nalbin ta focklyn er nyn screeu er creggyn as y lhied, ""Suas leis a' Ghaidlig"", ""Seoirse!"" (Seyrsnys!) as ren y clane turrys foays da my chree.","We spent one night in ‘The  Fairy Hill Promontory’ (Strontian) and then we went to visit Blair Atholl and Balmoral, but we didn’t see herself (ie; Queen Elizabeth II) there at all! All around Scotland there are words written on rocks and such, “Up with Gaelic”, “Independence!”, and the whole excursion was good for my heart.",
"Ta un cheer Celtiagh ayn dy jarroo as aavioghey Celtiagh er bun, as  ta shen Nalbin! Va mee loayrt rish tammylt rish Stiureyder an Comunn Gaidhealach (Yn Cheshaght Ghailckagh ocsyn) as v’eh ayns cree mie mychione cooish ny Gaelgey ’sy cheer echey","There is one Cletic country indeed with a Celtic revival established, and that is Scotland! I was speaking for a while to the Director of  An Comunn Gaidhealach (‘The Gaelic Association’) (Their ‘Yn Çheshaght Ghailckagh’), and he was in good heart concerning the subject of Gaelic in his country. ",
. Ta treisht orrym[3] dy jig caghlaa mooar myr shoh ayns Mannin erreish da’n Reihys shoh cheet.,I hope a great change like this will come in the Isle of Man after this coming election.,"[3] Ta treisht orrym] literally ‘There is a trust / hope upon me’, an idiom unattested in Classical Manx — [Ta mee treishteil], or [Ta treisht aym] would be expected here."
REIHYS DREE[4]?,A TEDIUS ELECTION?,"[4] Reihys Dree] ‘A Slow Election’, [dree] ‘slow’ used here to mean ‘boring’, ‘tedius’, ‘uninteresting’."
