Manx,English,Notes
SKEEAL  CHOLIN,COLIN’S STORY,
"Va daa phaitchey elley ec Joe, Juan, mysh yn eash cheddin as my huyr, as Norman, agh v’eshyn foddey ny shinney as v’eh ’sy Lhuingys Ghoaldagh myr shiaulteyr.","Joe had two other children, Juan, about the same age as my sister, and Norman, but he was much older and he was in the British Navy as a sailor.",
"Cha row chellveeish erbee ayn ayns ny laghyn shen as cha dug shin monney geill da’n radio, myr shen cheau shin y fastyr ginsh skeealyn.",There wasn’t any television in those days and we didin’t pay much heed to the radiom so we spent time the evening telling stories.,
Va Joe rieau ayns boirey ennagh as va drogh-haghyrtyn geiyrt er as fuirraghtyn ersyn gagh laa. ,Joe was always in some trouble and disasters were following him and waiting for him every day.,
Keayrt dy row haink eh stiagh syn “Ollay” as eshyn fliugh veih mullagh e ching dys boyn e choshey.,"Once, he came into the “Swan” and he was wet from the top of his head to the heel of his foot.",
Va oie vraew dy jarroo ayn as rollageyn yn aer soilshean gyn bodjal erbee ry-akin.,It was a fine night indeed with the stars in the sky shining without a cloud at all to be seen.,
“Cre’n aght haink shen ort?” dooyrt fer ennagh va ny hassoo ec y voayrd coontee.,“How did that come (get) on you?” said someone who was standing at the counter.,
"“Haink frass doaltattym orrym,” dreggyr Joe.","“A shower suddenly came upon me,” (“I got caught in a shower”) Joe answered.",
Haink sleih elley stiagh ny s’anmey as va dagh ooilley ’er jeu slane chirrym.,Other people came in later and every one of them was completely dry.,
"Cha s’ayms haink frass er Joe myr dooyrt eh, agh va daa awin ayn eddyr e hie as yn “Ollay” as mannagh duitt Joe ayns ’nane jeu v’eh ny ghooinney ynrican huitt frass erbee er yn oie shen.","I don’t know if Joe got caught in a shower as he said, but there were two rivers between his house and the “Swan” and if Joe didn’t fall in one of them he was the only man caught in any shower that night.",
"Cha lhisagh shiu goaill yindys dy jagh eh ny hrooid awin er e raad gys y thie lhionney, by gummey leshyn ve fliugh dy jinnagh eh cosney red ennagh.","You shouldn’t be surprised that he went through a river on his way to the alehouse, being wet didn’t matter to him if he would get something.",
Keayrt dy row v’eh geeastagh marish m’ayr ec yn awin as hooar eh eeast mooar er e rimlagh.,Once he was fishing with my father at the river and eh got a big fish on his line.,
Hie yn eeast sheese mygeayrt fraueyn billey ennagh as va m’ayr sheiltyn dy jinnagh yn eeast cosney roish.,The fish went down around the roots of some tree and my father was guessing that the fish would get away.,
"Lheim Joe stiagh ’syn awin as ghow eh greim er yn eeast, ghrap eh neese magh ass yn ushtey, gymmyrkey e aundyr, as v’eh er ny choodaghey lesh laagh as v’eh fliugh-vaiht, agh cha chaill eh e eeast!","Joe jumped into the river and he got a grip of the fish, he climbed up out of the water, carrying his prize, and he was covered with mud and he was drowned-wet, but he didn’t lose his fish!",
Va boayl ennagh ayn faggys da’n thie echey enmyssit “Lhag y Chruink Yiarg” as laa dy row va Norman shooyl er y raad ayns shen. ,There was somewhere near to his house called “The Hollow of the Red Hill” and one day Norman was walking on the highway there.,
Hie e ayr huggey markiagh er cabbyl-yiarn.,His father went to him riding on a motorbike.,
"“Lheim seose cooyl aym,” dooyrt Joe."," “Jump up behind me,” said Joe.",
" Cha lheah’s va Norman ny hoie cooyl echey, hie Joe er e hoshiaght cha tappee dy ren Norman tuittym gour e ghrommey as dy dettyl e chassyn shaghey cleayshyn Yoe as dy jagh eh bun-ry-skyn derrey v’eh ny hassoo reesht er y raad as Joe goll roish gyn tastey erbee y chur da.","As soon as Norman was sat behind him, Joe went ahead so fast that Norman fell backwards and his feet flew past Joe’s ears and and he went head-over-heels until he was stood again on the road with Joe going on without paying any notice of him.",
Cha row fys ec Joe dy row Norman ersooyl derrey rosh eh thie.,Joe didn’t know that Norman was gone until he arrived home.,
"Va’n cabbyl-yiarn shoh, feer henn as sollagh, v’eh ny Triumph 650 er lhiams.","This motorbike was very old and dirty, it was a Triumph 650, I think.",
Ny keayrtyn va cheu-charr (sidecar) lhiantyn huggey. ,Sometimes there was a sidecar attached to it.,
"Boallagh Joe goll er y cheer fastyr Jedoonee, markiagh er cabbyl-yiarn as Ruby marishyn ’sy cheu-charr as eshyn ceau edd runt (bowler hat) er e chione.","Joe used to go in the countryside on Sunday afternoon, riding a motorbike with Ruby with him in the sidecar and him wearing a bowler hat on his head.",
Va shoh ceaut echey cour yn Doonaght. ,This was worn by him for the Sabbath (Sunday).,
Er y chiaghtin yinnagh eh ceau bayrn feohdagh ren eh ymmyd jeh son dagh ooilley nhee.,In the week he would wear a disgusting cap that he used for everything.,
Ta mee er chlashtyn dy ren eh mooghey aile ’sy freoagh lesh!,I hear that he extinguished a fire in the heather with it!,
Ta mee er n’akin eh ceau eh er y thalloo as lheim er tra va corree ersyn.,I have seen him throw it on the ground and jump on it when he was angry.,
Keayrt dy row va Juan marish ec yn obbyr echey as v’eh faagit ny yei echey faggys da doagh ushtey mooar.,Once Juan was with him at his job and he left it behind near a big vat of water.,
Cha row monney echey ry-yannoo as myr shen ghow eh toshiaght dy vroddey yn yiarn lesh y vair echey.,He didn’t have much to do and so he began to poke the iron with his finger.,
Va’n doagh feer henn as thanney rere yn eash echey as ren eh towl as ghow yn ushtey toshiagh dy gheayrtey magh ass.,The vat was very old and thin according to its age and he made a hole and the water started to pour out of it.,
Dyllee eh er Joe as hie eh lesh dagh ooilley hiyr huggey.,He called Joe and he went with all haste to him.,
"Tra honnick eh yn jeeyl va jeant ec Juan, cheau eh e vayrn er y laare as eshyn er chee lheimyragh er, tra haink eie huggey as ren eh ymmyd jeh myr dhull!","When he saw the damage that Juan had done, he threw his cap on the floor and he was about to jump on it, when an idea came to him, and he used it as plug!",
"Ansherbee, va shen y bayrn ren eh ceau, eer ayns e hie. ","Anyway, that was the cap that he wore, even in the house.",
Cha noddym pene cooinaghtyn ersyn bunnys fegooish y bayrn er e chione!,I can’t myself remember him almost without the cap on his head!,
