Manx,English,Notes,
"TA shin bunnys er jeet gys jerrey ny skeeallyn mychione yn shenn sleih vouesyn hooar shinyn ta ny shinney, chengey ny mayrey Ellan Vannin.","We have almost come to the end of the stories about the old people from those whom we, who are older, got the mother tongue.",,
Cha row rieau ny cooinaghtyn ta shiu er lhaih car ny shiaghteeyn chaie er ve screeuit sheese ny currit magh ayns clou roie as ta treisht orrym dy jean shen ny ta shiu er n’akin ayns Noon As Noal er y gerrid jannoo recortys firrinagh jeh’n cheeloghe yindyssagh shen ren cur y Ghaelg da’n cheeloghe ayms.,The memories that you have read during the past weeks were never written down or published in print before and that what you have seen in Noon As Noal recently will will make a true record of that wonderful generation that gave Manx to my generation.,,
"Ta Mannin er chaglaa dy mooar car ny bleeantyn neayr’s va ny loayreyderyn jerrinagh ny mast’ain, cha nee son ny share edyr, erlhiams.[1]","The Isle of Man has changed greatly during the years since the last speakers were amongst us, not for the better either, in my opinion.",[1] erlhiams] [er lhiam’s],
Ta Mannin nish bunnys ooilley ayns laueyn ny joarreeyn as tra ta shiu crankal er yn dorrys jeh thie ayns boayl fadaneagh er y cheer cluinnee shiu[2] ooilley Baarle as shen er ny loayrt lesh blass joarree.,"The Isle of Man is now almost all in the hands of foreigners and when you knock on the door of a house in a deserted place in the country you will here all English, and that spoken with a foreign accent.","[2] cluinnee shiu] ‘you will hear’, the relative future form of the verb [chlinnys] might be expected here.",
Ta ny shappyn beggey ayns ny baljyn beggey cheerey ooilley ayns laueyn ny joarreeyn neesht as eer ny thieyn thooit ayns Creneash hene.,"The little shops in the country villages are all in the strangers’ hands too, and even the thatched houses in Cregneash itself.",,
Ta Doolish lane dy vancyn mooarey traghtee as tra ta shiu loayrt er y chellvane rish Oik Yn Reiltys t’eh bunnys shickyr dy jean shiu loayrt rish fer ennagh ny ben ennagh t’er jeet voish Sostyn dy roie yn Ellan er nyn son (mannagh vel shiu aighoil dy liooar dy hellvaney er Adrian Pilgrim!).,Douglas is full of big commercial banks and when you speak on the telephone to the Office of the Government it is almost certain that you will speak to some man or woman that has come from England to run the Island for them (unless you are lucky enough to telephone Adrian Pilgrim!).,,
Boayl ennagh ayns screeunyn Shakespeare t’eh er ny screeu “He was the last of a race in ruin — he spoke the language of the Gael.”,Somewhere in Shakespeare’s writings it is written “He was the last of a race in ruin — he spoke the language of the Gael.”,,
"Lhig dooin jannoo nyn gooid share dy chur y breag er y raa shen.[3] Ayns fockleyn Yuan y Kring, yn ‘Gaaue’ hene, “Ta shin er mayrn foast, myr ta!”","Let’s all do our best to show that that statement isn’t true. In the words of John Kneen, the ‘Blacksmith’ himself, “We are still here, though!”","[3] dy chur y breag er y raa shen] ‘to show that that statement isn’t true’. Evidently the idiom [dy chur y breag er], literal translation ‘to put the lie on’, is used to mean ‘to show that something isn’t true’.  ",
SKEEALYN ELLEY YUAN Y GEILL,MORE OF JOHN GELL’S STORIES,,
"BENAINSHTER  WATTERSON, “GLION CHASS,”  COLBY (1860-1951)","MRS. WATTERSON, “GLEN CHASS,” COLBY (1860-1951)",,
