Manx,English,Notes
Shiaghtin Jedoonee shoh chaie hie mish as my ven marish ymmodee Manninee elley da’n chirveish ayns Skylley Chreest ny Hayrey.,On Sunday of last week I and my wife went with many other Manx people to the service in Lezayre.,
B’yindyssagh dy jarroo yn shirveish[1] as ren ee foays[2] da nyn greeaghyn ain ooilley dy akin lhied yn feallagh aegey as Gaelg oc goaill ayrn sy chirveish.,The service was wonderful indeed and it encouraged all us to see the likes of the young people who know Manx taking part in the service.,"[1] B’yindyssagh dy jarroo yn shirveish] Except for certain phrases, the past / conditional of [S’] occurs only in superlatives in Classical Manx. For this phrase we would expect [Va’n çhirveish dy jarroo yindyssagh].
[2] Foays] text gives [foast]."
Va ny nuy lessoonyn er nyn lhaih dy schleioil as va’n chiaull feer yeianagh as taitnyssagh. ,The nine lessons were read skillfully and the music was very modern and enjoyable. ,
Va shen dy jarroo shirveish ry-chooinaghtyn rish tammylt.,That was indeed a service to be remembered for a while.,
"     Tammylt er dy henney vrie mee son sthoo dy chur ayns “Noon as Noal” as cred-jee mish, ta slane thooilley dy screeunyn er jeet voish nyn gaardjyn Gaelgagh!","     I while ago I asked for material to put in “Noon as Noal” and believe-you-me,  a complete flood of letters has come from our Manx (language) friends!",
"Ry-heet ayns “Noon as Noal” vees skeealyn liorish Juan y Geill, Markys Braaide, Leslie Quirk, dy imraa agh troor jeu, as erskyn shen ta ram sthoo elley caghlaait aym voish tapeyn Albinagh ren SCOILL STUDEYRYS ALBINAGH recoyrtey ayns ny h-Ellanyn Sheer cha nee foddey er dy henney, skeealyn gollrish “Yn Drean Dhone”, ass ren ymmodee lhaihderyn goill soylley mooar, er hoh dy ghoaill toshiaght, art liorish Illiam y Kelly Yn Lhag, Gaelgeyr aeg as yn clane chengey ny mayrey ain echey:—","To come in “Noon as Noal” there will be stories from John Gell, Mark Braaide, Leslie Quirk, to mention but three of them, and beyond that there is a lot of other material translated by me from Scottish tapes that the SCHOOL OF SCOTTISH STUDIES recorded in the Western Isles not long ago, stories like “The Brown Wren”, that many readers greatly enjoyed, here to make a start, is an article by William Kelly of the Lhag, a young Manx speaker who knows the entirity of our language:—",
TREISHT SON Y TRAA RY-HEET?,HOPE FOR THE FUTURE?,
LHAIH mee lesh suim yn art liorish Brian Mac Stoyll (Rollage Vanninagh 8.1.77).,     I read with interest the article by Brian Stowell (Manx Star 8.1.77).,
She agglagh eh nagh bee yn nah Cohionnal jeh Studeyryssyn Celtiagh er ny cummal ayns Mannin ’sy vlein 1979.,It is awful that the Conference of Celtic Studies won’t be held in the Isle of Man in 1979.,
S’leayr eh da peiagh erbee dy vel shen er yn oyr nagh vel colaashtey ny ard-scoill erbee ayns Mannin ta bentyn rish studeyryssyn Celtiagh.,It is clear to anyone at all that that is because there isn’t any college or university in the Isle of Man that involves itself with Celtic studies.,
Gyn ourys ta Thie Tashtee jesh ain hannah as ta’n lught ayns shen jannoo obbyr vie da ny cooishyn oc agh cha nel yn argid currit daue liorish yn reiltys dy liooar obbyr er y Ghaelg y yannoo.,"There’s no doubt that we have a fine Museum already and the staff there do a good job for the subjects, but the money given to them by the government is not enough to do work on Manx.",
"     Va aghin er ny chur liorish Yn Cheshaght Ghailckagh da’n Chiannoort as Yn Choonseil Sheckteragh shirrey argid Rheynn Ny Gaelgey y chur er bun ’sy steat-hirveish, agh va’n aghin er ny cheau magh.","     A petition was given by The Manx Language Society to the Governor and the Executive Council, asking to establish money for a Department of Manx in the civil service, but the petition was thrown out.",
"Er yn aght cheddin, blein ny ghaa roish yn aghin shen, ren possan dy Vanninee as ollooghyn shirrey argid voish yn reiltys son olloo-schoill ayns Mannin.","In the same way, a year or two before that petition, a group of Manx people and professors asked for money from the government for a university in the Isle of Man",
     Hooar ad cheb jeh cooney voish olloo-scoillyn elley as daarlee ad coontey argidoil va soilshaghey magh nagh beagh feme son tooilley argid voish yn reiltys lurg my ghow yn olloo-coill toshiaght.,     They got an offer of help from other universities and they prepared a financial account that showed that there wouldn’t be any need for more money from the government after the university began.,
"Va’n eie oc dy voddagh yn Mannishter ve yn olloo-scoill as oddagh ny studeyryn cummal ayns thieyn-aaght er shooylaghyn Ghoolish ’sy gheurey, agh myr ta fys eu, va’n eie oc er ny arganey liorish Tinvaal as v’eh ceaut magh.","Their idea was that the Nunnery could be the university and the students would live in hotels on Douglas Promenade in the winter, but as you know, their idea was debated by Tynwald and it was thrown out, ",
"Er lhiams dy row eh currit magh, cha nee er y fa dy beign da Tinvaal cur argid da’n olloo-scoill, agh er y fa dy beagh ram studeyryn (lesh fuilt liauyrey!) as eieyn Soshalagh oc ayns Mannin!","I think it was thrown out not because Tynwald would have to give money to the university, but because there would be a lot of students (with long hair!) with Socialist ideas in the Isle of Man!",
Veagh ny studeyryn briaght feyshtyn mychione y reiltys as cur tooilley ourssyn da ny Manninee mychione Tinvaal as yn veeroose echey er kiartyn shibbaltagh.[3],The students would be asking questions about the government and giving more suspicions to the Manx concerning Tynwald and its negligence of civil rights.,"[3] kiartyn shibbaltagh] ‘civil rights’ — seems to be a Manxification of the Irish for ‘civil rights’; [cearta sibhialta]. In Classical Manx a ‘right’ in this context is [cairys]. In the Acts of Tynwald of the early twenieth century, ‘civil’ is usually translated as [theayagh]. "
     S’leayr eh nagh dug Tinvaal v’ayn geill erbee da kiartyn y phobble as cultoor dooghyssagh Vannin er y fa dy row eh cha “cheu-ree”.,     How clear it is that the Tynwald at that time did not pay attention to the rights and native cuture of the people of the Isle of Man because it was so “right wing”.,
S’feer eh dy row Tinvaal yn reiltys ny smoo “cheu-ree” (Tory) ayns yn Europey er lhimmey jeh reiltys ny Spaainey.,It is true that Tynwald was the most “right wing” (Tory) government in Europe except for the government of Spain.,
"Myr sampleyr elley, cha nod Manninagh erbee geddyn cooney leighoil erbee son cooish shibbaltagh (civil) ayns quaiyl Vannin.","As another example, no Manxman can get any legal aid for a civil case in a Manx court.",
Row aggle er Tinvaal dy beagh ad ceau yn argid ersooyl er reddyn nagh b’eeu?,Was Tynwald afraid that they would be throwing money away on something that wasn’t worth it?,
"Er lhiam pene, agh, cha nodmayd jannoo briwnys er feeuid dagh ooilley red lesh stundayrtyn argidoil.","I think myself, but, we cannot judge the value of everything with financial standards.",
"Ta argid dy liooar ec yn reiltys nish dy chur meer da Rheynn Ny Gaelgey, as foddee, dys ard-scoill veg cour studeyrys Celtiagh.","The government has enough money now to give a bit to a Department of Manx, and maybe, to a small university for Celtic studies. ",
"     S’quaagh eh dy vel Yn Ellan goaill moyrn nagh vel ee ayrn jeh Sostyn, er y fa dy vel cultoor as leigh er-lheh eck, as cha nel ee cummal seose yn cultoor eck!","     How strange it is that the Island is proud that it isn’t part of England, because it was separate culture and law, and it doesn’t support its culture!",
S’treisht lhiam dy bee’n Tinvaal noa kiartaghey shen!,I hope the new Tynwald will correct that!,
"     Fockle elley, roish my derrym jerrey er yn skeeal shoh.","     Another word, before I finish this story.",
