Manx,English,Notes
Bee fys ec y chooid smoo jeu dy vel daa Yernagh cheet gys Mannin ass lieh Bing Choonree Eddyr-Cheltiagh dy chloie ec cuirraghyn-kiaull.,Most of you will know that two Irishmen are coming to the Isle of Man on behalf of the Committee of Inter-Celtic Exchange to play as concerts.,
      S’yindyssagh dy jarroo yn obbyr ta’n ving shen jannoo ass lieh cultoor eddyr-cheiltiagh. ,     How wonderful indeed is the work that that committee does on behalf of inter-celtic culture.,
"Mannagh vel fys eu, er hoh ny traaghyn as daityn oc reesht.","If you don’t know, here are their times and dates again.",
"Jerdein yn 23 Mean Souree, ’sy Thie Oast Shorus, Balley Chashtal ec 8 l.m.. Tiggad 75p. ","Thursday the 23rd of June, in the George Inn, Castletown at 8 p.m. Ticket 75p.",
"Jeheiney yn 24 mean Souree ayns Thie Oast ny Benrein, Rhumsaa ec 8 l.m., Tiggad 75p.","Friday the 24th of June in the Queen’s Inn, Ramsey at 8 p.m. Ticket 75p.",
"Jesarn yn 25 Mean Souree ayns Thie Liauyr Ny Loghlinee, Purt Ny h-Inshey ec 8 l.m. Board bee £1.","Saturday the 25th of June in the Viking Longhouse, Peel at 8 p.m. Buffet £1.",
"Ta tiggadyn ry-chionnaghey voish Dave mac Eeasteyragh, Cott Hibbin, Balley Keeill Eoin; Bernard Moffat, 5 Straid Ny Traie, Purt Ny h-Inshey; Illiam y Kelly, Yn Lhag, Bradda, Purt Chiarn (ny 16 Straid ny Maarlee, Doolish); Banglane Twoaie Ny Sheshaght Gailckagh.","There are tickets available for purchase from Dave Fisher, Ivy Cottage, St Johns; Bernard Moffat, 5 Beach Street, Peel, William Kelly, The Lhag, Bradda, Port Erin (or 16 Athol Street, Douglas); The Northern Branch of the Manx Language Society.",
     Ta Michael O hAlmhain ny piobeyr-uillin voish Balley Aah Cleeah. ,Michael O hAlmhain is an uilleann piper from Dublin.,
Fod eh cloie myrgeddin er yn ’eddan as er y vanjoe.,He can play also the whistle and the banjo.,
Ta Josephen Begley ny ben-chiaullee tradishoonagh voish Coondae Ciarai.,Josephene Begley is a tradtional musician from County Kerry.,
T’ad ny n’yees[1] nyn olteynyn jeh Comhaltas Ceoltoiri Eirean.,They are both members of Comhaltas Ceoltoiri Eirean.,[1] ny n’yees] [ny neesht]
Bee’n possan chiaullee Manninagh “Bwoaie Doal” voish Purt Ny h-Inshey cloie myrgeddin.,The Manx music group “Bwoaie Doal” from Peel will be playing too.,
Va kuse dy h-olteynyn jeh’n phossan shoh nyn olteynyn jeh’n “Tradishoon Celtiagh” as ta “Bwoie Doal” kiart er ve er ny chur er bun.,A few members of this group were members of the “Veltic Tradition” and “Bwoaie Doal” have just been established.,
"     Mannagh vel fys eu, va “Bwoie Doal” yn far-ennym jeh Thobm Kermode voish Bradda, shenn shenner da Nigel Kermode.","     If you don’t know, “Bwoie Doal” (“Blind Bor”) was the nickname of Tom Kermode from Bradda, great grandfather to Nigel Kermode.",
Va’n “Bwoie Doal” cummal ’sy thie s’niessey da’n thie thooit raad va my warree ruggit as troggit as dy mennick ta mee er chlashtyn my warree ginsh skeealyn mychione echey.,The “Blind Boy” was living in the house searest to the thatched house where my grandmother was born and raised and I have often heard my grandmother telling stories about him.,
"V’eh ny eeasteyr as ga dy row eh faagit doal erreish da’n vreck wooar (smallpox) tra v’eh ny ghuilley, hie eh da’n eeastagh ooilley ny laghyn echey.","He was a fisherman and although he was left blind after smallpox when he was a boy, he went to the fishing all his days.",
V’eh ny chiaulleyder[2] tradishoonagh feer ard-ghooagh ayns Mannin as hooar y fer-lhee Juan y Clague ymmodee arraneyn as carryn veihsyn tra va Thobm ny henn ghooinney goaill e aash ayns Bradda raad v’eh ruggit as troggit.,He was a very famous traditional musician in the Isle of Man and Dr John Clague got many songs and tunes from him when Tom was an old man resting in Bradda where he was born and raised.,[2] ny chiaulleyder] text; [ny kiaulleyder]
Ta mee er chlashtyn Ned Maddrell gimraa “Yn Guilley Doal” myrgeddin.,I have heard Ned Maddrell mention “the Blind Boy” too.,
Ta’n thie echey foast ayn as nish t’eh enmyssit “Roy Cottage” as ayns laueyn ny Sostynee.,His house is still there and now it is named “Roy Cottage” and in the hands of the English.,
     Foddee shiu lhaih mychione y “Bwoie Doal” ayns lioar Yuan y Clague “Cooinaghtyn Manninagh”.,You can read about the “Blind Boy” in John Clagues’s book “Cooinaghtyn Manninagh” (Manx Memories).,
S’doogh eh nagh row greieyn recortys ayn ayns ny laghyn shid!,It’s a shame there weren’t recording machines in those days!,
"     Hooar mee fys voish nyn garrey Colin y Jerree dy bee kione-shiaghtin Ghaelgagh noa goll er cummal ec Eairy Cuishlin goaill toshiaght er yn — [3]Jerrey Souree, my vees ooilley dy mie. ","     I found out from our friend Colin Jerry that there will be a new Manx weekend being held at Eairy Cushlin beginning on the —  July, if all will be well. ",[3] The actual date is missing in the text.
Bee olteynyn ennagh ny Sheshaght Gailckagh cooney lesh yn wardoon dy yesheenaghey yn thie er cheu-mooie.,Some members of Yn Çheshtaght Ghailckagh will be helping the warden to decorate the house outside.,
Bee tooilley fys ry-gheddyn voish Colin hene.,There’ll be more information available from Colin himself.,
"Ta Colin er ve er e laghyn syrey ayns Nalbin, son y chied keayrt, as gyn ourys hig skeeal voishyn mychione ny laghyn seyrey echey ’sy cheer shid dy loghyn, glionteenyn as beinnyn[4] aalin erskyn insh.","Colin has been on his holidays in Scotland, for the first time, and no doubt word from him will come about his holidays in that land of lakes, glens and unspeakably beautiful peaks.",[4] beinnyn] text; [beinntyn]
Ta Nalbin ny ‘thie spyrrydoil’ dooys as da my ven myrgeddin as t’eh foin goll reesht lesh shilley er y cheer ayns Mean Fouyir lesh cooney Yee.,"Scotland is a ‘spiritual home’ for me and for my wife too and we intend to go again to see the country in September, with God’s help.",
"     Hooar mee skeeal beg elley voish Colin, as er hoh eh:","     I got another little story from Colin, and here it it:",
SHENN DOOINNEY MOAL,A MISERABLE OLD MAN,
     Ghow yn skeeal shoh toshiaght foddey er dy henney tra va mee foast goll dy scoill.,     This story began a long time ago when I was still going to school.,
Keayrt dy row ’syn Ouyr va mee gobbragh ayns garey biljagh chaglym ooylyn rish kegeesh.,Once in the autumn I was working in an orchard gathering apples for a fortnight.,
Va mee shiaght bleeaney jeig d’eash ec y traa shen as va lane fys aym er etlanyn.,I was seventeen years old at the time and I knew a lot about airplanes.,
